IATA_Airline,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
9E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1671,57.7536,37.3787,49.8171,45.6345,47.9164,55.7014,60.7507,46.9421,36.0384,45.2218,51.9509,53.5699,52.1848,46.8994,54.9763,46.7995,66.7488,64.1802,53.8619,43.7892,41.3057,41.5908,51.4912
AA,33.9865,36.0197,33.6062,37.6354,39.6003,42.1886,34.3253,35.007,29.6365,29.4419,30.2709,33.1949,30.8519,32.5851,32.5345,30.9358,34.6905,41.6041,44.1821,43.0109,30.9285,26.5114,26.5582,33.3574,31.6144,28.7576,31.4924,38.0124,34.3232,41.7368,43.6277,34.7409,28.2939,27.6603,24.729,32.7383,32.8911,33.557,28.7483,32.5415,40.4587,40.3098,44.0482,42.8075,38.9593,35.5464,32.2188,30.8773,32.704,35.6512,36.7166,41.6304,46.8564,46.8315,47.7822,45.8947,38.1137,36.7484,34.0913,34.9269
AS,25.8808,26.0411,25.9239,21.0916,18.1739,21.8312,22.1809,22.7014,19.6494,19.721,24.4619,23.6461,24.1643,22.2118,21.2941,18.9169,18.3505,21.3909,19.9448,20.6949,18.0046,21.9191,20.3593,31.8278,30.8405,33.095,24.4642,24.0935,23.4634,23.8046,22.5322,22.9982,20.0404,23.0319,29.0101,25.4042,22.1395,22.7804,20.0558,24.7335,24.7954,24.1525,27.1445,32.3067,24.0485,27.3421,32.2903,26.8139,31.7973,40.4909,26.7673,27.1055,26.1439,28.401,29.6112,30.3434,25.0909,26.5027,26.6179,36.0399
B6,34.7731,44.6377,44.4002,36.3143,37.0976,42.584,37.6658,41.2282,32.5966,29.3246,28.6729,42.5965,37.6005,52.045,38.0263,42.0158,32.1468,40.9972,52.1457,46.1541,36.0536,33.7766,32.0864,42.975,44.7199,38.8143,46.1897,54.1798,59.3212,62.996,59.6571,50.1235,48.8882,42.6413,29.2398,44.7545,53.4184,38.1249,41.2187,48.3742,43.5729,42.823,54.2837,59.3298,43.414,36.361,46.0478,46.1069,58.5474,55.3895,51.9979,58.7779,49.7495,58.998,70.94,68.4383,50.2278,44.609,36.015,62.7708
DL,29.4162,37.7717,30.8019,27.9658,35.56,36.8563,32.5301,32.5192,26.1754,24.5996,26.6254,38.8357,34.0108,37.3539,31.6301,31.0535,28.4365,39.4228,50.1952,59.7507,29.6192,25.0851,26.7191,37.9682,49.1367,32.1392,37.1204,64.5958,37.3605,38.4009,40.2557,31.3759,30.0653,29.0622,24.09,42.2677,46.0832,38.7431,29.3597,31.5533,31.3323,46.644,43.7494,41.9495,30.8445,25.0052,31.6648,27.6233,37.7768,43.7006,32.2866,44.1814,35.7033,40.9947,49.4163,40.9331,31.3062,26.7794,28.5572,32.7374
EV,35.1866,35.7188,32.7647,31.617,39.0978,43.0128,35.2552,34.9842,29.1052,28.7053,34.5721,39.0506,35.1961,39.4546,37.0461,33.8492,36.1376,46.0846,56.6678,50.03,41.9031,39.8708,45.0178,48.7421,55.5707,45.1872,51.7827,59.3156,54.3275,54.8752,54.2016,50.4512,43.4459,50.1552,37.549,49.4636,54.5425,54.325,45.1981,49.4894,52.4255,53.8725,52.2282,55.5836,48.8446,47.0803,53.0826,53.3761,56.4045,54.2609,46.2463,56.7893,64.002,72.8958,62.3033,63.455,54.1075,47.2927,45.5197,63.1346
F9,44.8202,54.1643,43.5612,34.6003,38.5187,49.2321,39.5707,36.0154,35.786,27.9494,36.562,48.9702,42.0011,47.5401,55.4958,35.2559,43.894,42.3986,51.0378,43.2609,46.3519,35.4617,28.9268,61.4713,46.7852,36.8948,38.0772,43.2104,40.0126,44.3426,48.6775,45.1087,36.5018,42.5007,35.9901,43.12,49.5912,48.8501,39.8913,50.0238,52.9159,59.9629,54.8837,54.5033,52.6882,45.1517,43.3541,42.326,41.8828,45.604,45.605,48.0759,48.8541,50.1246,47.557,46.3521,42.0757,47.53,43.5495,45.8755
G4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2727,44.8248,40.3107,42.9199,50.7374,52.438,52.1675,42.0768,41.4924,41.6146,39.4752,39.571,37.0718,45.9428,33.781,39.5978,37.0478,42.8435,45.4759,50.6812,35.928,40.3541,38.0939,40.81
HA,16.5348,17.2128,14.0524,11.4038,13.3741,13.1712,14.9871,21.1115,17.5691,13.6909,12.0605,14.428,13.8522,12.5618,13.2278,12.4415,13.6749,14.574,18.1482,12.7574,13.5061,14.8125,14.051,20.4564,19.1941,25.3209,17.1191,14.9617,15.8499,14.6918,12.0853,13.3199,13.9028,14.8546,14.1957,21.2944,17.6358,20.4169,17.5847,19.0114,16.1316,16.4529,13.9138,23.3232,20.5345,18.4067,15.8996,17.441,17.447,22.6536,14.5436,16.4096,14.8095,21.6248,17.635,16.0783,16.679,19.8411,14.6664,14.9255
MQ,42.9655,45.2432,37.1544,36.5225,38.5916,39.1458,37.1606,37.8875,35.164,34.6277,43.2755,39.1524,,,,,,,,,,,,,,,,,,,,,,,,,34.4645,38.5888,25.872,30.6788,41.1259,41.2096,36.3794,38.6043,35.4471,31.9237,34.4927,32.2755,37.2499,44.7268,32.1834,39.6674,42.5022,45.0702,44.9461,38.8859,35.8365,34.4738,29.0691,40.635
