IATA_Airline,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
9E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3231,61.0293,42.0123,54.7636,50.9955,49.8091,60.0599,65.086,54.2559,43.279,49.639,55.3438,59.5574,55.2253,51.9123,60.5215,51.2172,69.6006,65.0616,55.5135,48.6083,46.9433,43.9489,51.266
AA,35.2713,34.9716,34.8409,38.4607,39.7279,40.7813,33.4536,33.8278,30.6172,29.1828,31.5376,33.0992,32.2225,33.9876,34.2609,33.6646,36.4277,42.5324,44.439,44.0993,32.1841,27.861,27.8984,33.8396,32.5727,31.5906,33.2749,39.2876,35.3489,42.5965,43.7086,36.5431,30.5604,30.3569,26.1826,32.0581,33.1997,34.0626,29.8908,33.2246,39.803,39.6066,43.7368,42.2075,40.5831,37.2542,32.951,30.996,32.6898,35.001,36.5593,40.8706,44.7776,44.232,44.5919,43.3225,37.7455,36.7677,33.9112,33.7703
AS,29.2164,30.7143,28.1517,25.0733,21.1998,25.2825,25.2978,25.1493,23.519,23.0175,28.1042,25.5286,27.4733,28.128,25.813,22.9728,22.3219,25.7959,23.4158,23.6157,22.7424,26.3338,24.08,32.9217,32.8646,35.783,28.3945,28.4812,26.5647,27.5054,25.86,25.5735,24.1663,27.8177,32.479,26.7982,26.6477,25.6126,22.7614,28.8988,27.2467,24.6588,28.822,33.8997,26.204,29.3282,34.7673,28.1206,34.9819,40.9472,27.0973,29.4431,28.0223,29.1864,29.6594,30.4028,26.3689,27.4712,28.0723,35.4001
B6,34.9176,44.6764,44.3209,36.8903,35.776,41.1905,36.7598,39.8205,32.8085,28.1317,27.9874,41.9183,37.118,49.8056,36.7175,40.2659,30.5349,38.597,48.9049,43.5387,34.2692,32.3265,32.3127,43.5816,44.0558,39.122,46.201,53.3529,57.8675,61.4693,57.8588,49.7622,47.8519,42.3647,29.875,44.5459,53.3076,38.3309,41.8439,49.1978,43.3353,40.588,52.446,57.4662,44.6606,39.3768,48.5158,48.6748,58.988,54.7824,51.6337,57.0346,48.3955,57.4808,67.4895,67.0628,49.063,44.7245,37.2557,61.308
DL,27.1028,33.8771,28.4415,26.8702,32.0253,33.5311,30.1046,30.0678,24.6307,22.6483,25.0293,35.1478,30.4961,33.7653,28.9335,28.7506,27.0169,35.7336,45.1737,54.4158,27.124,22.4583,24.2739,34.4504,43.7747,29.1898,33.2141,59.5687,35.6917,35.6417,37.7149,29.734,28.9998,28.7352,21.8248,35.1424,40.0034,33.7014,27.5536,30.4624,31.2775,42.3494,39.3898,38.66,29.4822,24.9137,30.6845,25.5815,35.4492,40.1378,29.8466,40.9426,33.5384,38.4552,45.9325,37.9403,31.4306,27.549,26.6191,29.5713
EV,40.0663,39.6665,37.2715,38.1142,43.7249,46.706,40.0888,40.3669,36.3849,36.9592,41.5595,44.1182,40.455,46.7266,44.3236,41.2042,44.4383,52.77,62.2287,56.2052,50.5376,48.0429,53.4308,54.5616,62.5445,52.8777,59.4871,66.2123,63.063,62.6317,61.1481,57.4244,52.2307,60.5524,45.8266,54.6619,62.3792,63.6784,55.8723,58.6923,58.8086,62.8572,62.2242,65.4179,60.2001,59.3055,66.4093,64.6182,69.1908,67.5569,61.8256,69.4165,75.1631,84.145,76.7341,81.3182,64.7605,58.6372,61.3014,73.954
F9,49.0131,56.6999,44.1643,36.9397,43.1381,53.1201,42.6352,40.9254,41.2713,31.3258,40.3737,48.1098,42.7086,46.8755,55.6237,38.2034,46.593,43.3697,53.0318,45.3283,49.4947,38.8471,31.1898,62.1794,49.0798,38.8778,39.1738,47.4244,42.5914,43.6362,44.9084,45.2839,38.3944,42.9987,35.8695,41.7511,50.8495,50.6304,41.5432,51.2208,53.5485,59.0826,54.6009,54.4359,53.5321,45.7534,44.2021,42.727,42.7897,46.0685,46.7321,48.4885,49.2081,49.3621,48.2173,47.923,43.977,49.6263,47.606,48.2134
G4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4046,48.7825,45.233,47.6287,55.0573,56.9511,56.4034,47.1079,45.8806,46.0715,45.1476,44.7231,41.5539,50.9761,37.8007,44.2351,41.5027,47.6051,48.8401,55.5914,40.8923,46.7416,45.1753,46.0233
HA,17.8149,18.478,15.1601,13.3806,15.074,14.0055,16.5515,24.2409,19.0447,14.3932,12.8446,14.0064,12.8859,12.3746,13.1097,13.54,14.5746,16.0306,20.0859,15.0191,14.5193,16.9366,15.3688,22.5697,20.7151,27.1233,17.327,16.0649,17.2144,16.215,13.6727,15.6195,14.9259,15.2818,14.4278,21.6202,17.7643,20.9382,17.7684,21.1085,16.9816,18.4661,14.9132,27.1744,22.7352,19.7993,15.9821,16.7286,17.6279,22.4102,13.2769,15.4473,13.2124,21.3973,17.4461,16.2805,16.892,20.3719,13.8796,13.9215
MQ,42.3492,42.8223,37.8532,39.15,40.378,38.9178,37.679,38.3601,36.967,36.7827,45.0872,40.2417,,,,,,,,,,,,,,,,,,,,,,,,,37.704,41.16,30.8093,35.4798,44.3997,44.0638,40.1426,42.8532,40.285,36.399,39.7861,35.1457,40.1639,48.3605,37.341,43.9852,46.6643,48.454,48.8606,42.2102,41.6489,40.0862,33.8548,45.4995
NK,38.0841,41.6829,39.0197,33.3002,48.5964,60.3858,39.4646,46.5021,36.0747,33.2412,33.718,37.8619,38.9791,47.6473,39.1591,35.7224,33.5725,35.9267,43.9187,49.8325,40.2996,42.17,36.9323,44.8751,46.07,41.5604,47.5684,48.7465,48.9214,52.6871,49.1181,43.6935,47.6156,44.7881,37.3187,43.6156,41.7318,52.3459,40.936,50.3725,50.5371,46.0109,52.8854,56.6457,48.4979,34.5019,39.8095,34.697,44.1839,47.5007,35.3122,47.8188,46.4844,46.4137,47.9513,51.6146,40.1774,37.3803,33.9379,39.0829
OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8493,43.4668,31.951,34.2309,42.3541,53.918,42.4718,45.0994,40.4279,33.674,35.652,32.8434,33.3314,41.1198,34.5089,47.8946,43.0551,46.806,49.3364,52.2811,42.7694,40.497,44.6144,45.734
OO,44.471,42.2438,35.2015,36.5967,36.0725,40.2162,39.2039,37.1353,35.6546,33.8902,39.7716,44.516,46.7718,45.567,45.5445,39.2472,43.0045,42.2587,45.632,44.6407,39.113,42.1206,45.8828,54.3515,53.9452,55.4267,53.1011,57.9821,52.8668,55.0749,56.3533,59.5726,46.9843,55.5211,50.7535,58.3465,63.0486,57.8788,48.5551,47.1685,58.1946,56.5956,51.5572,58.1646,49.7965,48.7078,53.5153,55.0671,68.0044,67.0379,58.2202,55.436,54.881,59.8211,59.5031,53.2294,53.4327,52.3587,54.2241,60.9675
