CityName,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
Aberdeen,121.8571,82.7692,140.1667,29.1667,114.4545,46.8571,23.08,40.6667,38.1111,19.375,48.4545,59.6364,49.0588,23.9333,76.9,202.2,2.75,31.25,43.0833,16.3333,21.4615,12.2667,48.4615,45.1515,117.4762,14.0909,15.2222,61.4,39.3333,64.2632,40.1875,8.8571,52.7857,75.7692,25.7391,43.5714,60.65,91.1579,27.4545,53.0,97.7143,17.0,38.7143,43.1,24.3333,39.75,24.0556,189.1176,59.4,81.0,83.4375,94.9,96.1111,72.6364,101.0,74.9231,96.7059,52.65,22.5,122.5357
Abilene,37.3077,36.58,30.5405,44.2742,46.7273,49.3492,46.6154,27.5517,64.08,46.3243,72.7931,54.9744,,,,,,77.0,35.6667,21.3333,39.0,21.6667,13.875,76.5,68.25,79.0,,,,,,,,,,,48.1091,57.2,30.85,46.4878,46.2162,42.0566,47.3243,26.4833,38.5581,48.1607,32.3571,30.283,43.725,27.7907,50.0,55.9444,52.5652,49.0111,29.4265,58.2121,34.7209,58.5,25.4423,63.1404
Adak Island,13.0,26.0,40.3333,12.0,27.0,20.5714,24.1429,42.8571,30.1429,36.8,33.4286,21.0,25.5,13.0,32.3333,4.0,4.0,23.0,10.5,23.0,3.0,22.0,17.25,26.5,20.8,10.5,,26.0,26.3333,18.625,23.1667,27.0,,22.0,,18.75,5.0,25.8,75.2,11.0,,39.5,29.2,36.0,31.4,46.1667,36.6667,31.6667,13.25,10.0,48.0,37.1667,3.0,40.6667,39.6,53.0,20.2,30.3333,43.1429,36.1429
Aguadilla,35.6078,81.3333,45.3056,73.6316,36.3514,37.6176,41.6349,28.619,23.2571,38.0,23.0233,29.507,34.8529,38.08,25.0263,34.069,24.0417,27.134,42.5851,50.747,44.3469,21.0962,28.375,46.0882,39.1864,41.6765,40.0244,46.0723,48.0594,48.7787,45.3906,40.7647,28.625,83.1176,36.6154,30.0351,59.0351,34.3235,25.0441,45.1692,48.2667,39.5914,50.8158,50.6563,27.8367,48.5091,39.5464,34.25,34.7079,57.3281,45.0,50.2727,36.75,51.4227,68.4949,61.3299,43.9667,55.1282,28.05,43.0374
Akron,31.8456,32.828,43.7151,27.959,34.6434,43.5583,51.0,31.1982,32.9718,34.2424,39.8455,45.5854,65.2936,51.4961,28.6612,44.7717,48.5752,43.3304,59.7755,64.4949,69.4444,44.8447,30.9688,40.7447,56.8319,48.0494,54.9653,57.8919,61.2703,53.2797,67.9394,56.2326,70.6447,63.5056,73.0714,61.0373,60.9037,69.7625,49.0765,65.8659,61.3526,71.7356,57.04,62.6351,55.2381,56.2051,61.1791,56.8224,60.2908,59.1544,56.8591,67.3293,64.2222,58.7005,87.9053,76.9638,55.5833,55.2404,56.0847,73.7771
Albany,36.6615,31.7309,33.8992,33.1362,37.8966,35.7143,35.1172,34.9099,39.3208,26.05,33.8103,31.2837,32.2436,28.2694,28.4908,28.2675,32.1025,33.3356,46.3593,38.7809,30.901,21.0323,26.4244,30.9928,44.5709,40.7534,23.3889,41.8927,34.5556,35.3681,45.4511,46.5912,34.9744,28.0857,28.5093,39.4048,41.2711,39.307,42.2542,34.4146,45.8354,44.29,45.5242,43.7793,41.7972,37.4377,40.891,29.5831,48.9061,51.4238,37.5016,50.1987,42.7965,52.3995,66.4231,49.9495,50.3472,34.7633,30.536,55.8766
Albuquerque,33.1429,33.7856,26.7405,31.7837,32.4978,34.5905,35.9722,34.0094,20.9819,22.3206,26.1027,36.6971,30.8454,23.8323,26.6511,33.1707,25.5138,38.1278,36.3682,31.6131,24.6392,22.9634,24.0103,37.0902,32.2651,26.6558,31.164,27.9806,28.9717,32.8589,31.4678,30.6424,30.8511,26.405,20.7828,29.6205,32.7694,32.0033,28.2358,31.505,34.0953,32.1826,33.8568,35.6027,31.5,28.6258,28.0276,35.0458,28.128,37.2224,37.0358,28.7092,34.4665,38.9988,36.9313,33.877,35.0369,34.3774,34.9666,30.7874
Alexandria,41.6447,49.5968,59.425,50.9767,63.8889,44.039,35.3026,53.1548,65.9286,37.7581,37.4063,69.3766,46.25,77.2941,47.6042,52.0,35.8519,49.9365,84.44,62.0,67.6279,70.5769,60.4211,64.25,69.9833,51.9818,83.0794,111.9268,69.5,53.0,86.9375,83.4211,83.0,43.2,10.5,46.0,47.8065,49.3077,72.2727,40.5882,72.9796,111.2059,46.0339,67.339,46.7879,57.5091,42.75,70.6056,24.902,65.2364,54.3676,60.4915,64.1781,71.3333,54.1143,46.9828,42.58,52.7286,41.907,64.2745
Allentown/Bethlehem/Easton,29.3036,52.0,36.1695,44.125,61.549,69.1628,52.0,34.5875,38.6949,43.6667,35.3673,40.2821,43.4902,72.119,34.2093,23.1818,35.3659,55.5,73.1013,52.6076,44.5455,45.6724,67.98,40.587,83.0,32.3529,35.7059,82.7143,82.1379,36.6389,50.9574,78.25,72.4717,59.7164,28.1356,52.875,50.1017,77.5294,46.9767,46.7586,49.404,61.2857,64.729,53.3,43.9091,40.0845,51.932,43.4369,54.0722,53.3945,44.9495,50.7945,57.1909,44.6757,66.4276,57.622,42.4706,42.4105,80.8295,58.5772
Alpena,94.2353,65.6923,64.7143,67.3333,44.0,93.5,58.1111,28.75,47.1667,84.25,46.3333,86.4,142.9231,61.625,31.7778,131.75,88.3333,36.4,15.4783,59.96,52.4167,40.9231,18.4091,54.1111,61.4118,48.25,16.6111,68.3333,71.0,41.5263,96.9091,24.1429,60.7391,12.2857,40.8889,56.9643,72.4211,71.6667,81.6154,28.7778,94.1111,42.3333,58.2143,55.0,24.5,25.4286,66.4375,99.4667,90.9048,224.5,80.8333,78.3333,63.8571,54.8462,22.25,54.3333,14.7273,30.8,92.3333,150.8636
