OrigDest,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
ABE-ATL,3.3662,39.6806,12.3258,2.7907,6.5465,3.0,3.7701,1.3523,1.3373,8.0909,10.7195,7.6765,16.2424,10.1304,0.5977,-11.6905,-6.8161,31.5814,45.093,38.6067,-7.9059,-3.7273,19.625,5.4932,32.4545,-10.9194,11.3095,9.4405,38.2874,7.8209,-0.5161,3.2857,36.7805,34.8652,-1.5904,10.7945,14.5758,27.8254,17.4368,10.5349,22.8276,15.0706,27.6145,2.5393,9.3704,-0.0233,29.0732,23.8784,11.0299,23.7097,3.1136,-0.8235,-1.1605,32.2976,16.4762,6.1023,-8.1829,10.5595,-9.0125,3.2055
ABE-BNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,-5.125,97.1111,-17.1111,-17.3333,89.375,116.0,22.6667
ABE-CLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5968,32.5179,3.5484,6.5952,-3.2473,18.7093,18.8506,9.2135,-3.7381,-6.875,10.8072,1.9136,4.6,11.1,8.0215,25.9444,-6.0843,4.6235,25.9886,2.5341,-10.8523,-5.967,-1.9048,22.6512
ABE-DTW,14.0959,22.1333,20.3676,8.375,23.1176,38.0615,26.5571,19.9571,18.9841,26.16,-8.1974,17.2941,12.75,35.1111,6.1923,-7.0,1.3976,2.8049,23.7013,13.4211,16.2692,27.175,30.2973,16.4182,44.2603,40.525,10.8293,70.4909,-14.7,2.2373,4.0513,34.3647,9.0,9.1341,3.9375,29.678,40.7284,49.6438,33.1566,64.193,4.1404,44.4795,12.0563,35.2588,17.8588,2.6404,20.8621,11.5301,34.2069,32.4487,12.6705,22.2093,27.012,22.6941,49.2584,40.125,16.093,-2.7416,22.3929,28.75
ABE-EWR,,,,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABE-FLL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4444,-6.875,115.6667,37.25,83.25,92.6667,95.8,182.0,,,185.6667,87.4,79.75,23.0,1.0,21.8571,,39.2,201.1111,326.75,,,980.5,17.8333
ABE-MDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,,,,,,,
ABE-MYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7778,-13.25,-2.0,-9.1176,3.6364,-0.375,137.0,,,,,,-0.5,21.4615,33.0,13.7826,-12.619,12.1111,-17.625,-29.25,
ABE-ORD,18.0,28.5806,19.1552,22.9595,24.2857,38.3962,36.9333,28.6933,3.7467,14.9342,4.84,4.1154,-5.9348,26.8163,13.283,10.7308,3.9464,7.7237,53.4667,22.8857,7.5088,27.4412,-9.3571,16.8519,27.1346,6.6923,-29.0,,-15.0,52.5,33.7308,-6.9444,14.9851,17.0976,15.0877,81.5556,52.0213,38.4194,26.7111,6.5263,19.4909,3.0,,,,41.5,34.6071,-4.1964,50.6222,36.1481,20.4355,33.1478,54.2586,16.9403,30.9683,23.1096,12.8714,6.4,-16.8966,24.3958
ABE-PGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.0,19.8182,88.8462,95.1538,44.0769,-2.4286,101.3846,37.0714,-15.125,-16.2857,-12.0833,4.3636,-2.4444,4.4545,-2.8,8.6667,27.6471,24.7059,-3.4444,13.25,-3.3333,-4.3846,60.8462,-9.3125
ABE-PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0417,38.7778,,,,,,,,,,,,
ABE-PIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.3333,22.4545,-5.625,17.0667,-2.6,54.6111,97.1176,65.5333,19.4444,-18.25,-3.1538,-22.4167,-6.0909,-25.75,-16.5238,1.7895,-8.5385,29.9048,24.8636,11.2353,-15.5556,-3.6364,59.9231,31.2353
ABE-SAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0,-7.0,17.6667,-8.75,1.7778,-33.1111,
ABE-SFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.9032,51.8158,28.8704,2.6667,11.1316,20.4359,26.7692,33.175,28.1786,17.1765,6.2647,-3.0303,-1.8065,38.5641,2.3519,21.098,22.9574,20.2766,-7.3529,25.0816,-23.7391,0.8718,-5.2432,69.5
ABI-DFW,12.4393,9.3209,10.0816,16.7822,20.6135,21.0485,8.1848,-9.7286,-2.5648,-1.8159,3.7368,4.237,,,,,,92.5,20.3913,10.4815,16.5,-5.1379,-1.16,67.1111,53.7143,7.7692,,,,,,,,,,,22.6154,25.4336,3.1034,11.4826,5.548,13.2824,29.1609,6.1823,12.2959,25.1017,7.0651,10.2841,13.5412,8.9868,13.9107,14.8405,39.5291,32.922,7.5192,24.3223,-6.6294,7.6635,-3.6296,23.2872
ABI-GRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,
