CityName,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
Aberdeen,41.6667,26.9091,15.875,26.3333,13.4444,19.1111,17.48,22.6471,20.0588,24.8235,16.9565,54.4286,11.9444,36.4615,56.8462,78.5714,10.5,21.0833,52.6364,21.5333,35.0,13.1765,86.9091,50.9583,29.5714,40.5,38.4,41.0769,34.6667,31.0,103.7778,20.1818,109.5,97.8333,16.4615,78.1579,18.3846,93.3125,21.7692,38.35,112.6667,19.5714,34.4375,24.3333,28.0,18.9,30.3529,210.7,91.75,124.8667,58.3636,20.2143,120.0,92.8,129.6,71.0833,20.5455,45.4,21.5,145.1765
Abilene,30.9469,30.8125,25.6855,43.6154,45.9559,31.6901,30.3478,22.5238,16.8378,47.25,22.4118,46.7632,,,,,,12.5,45.4,15.4118,36.1,15.3333,13.6364,36.6,55.7222,34.3333,,,,,,,,,,,29.3529,37.3065,21.2344,25.2857,22.1163,23.5306,38.1059,31.6429,37.9153,32.7429,28.2364,23.1688,20.6774,32.6301,26.5472,34.9574,29.6216,32.6491,29.5281,21.4845,17.5588,32.5714,17.381,30.8364
Adak Island,,25.3333,61.5,3.6667,21.5,10.0,14.0,18.6,4.25,29.0,18.6,19.0,23.5,11.0,47.5,4.0,9.0,29.0,20.2,32.5,5.5,3.5,38.0,21.0,30.8,25.0,,11.0,36.0,1.0,44.0,2.5,26.0,,,,,36.3333,26.0,,3.5,42.5,4.0,23.0,14.0,11.5,,35.6667,36.0,,51.0,79.0,,7.0,11.0,76.3333,,38.0,15.3333,55.0
Aguadilla,37.75,29.5349,42.9388,43.5682,34.8393,36.2436,38.7805,27.6463,21.0256,35.5455,21.8,31.2766,37.0732,43.9032,25.8039,29.4545,21.1905,32.3366,44.0259,43.53,41.3393,20.2264,29.3421,43.2267,43.25,34.2432,45.2895,45.25,48.2667,49.9262,44.0226,35.8796,33.5357,126.2143,29.16,28.9615,38.5345,33.0909,27.2,39.4103,44.4674,41.4898,53.1488,55.7723,31.5385,30.6316,31.4725,37.9537,36.1609,43.1084,40.6341,41.6667,41.8163,56.5217,74.7692,64.899,29.1739,27.2769,26.6176,45.5196
Akron,31.7214,34.8466,42.3319,23.9231,38.3092,40.75,46.1176,37.627,27.534,30.4052,34.1419,34.6187,34.3939,33.6716,31.3312,29.6913,25.1488,29.7586,41.7564,39.2148,27.0297,40.2877,25.8824,31.8261,41.4709,29.8767,46.7475,47.1549,36.6765,41.1895,50.3239,34.4918,47.3039,46.9632,41.6262,53.1321,50.3096,48.5395,38.1603,40.1708,48.9414,60.5017,49.7254,55.8537,43.8704,29.4402,48.5219,40.8348,40.0657,44.3214,48.4505,52.6048,61.7083,62.4843,72.6736,74.6132,44.2021,48.3417,43.8771,61.125
Albany,34.3615,32.0453,30.439,27.2123,33.1053,33.9972,36.5947,34.3754,29.3113,24.252,30.204,28.6958,31.3295,27.1848,31.0772,25.8158,30.8489,37.8735,45.3846,41.0155,26.4825,23.2538,29.0989,31.2702,37.7059,27.0807,23.2416,35.0215,27.6263,39.1929,48.8187,39.6976,23.0316,26.0136,25.1461,34.3022,37.1105,33.4912,28.1391,29.8164,34.264,37.7346,39.7587,44.407,32.678,40.1102,35.6456,35.0567,37.788,44.0818,31.0853,39.2883,37.0943,42.374,50.5824,37.6274,34.0146,33.5268,25.4755,43.0049
Albuquerque,23.8078,26.5426,24.4602,25.1664,30.7211,34.3743,29.9405,32.7236,21.7849,23.3187,24.0513,30.177,26.7518,22.7532,24.9316,27.3455,25.1872,39.376,41.5648,32.8046,21.8205,22.9168,22.9218,35.1245,28.0732,24.4322,25.2064,31.1796,27.9004,31.2621,32.1373,31.575,25.4838,24.026,25.8886,28.3328,27.9825,32.8718,25.5102,27.8401,34.3969,31.1665,35.1755,34.4302,30.8764,28.0901,32.4813,30.4618,26.1007,32.7759,29.2436,29.859,33.9287,38.5146,36.4364,33.5237,29.6195,33.23,28.0868,30.7031
Alexandria,22.8718,32.6344,29.5802,28.7025,38.0268,36.8819,30.25,27.5408,22.7692,28.4732,24.8085,43.2955,28.9516,44.1,25.5867,25.4894,27.0845,36.5978,43.0676,35.3883,45.2879,36.5,40.7391,47.1111,47.0583,56.5667,42.9091,53.918,53.1129,43.1154,50.4286,32.6818,32.4167,22.2667,8.8333,17.625,29.0526,32.8804,32.2222,18.7582,29.5769,52.3505,25.3111,36.3537,27.0211,29.871,30.1404,57.1075,32.0,35.1392,36.7126,35.5059,36.5778,51.4857,51.8218,35.31,29.3659,37.087,22.6875,24.871
Allentown/Bethlehem/Easton,21.5882,37.3846,23.2556,26.2533,25.7975,49.9706,31.2778,33.7011,34.5761,24.8493,31.3289,32.6909,28.5588,37.6613,29.7885,16.8235,26.1053,39.0649,56.7241,37.4943,32.3636,38.4328,36.697,46.7778,67.1605,24.6875,33.4902,42.186,33.5714,30.85,43.806,53.4,43.431,39.875,41.383,43.3889,46.2519,54.011,40.1417,25.2743,32.7987,37.7031,42.6667,45.2164,32.85,29.4713,41.4583,30.4821,36.8632,49.3451,36.9196,36.7784,34.6372,49.8353,47.2642,44.4855,34.2126,30.7049,40.0577,34.5046
Alpena,66.3043,46.6316,35.8667,49.7,28.1429,41.25,65.2222,22.625,32.8,29.5556,29.125,85.5833,59.0625,64.0556,26.875,121.6923,112.8333,50.75,25.0,133.5,99.1818,48.2222,34.0,62.1154,48.7692,56.125,42.0909,74.4,25.8571,53.8889,73.5,50.1429,149.3,68.6667,142.75,89.4783,154.6154,89.6667,132.4444,18.5,38.7273,5.3333,26.7692,54.3333,31.2857,19.6,80.0,174.6,63.7,101.625,85.8182,71.5,27.2727,45.3636,58.2727,30.5,41.75,51.9,55.3333,194.9231
