state,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
AK,33.3768,33.3272,35.1225,25.8904,20.9913,31.6887,29.9613,26.1043,26.4911,28.1608,36.4499,28.8519,33.5169,33.6542,28.8,27.5,26.0986,26.8391,29.0234,37.5656,19.3834,32.9451,25.4859,31.9284,38.57,40.7415,34.7073,32.3392,35.0698,32.0753,31.3034,27.7969,28.6829,34.3881,30.72,26.3419,32.5707,30.0082,26.1496,30.9507,28.2074,33.1427,31.639,31.1218,29.2954,28.6174,40.5473,31.9282,37.0057,45.9362,26.1574,31.9507,32.801,32.0774,29.4799,31.2623,23.8986,23.508,26.1864,31.4425
AL,39.0839,38.2746,35.6562,37.5416,45.2323,47.139,34.8049,37.8436,33.6057,38.3004,33.709,45.1675,40.9256,39.6681,39.3716,33.6871,40.0876,50.3495,53.2218,55.161,48.5066,41.5855,41.0279,38.8907,61.2703,51.8754,44.8169,63.7294,53.501,60.4714,46.9159,40.887,35.3423,39.1405,28.0896,38.9729,49.0489,47.8854,38.1396,34.3554,42.1449,56.0819,47.2865,47.4898,47.3871,43.9789,38.7852,47.802,44.0707,51.4623,40.7395,49.7397,48.3886,59.7098,51.743,52.3711,56.4758,51.0286,40.7868,49.1046
AR,40.6797,42.4645,44.5718,48.9346,45.8072,49.8517,42.6587,44.3391,35.2713,36.2151,45.6133,45.8533,41.234,42.6538,43.1006,41.0071,42.2414,50.7455,54.9233,62.6208,54.7343,44.8105,46.7367,45.0334,59.2778,41.9583,36.466,88.9164,42.2263,65.0304,46.623,48.1093,34.5487,43.1448,32.4171,39.0821,49.8495,50.5236,36.5043,36.7375,47.3649,56.9251,46.6485,45.2805,48.6569,38.5077,38.4671,41.3624,45.6397,46.0016,41.4449,49.0493,49.2723,56.5274,53.4822,58.2587,56.4972,52.2319,38.1087,48.1269
AZ,27.2674,27.6664,23.0667,24.9289,25.4368,31.6199,31.673,31.8158,24.129,22.3972,24.0271,27.7207,25.45,24.4401,25.7317,23.5903,24.3182,32.1106,38.6305,36.3184,23.7713,25.7048,24.6421,31.0722,29.385,26.0765,25.6081,29.1184,26.6771,31.3712,31.8793,31.6593,26.7208,24.7178,23.11,25.2276,27.3794,30.9607,24.5714,27.0225,29.3029,29.7051,36.6319,38.7929,33.8589,28.1897,30.1175,28.9609,29.3136,34.0819,29.2768,31.2114,34.8195,35.0791,35.3692,33.0728,33.6855,31.1269,29.5481,33.9974
CA,30.7747,32.0951,29.3721,28.264,29.7563,31.7,33.4788,30.0277,25.6043,25.9548,27.2125,36.1029,33.6586,31.0775,33.0668,28.3671,29.7938,30.6052,34.313,33.5933,26.7054,30.761,25.6461,38.4709,40.2703,38.0945,33.7382,37.3584,36.3672,32.6416,32.6402,37.0808,30.5292,34.4408,30.0078,30.8789,34.0616,31.743,34.8624,31.8208,34.167,31.1324,33.2003,37.7961,30.0234,30.7714,34.5956,32.2123,38.2718,40.0171,35.5773,32.1085,35.4677,34.4231,34.3935,33.8077,34.9275,29.1348,32.8543,37.6956
CO,33.3009,31.3386,27.8871,29.6902,27.4888,38.4585,33.6783,29.209,23.281,24.2661,29.192,36.7652,27.7341,29.2562,32.6234,28.2011,33.0928,36.767,37.6752,34.7925,27.7861,25.6937,26.6943,39.7051,37.7073,31.7045,35.208,32.4821,33.8498,32.7171,38.1624,35.9829,26.4035,28.1084,24.6703,35.734,35.5781,35.8759,32.505,34.5133,35.4073,43.8315,41.1886,43.0886,33.878,32.885,32.6145,33.446,36.1992,41.7468,40.9818,33.5165,37.6079,49.2988,44.8596,39.3657,32.1298,36.9004,32.5962,37.144
CT,34.2815,30.2937,24.0034,27.1058,32.1261,38.4813,34.0752,37.2724,34.8295,19.7265,22.881,34.3655,27.089,35.3858,29.8391,26.4899,29.74,32.2699,36.8627,38.9598,26.176,25.6835,23.4038,35.6412,32.25,31.1148,30.0077,37.0926,36.937,43.3116,41.7842,37.0161,32.3226,24.4076,20.1781,33.5585,38.6415,34.1272,30.2981,34.4393,45.9327,45.1552,45.5427,45.1756,38.3957,29.8109,51.7024,32.2481,41.3477,41.1061,39.9236,44.4514,41.8977,45.0612,50.9949,56.573,33.55,34.2445,37.6917,43.2031
DC,35.3454,37.4054,34.7189,28.3721,32.5333,42.3276,35.5065,37.8282,32.3764,26.7035,29.6977,37.0659,29.6966,40.7528,31.4314,30.8975,30.2202,45.6498,49.7293,40.6202,31.3101,30.0017,27.9778,37.054,38.7447,36.9126,35.1728,49.0551,43.2273,49.3028,55.6635,44.6534,33.3052,32.1552,30.0289,36.6774,47.2899,38.1341,34.121,38.8001,51.8708,49.5504,51.837,57.0007,52.0163,39.343,43.7359,37.483,50.2051,46.7221,39.7952,48.4768,51.4918,57.4371,61.2285,56.1985,49.0615,48.5254,39.5602,45.3082
DE,75.3636,56.1429,51.1765,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,32.5577,34.7029,33.9659,31.5034,35.325,42.0859,39.1438,40.4254,33.0396,28.0142,29.885,37.3524,33.3598,38.4347,36.469,34.3538,34.8815,39.915,47.0823,46.6386,35.3326,28.6767,28.5641,37.0066,39.0695,34.2698,35.2165,45.7351,42.5529,48.5653,46.7196,40.5133,38.0239,32.7237,28.0516,36.9761,37.9576,35.9492,34.3949,40.265,38.9203,46.734,52.5398,48.9446,39.9916,36.2777,36.5888,38.2465,37.0999,41.9368,37.6486,46.3035,44.2804,49.8155,52.7889,50.2947,36.2474,35.236,33.1588,39.9526
