IATA_Airline,AVG(CarrierDelay),AVG(WeatherDelay),AVG(NASDelay),AVG(SecurityDelay),AVG(LateAircraftDelay),COUNT(carrierDelay),COUNT(WeatherDelay),COUNT(NASDelay),COUNT(SecurityDelay),COUNT(LateAircraftDelay)
AA,4.0183,0.6161,2.8473,0.0234,4.4807,447050,56340,474729,4183,388624
AS,2.1572,0.2374,2.7156,0.0313,2.4935,52663,4986,112955,1434,54003
B6,5.3891,0.4693,4.2412,0.0360,7.1173,240342,10810,193806,2133,199333
DL,3.3804,0.6895,2.3594,0.0070,2.6665,332522,56526,347914,570,264825
US,3.2022,0.3551,3.0293,0.0310,2.6322,19717,1722,23708,372,13654
VX,2.4825,0.5275,5.3513,0.0468,4.8911,17687,5745,27601,369,23070
WN,2.8522,0.3413,1.5059,0.0212,4.6748,745159,42215,525712,4320,835134
UA,3.3852,0.6936,3.8690,0.0021,5.2583,262331,38122,310640,118,244932
NK,2.8198,0.3700,7.1094,0.0326,3.9561,65006,5745,134739,1291,47891
MQ,3.0982,1.1627,3.3008,0.0140,4.9755,76637,23774,113180,624,100054
OO,4.5676,0.8875,2.6183,0.0148,5.4019,210441,36624,340469,1432,353634
EV,5.1957,0.3644,3.7036,0.0000,4.9890,156156,8295,190261,0,163877
HA,2.7011,0.1681,0.0895,0.0216,1.4514,35977,3106,1946,360,21230
F9,4.3541,0.2315,4.4444,0.0000,8.1966,69572,3133,82311,0,68972
9E,3.5667,0.9286,3.7280,0.0034,5.5596,34598,5734,50575,45,47727
G4,5.5875,1.0376,2.2189,0.0364,6.3608,18671,3792,23014,323,24600
OH,3.5389,0.8080,2.1000,0.0166,6.7515,58422,10620,55638,569,67820
YV,5.2788,1.3171,2.1519,0.0225,6.7600,38940,7428,33979,400,41250
YX,2.5925,0.5908,4.4404,0.0098,4.6575,41410,6842,78489,270,56882
