Dest,Carrier,National Air System,Security,Weather
ABE,50.0,62.0,,161.0
ABI,13.0,27.0,,153.0
ABQ,267.0,89.0,,625.0
ABR,6.0,3.0,,43.0
ABY,5.0,7.0,,22.0
ACK,7.0,30.0,,50.0
ACT,92.0,39.0,,102.0
ACV,11.0,44.0,,278.0
ACY,110.0,26.0,4.0,179.0
ADK,4.0,,,21.0
ADQ,15.0,,,101.0
AEX,39.0,73.0,,157.0
AGS,66.0,13.0,,105.0
ALB,125.0,126.0,1.0,544.0
ALO,6.0,37.0,,45.0
AMA,119.0,73.0,,300.0
ANC,331.0,4.0,,516.0
APN,8.0,13.0,,101.0
ART,2.0,,,30.0
ASE,54.0,148.0,,935.0
ATL,4790.0,1643.0,9.0,9273.0
ATW,28.0,120.0,,190.0
ATY,1.0,4.0,,23.0
AUS,931.0,231.0,3.0,1573.0
AVL,93.0,75.0,,331.0
AVP,31.0,94.0,,132.0
AZA,34.0,,,57.0
AZO,29.0,130.0,,204.0
BDL,354.0,211.0,1.0,1471.0
BET,34.0,,,75.0
BFF,2.0,2.0,,26.0
BFL,35.0,27.0,,89.0
BFM,3.0,,,1.0
BGM,2.0,7.0,,46.0
BGR,32.0,181.0,,128.0
BHM,351.0,239.0,,615.0
BIL,15.0,11.0,,67.0
BIS,34.0,20.0,,176.0
BJI,,,,20.0
BKG,3.0,,,6.0
BLI,23.0,1.0,,26.0
BLV,2.0,,2.0,6.0
BMI,40.0,77.0,,185.0
BNA,1056.0,759.0,1.0,2584.0
BOI,99.0,49.0,,306.0
BOS,3010.0,2473.0,10.0,8272.0
BPT,51.0,17.0,,66.0
BQK,9.0,7.0,,32.0
BQN,56.0,73.0,2.0,84.0
BRD,4.0,2.0,,37.0
BRO,113.0,57.0,,143.0
BRW,13.0,,,54.0
BTM,2.0,3.0,,29.0
BTR,276.0,117.0,,295.0
BTV,79.0,371.0,,352.0
BUF,321.0,758.0,1.0,1109.0
BUR,1661.0,383.0,2.0,519.0
BWI,2505.0,1550.0,6.0,5889.0
BZN,24.0,12.0,,114.0
