Origin,Carrier,National Air System,Security,Weather
ABE,63.0,49.0,,166.0
ABI,20.0,24.0,,143.0
ABQ,354.0,81.0,,630.0
ABR,8.0,2.0,,42.0
ABY,6.0,9.0,,19.0
ACK,14.0,33.0,,57.0
ACT,111.0,39.0,,105.0
ACV,14.0,42.0,,271.0
ACY,123.0,26.0,5.0,170.0
ADK,3.0,,,22.0
ADQ,11.0,,,106.0
AEX,48.0,74.0,,167.0
AGS,80.0,13.0,,110.0
AKN,1.0,,,
ALB,180.0,142.0,1.0,576.0
ALO,14.0,35.0,,46.0
AMA,144.0,72.0,,301.0
ANC,278.0,3.0,1.0,380.0
APN,12.0,11.0,,74.0
ART,4.0,,,33.0
ASE,102.0,171.0,,1539.0
ATL,4640.0,1605.0,11.0,8947.0
ATW,33.0,131.0,,193.0
ATY,1.0,3.0,,22.0
AUS,1175.0,273.0,2.0,1650.0
AVL,121.0,77.0,,361.0
AVP,44.0,86.0,,142.0
AZA,25.0,,,44.0
AZO,36.0,129.0,,213.0
BDL,452.0,236.0,2.0,1487.0
BET,32.0,,,82.0
BFF,2.0,2.0,,28.0
BFL,41.0,19.0,,92.0
BFM,3.0,,,4.0
BGM,4.0,7.0,,51.0
BGR,47.0,169.0,,130.0
BHM,401.0,253.0,1.0,624.0
BIL,32.0,11.0,,71.0
BIS,51.0,20.0,,184.0
BJI,1.0,1.0,,18.0
BKG,4.0,,,8.0
BLI,23.0,2.0,,25.0
BLV,5.0,,3.0,8.0
BMI,54.0,78.0,,195.0
BNA,1165.0,810.0,1.0,2650.0
BOI,152.0,50.0,,305.0
BOS,2983.0,2467.0,8.0,8354.0
BPT,65.0,18.0,,70.0
BQK,11.0,5.0,,41.0
BQN,59.0,72.0,2.0,87.0
BRD,4.0,2.0,,38.0
BRO,121.0,59.0,,145.0
BRW,32.0,2.0,,75.0
BTM,2.0,3.0,,37.0
BTR,301.0,113.0,,313.0
BTV,149.0,458.0,,380.0
BUF,398.0,774.0,1.0,1171.0
BUR,1764.0,389.0,1.0,563.0
BWI,2313.0,1607.0,5.0,5895.0
BZN,43.0,9.0,,136.0
CAE,185.0,98.0,,216.0
CAK,127.0,249.0,1.0,300.0
CDC,,,,4.0
CDV,23.0,,,21.0
CEC,2.0,,,14.0
