Origin,Description,count(c.Description)
JFK,Weather,5142
LAX,Weather,3160
OGG,Carrier,494
DFW,Carrier,6664
SFO,Weather,5776
BOS,Weather,8354
LAX,Carrier,5951
DFW,Weather,15517
LAS,Weather,2503
MIA,Carrier,1292
TPA,Carrier,1427
PHL,Carrier,2195
PHL,Weather,5236
DCA,Weather,6799
SJU,Weather,1103
CLE,Carrier,908
TUS,Carrier,278
ORD,Weather,19903
SAN,Weather,1537
STL,Carrier,1260
SFO,Carrier,3935
BDL,Weather,1487
MIA,Weather,3646
LGA,Weather,10277
BNA,Carrier,1165
MFE,Weather,229
DEN,Carrier,2755
LGA,Carrier,4437
DCA,Carrier,2924
ORD,Carrier,4613
STL,Weather,2283
AUS,Carrier,1175
ORD,National Air System,9449
SJC,Weather,534
PHX,Carrier,3314
AUS,Weather,1650
JFK,Carrier,1576
IAH,Carrier,2046
COS,Weather,455
EWR,Weather,7479
TUL,Carrier,267
BWI,Weather,5895
IND,Carrier,719
OKC,Carrier,377
PIT,Carrier,834
LGA,National Air System,7336
BOS,Carrier,2983
BWI,Carrier,2313
FLL,Weather,4173
SEA,Weather,1603
CLT,Carrier,3712
CLT,Weather,8329
EWR,Carrier,2242
MSP,Carrier,1406
DFW,National Air System,1892
DTW,Weather,3883
MCO,Weather,5914
SDF,Weather,672
MCO,Carrier,2482
SLC,Carrier,663
SAT,Weather,1113
MSP,Weather,3804
SAT,Carrier,725
DSM,Carrier,227
MSY,Weather,1790
STT,Weather,256
OMA,Carrier,376
PHX,Weather,2673
IAH,Weather,7323
MKE,Carrier,604
TUL,Weather,592
DAY,Carrier,276
BNA,Weather,2650
OKC,Weather,840
ICT,Weather,482
LAS,Carrier,3582
OMA,Weather,862
PBI,Weather,1397
RIC,Weather,941
EGE,Carrier,48
RDU,Weather,2429
PHL,National Air System,1396
ATL,Weather,8947
MSY,Carrier,1111
ABQ,Weather,630
MEM,Weather,779
MEM,Carrier,391
RDU,Carrier,1108
FLL,Carrier,1549
BDL,Carrier,452
EGE,Weather,224
SNA,Weather,857
TUS,Weather,460
RNO,Weather,456
MSY,National Air System,282
CMH,Carrier,753
IND,Weather,1246
CMH,Weather,1265
SJU,Carrier,463
ANC,Carrier,278
PSP,Carrier,166
ANC,Weather,380
BET,Weather,82
WRG,Weather,24
JNU,Weather,141
YAK,Weather,39
PDX,Carrier,914
SJC,Carrier,2231
SEA,Carrier,1627
KTN,Weather,61
FAI,Carrier,99
ADQ,Weather,106
KTN,Carrier,86
OME,Weather,110
SCC,Weather,64
BLI,Weather,25
LGB,Weather,94
OME,Carrier,28
OTZ,Carrier,24
LIH,Carrier,256
JNU,Carrier,104
RSW,Weather,1307
CHS,Weather,1377
BET,Carrier,32
WRG,Carrier,32
PSG,Carrier,33
TPA,Weather,2685
IAD,Weather,1694
SLC,Weather,1263
MCO,National Air System,701
DEN,Weather,9536
HPN,National Air System,197
HPN,Weather,812
FLL,National Air System,632
SYR,Weather,566
ROC,Weather,603
BOS,National Air System,2467
EWR,National Air System,7610
PWM,Weather,517
SAV,National Air System,362
SAV,Weather,677
PWM,Carrier,209
BTV,Weather,380
HOU,Weather,3369
ROC,Carrier,265
TPA,National Air System,337
SRQ,Weather,154
SWF,Weather,64
BUR,Weather,563
SMF,Carrier,1188
LGB,Carrier,279
DCA,National Air System,2856
BDL,National Air System,236
HPN,Carrier,248
PVD,Weather,1044
JAX,Carrier,437
JAX,Weather,1137
PBI,Carrier,457
SWF,Carrier,58
JFK,National Air System,3973
PSE,Weather,40
BUF,National Air System,774
BUF,Weather,1171
BQN,Weather,87
SAV,Carrier,257
CHS,Carrier,373
PBI,National Air System,247
SRQ,National Air System,44
PDX,Weather,827
IAD,Carrier,1146
IAD,National Air System,672
PVD,National Air System,363
RSW,Carrier,554
PIT,Weather,1288
SJU,Security,7
BWI,National Air System,1607
BUF,Carrier,398
ORH,Weather,82
ORH,Carrier,53
ORH,National Air System,12
DTW,National Air System,996
SAN,Carrier,2504
ONT,Weather,514
LIT,Carrier,187
HOU,Carrier,2414
RDU,National Air System,992
MCI,Weather,1879
ICT,Carrier,173
MDW,Weather,7421
PNS,Weather,412
ECP,Weather,190
VPS,Weather,269
ATL,Carrier,4640
SMF,Weather,740
OAK,Weather,513
PVD,Carrier,390
ONT,Carrier,499
LAX,National Air System,1850
PHX,National Air System,427
RIC,Carrier,463
DAL,National Air System,384
SFO,National Air System,4299
LAS,National Air System,764
DAL,Carrier,2465
LBB,Weather,413
OAK,Carrier,2685
DAL,Weather,2944
AMA,Carrier,144
MAF,Weather,514
MDW,Carrier,2119
MAF,Carrier,233
CLE,Weather,1575
MCI,Carrier,1048
MKE,Weather,1366
BUR,Carrier,1764
PNS,Carrier,165
GEG,Weather,172
BHM,Carrier,401
MDW,National Air System,505
ELP,Carrier,299
LIT,Weather,439
DTW,Carrier,1792
GRR,Weather,755
GSP,Weather,421
SNA,Carrier,854
CAK,Weather,300
SAN,National Air System,950
OAK,National Air System,174
SYR,Carrier,250
SNA,National Air System,298
SMF,National Air System,158
PDX,National Air System,180
ELP,Weather,376
HRL,Weather,182
DAY,Weather,554
AMA,Weather,301
HRL,Carrier,73
ISP,Weather,458
ALB,Weather,576
ORF,Carrier,493
SDF,Carrier,336
MHT,Weather,553
CRP,Weather,319
MKE,National Air System,513
SLC,National Air System,153
STL,National Air System,794
BNA,National Air System,810
GRB,Weather,354
MYR,Weather,679
MYR,National Air System,136
ACY,Weather,170
PBG,Weather,32
IAG,Weather,57
SBA,Weather,395
BOI,Weather,305
CVG,Carrier,630
SAF,National Air System,5
SAF,Weather,86
FAT,Carrier,121
GCC,National Air System,9
PAH,National Air System,25
SBA,Carrier,122
DEN,National Air System,959
MAF,National Air System,109
CLD,Carrier,5
RDM,Carrier,18
RDM,Weather,235
MKG,Weather,154
BFL,Weather,92
ASE,Weather,1539
BIL,Carrier,32
ACV,Weather,271
YUM,National Air System,2
DVL,Weather,103
JMS,National Air System,52
JMS,Carrier,15
JMS,Weather,205
SBN,Weather,284
LNK,Carrier,20
MMH,Carrier,7
MCI,National Air System,425
SUN,Weather,475
DSM,Weather,485
ORF,Weather,995
FSD,Carrier,120
ONT,National Air System,135
MFR,Weather,206
EUG,Weather,169
SPI,Carrier,48
MRY,Weather,278
MRY,Carrier,84
JAC,National Air System,41
PSP,National Air System,82
FLG,National Air System,15
GCC,Weather,59
LAN,Weather,157
LAN,Carrier,30
BIL,National Air System,11
IAH,National Air System,2421
ICT,National Air System,153
BZN,Carrier,43
FAT,Weather,248
COS,Carrier,152
SBP,Carrier,49
DLH,Weather,342
CMX,Weather,205
CEC,Weather,14
CID,Carrier,114
CID,Weather,473
JAC,Weather,148
ACV,Carrier,14
HIB,Carrier,12
VEL,Weather,47
ESC,National Air System,7
GTF,Weather,37
HIB,Weather,52
IMT,Weather,61
RHI,Carrier,7
RHI,Weather,83
FWA,Weather,320
DRO,Carrier,75
DRO,Weather,160
TUS,National Air System,79
STC,Weather,11
STC,Carrier,1
MBS,Carrier,25
MBS,Weather,228
MBS,National Air System,33
SBP,National Air System,68
LNK,Weather,116
PSP,Weather,382
FCA,National Air System,6
BRD,Carrier,4
BRD,Weather,38
PIH,Weather,13
TWF,Weather,26
GRR,Carrier,243
MLI,Carrier,72
MOT,Carrier,19
CHO,Carrier,110
CHO,Weather,336
RAP,Weather,242
DLH,National Air System,37
PUB,Weather,44
FWA,Carrier,80
FWA,National Air System,104
IDA,Weather,69
AZO,Weather,213
CVG,Weather,1096
ASE,Carrier,102
GRB,Carrier,48
SEA,National Air System,394
IDA,Carrier,9
CLE,National Air System,1359
RST,Weather,255
SBN,Carrier,68
DIK,Carrier,4
FAR,Carrier,53
EVV,Weather,168
JAC,Carrier,54
GEG,Carrier,140
PLN,Weather,158
PLN,Carrier,19
AMA,National Air System,72
MLI,Weather,243
DIK,Weather,8
FCA,Weather,48
GJT,National Air System,23
DSM,National Air System,267
GTF,Carrier,5
MTJ,National Air System,17
HLN,Weather,22
ABQ,Carrier,354
MTJ,Carrier,44
CHS,National Air System,474
RAP,Carrier,47
EUG,Carrier,53
MSN,National Air System,388
HDN,Carrier,14
COS,National Air System,65
RDD,Carrier,13
RDD,Weather,151
CLD,Weather,7
AVL,Carrier,121
RKS,National Air System,12
RKS,Carrier,8
SPI,Weather,161
COD,Weather,48
COD,Carrier,3
COD,National Air System,1
RAP,National Air System,31
FSD,Weather,435
FSD,National Air System,114
