Origin,AVG(CarrierDelay),AVG(WeatherDelay),AVG(NASDelay),AVG(SecurityDelay),AVG(LateAircraftDelay),COUNT(carrierDelay),COUNT(WeatherDelay),COUNT(NASDelay),COUNT(SecurityDelay),COUNT(LateAircraftDelay)
JFK,5.0986,0.9491,4.3137,0.0448,4.5321,67039,7061,71737,799,45648
LAX,3.7262,0.1502,2.6296,0.0268,4.7987,115595,3605,111872,753,116102
DFW,4.6452,0.9657,2.5345,0.0100,5.1268,155125,23499,136061,533,126406
OGG,2.8108,0.1634,0.5289,0.0117,3.0532,10076,809,3609,63,9224
HNL,3.0222,0.0979,0.4058,0.0431,1.7273,18655,1009,5571,244,9634
SFO,3.9544,0.1967,2.7133,0.0140,6.7837,87146,3513,98123,435,104649
ATL,3.5907,0.8511,2.0295,0.0071,3.0112,174364,30998,141060,376,136018
BOS,4.0202,0.5473,4.0275,0.0184,5.0850,73326,7109,83760,569,64090
ONT,2.1978,0.2127,2.3339,0.0195,4.8020,7489,353,7986,62,11680
DCA,3.0733,0.6463,3.3544,0.0101,5.4241,41962,5555,54897,218,50088
LAS,3.4367,0.2202,2.5236,0.0154,4.8485,83844,3350,73682,375,86962
PHX,3.2561,0.1662,1.9545,0.0403,3.8289,79803,2383,70280,1357,78605
IAD,4.1268,1.1240,3.5708,0.0115,4.6813,18190,3808,23811,75,16737
JAX,3.0251,0.5079,3.1358,0.0094,4.8199,8679,1127,10311,40,11495
MIA,4.8315,0.9522,3.4839,0.0219,4.1984,44931,7872,45722,316,34916
TPA,2.8538,0.5873,2.7464,0.0066,5.0807,31582,4771,31525,112,37178
PHL,3.9435,0.4782,3.7323,0.0169,4.8811,49781,3849,56921,332,41950
SJU,4.2073,0.1005,1.6210,0.0275,6.6947,14670,222,10985,234,15911
HDN,5.7497,0.8632,3.4681,0.0017,8.2220,327,79,582,1,601
SAN,2.3884,0.1880,2.5757,0.0205,4.2229,31097,1440,38257,362,41491
ORD,4.4605,1.0729,3.6427,0.0068,5.8322,166144,36855,200848,434,164095
SEA,2.9403,0.3561,2.5940,0.0149,2.8760,51928,3992,69828,355,46837
DTW,4.2873,0.7617,2.9737,0.0112,3.1338,54976,6528,63020,234,43621
SJC,2.6212,0.1429,1.5857,0.0210,4.1260,21618,672,19211,252,26011
SLC,3.0580,0.5390,1.9648,0.0058,2.5415,35900,4285,39597,124,32915
KOA,2.0020,0.0809,0.5248,0.0229,2.7048,3868,381,2015,69,4432
MCO,3.8510,0.8374,3.4393,0.0442,5.2380,67217,11076,68470,676,68179
DEN,3.6433,0.5555,2.7781,0.0062,4.8790,122637,12903,124161,249,120299
STL,3.0793,0.4043,2.4497,0.0096,4.6329,29297,2449,26954,111,32837
JAC,4.5256,0.7938,4.1790,0.0041,6.9658,1356,309,2363,4,1912
CLE,3.3455,0.3240,3.9553,0.0107,4.2527,14840,1018,21450,95,15784
HOU,3.8935,0.5022,1.6294,0.0341,4.3623,37195,2584,23560,238,35244
TUS,3.0779,0.3375,2.6598,0.0041,3.7623,5203,390,6741,22,6783
PDX,2.3048,0.2026,2.3840,0.0069,3.0322,18706,1158,24431,80,19982
IAH,3.8501,0.9552,2.8816,0.0067,4.1171,67686,11591,73307,176,58899
MSY,2.6059,0.4505,2.9409,0.0156,4.9863,20996,2616,23018,135,26059
SNA,1.9108,0.2678,2.3985,0.0048,3.8255,12765,941,16924,37,19385
BDL,3.0267,0.4358,2.4675,0.0077,4.1343,9976,962,10386,45,9460
RSW,2.7806,0.3424,3.4228,0.0050,5.4142,12289,987,14586,37,15551
SAT,2.7702,0.3353,1.9668,0.0041,4.3525,13148,894,12899,36,16685
MKE,3.1019,0.5742,2.7704,0.0045,4.2936,9956,1470,14356,33,13578
PBI,3.5995,0.3412,4.7723,0.0219,5.9707,13489,834,14737,80,15064
CLT,3.5436,0.6944,2.6835,0.0367,4.4660,88975,12268,90622,1481,78087
BWI,3.8314,0.5448,2.4025,0.0335,3.9599,56371,4151,44159,514,50218
LGA,3.9431,0.6171,3.9123,0.0124,7.4120,62603,7020,82468,233,82091
BNA,3.0868,0.4444,2.6301,0.0112,4.9535,27666,2764,28119,131,34043
MFE,3.9413,0.6604,2.5546,0.0037,5.2397,974,131,1268,8,1549
EWR,4.6364,0.7297,3.7271,0.0124,7.5510,80823,6917,79632,283,79232
AUS,3.0730,0.4468,2.6455,0.0122,4.6346,23300,1993,24433,177,26322
RDU,3.4261,0.5307,3.8581,0.0123,5.2196,20697,2097,25392,134,23494
LIH,2.2888,0.1450,0.4197,0.0060,3.0068,3742,552,1442,20,4517
MCI,2.4607,0.3930,2.3537,0.0093,4.1534,16091,1598,19505,130,21809
ORF,4.0336,0.5079,3.6785,0.0113,5.0672,6077,596,7443,20,7392
COS,6.8547,0.8606,3.2267,0.0014,4.3707,3671,632,4639,4,3315
STT,3.3223,0.2659,1.9618,0.0405,6.6358,1401,166,1707,39,2114
TUL,2.8524,0.5500,2.2665,0.0108,4.2452,4658,606,6005,26,6872
FLL,4.2392,0.6328,4.3008,0.0497,4.6437,51836,5641,54429,841,45637
IND,3.0476,0.4763,3.3012,0.0081,4.2682,12869,1486,17090,41,15535
OKC,3.1511,0.8125,2.1072,0.0133,4.6160,6454,1017,7306,37,8972
PIT,2.6341,0.3632,3.1781,0.0073,4.0448,11102,1184,17034,39,14095
ABQ,2.9313,0.4226,1.8578,0.0461,4.6575,8871,721,8372,111,11610
RNO,2.7608,0.3391,2.5014,0.0072,4.9397,5995,407,7368,31,8982
ELP,3.2229,0.5213,1.6483,0.0080,4.7542,5401,496,4773,32,7287
CMH,3.0335,0.4871,3.4345,0.0041,4.2294,12101,1398,16391,35,14506
SMF,2.3272,0.1223,1.7269,0.0066,4.4210,17372,532,17395,64,24191
PSP,4.4091,0.3004,4.0513,0.0083,4.4926,3014,160,5168,27,4232
DAY,3.7927,0.5409,3.6283,0.0024,5.1451,3408,423,5125,6,4612
MEM,3.1459,0.4931,3.0785,0.0045,4.5556,6577,743,8424,27,8561
