Origin,Dest,OrigDest,TotalDelay
JFK,LAX,JFK-LAX,7.7945
LAX,JFK,LAX-JFK,15.4207
DFW,HNL,DFW-HNL,38.6645
OGG,DFW,OGG-DFW,5.4116
DFW,OGG,DFW-OGG,36.3772
HNL,DFW,HNL-DFW,12.0673
OGG,LAX,OGG-LAX,8.7535
JFK,SFO,JFK-SFO,15.6393
SFO,JFK,SFO-JFK,19.1590
ATL,MIA,ATL-MIA,11.4241
DFW,SFO,DFW-SFO,27.6301
SFO,DFW,SFO-DFW,19.5329
BOS,LAX,BOS-LAX,11.0036
DFW,LAS,DFW-LAS,19.8960
LAX,MIA,LAX-MIA,18.1409
DFW,ONT,DFW-ONT,19.3025
ONT,DFW,ONT-DFW,9.1072
LAX,HNL,LAX-HNL,16.2212
DCA,DFW,DCA-DFW,11.9786
DFW,DCA,DFW-DCA,15.0067
LAS,JFK,LAS-JFK,18.1829
DFW,MCO,DFW-MCO,20.8384
ATL,DFW,ATL-DFW,14.2299
DFW,ATL,DFW-ATL,15.5440
DFW,PHX,DFW-PHX,21.5538
PHX,DFW,PHX-DFW,12.8159
IAD,DFW,IAD-DFW,22.2624
DFW,IAD,DFW-IAD,19.7056
JAX,DFW,JAX-DFW,23.8827
MIA,TPA,MIA-TPA,16.6180
TPA,MIA,TPA-MIA,14.2318
LAX,MCO,LAX-MCO,13.3437
DFW,PHL,DFW-PHL,22.2869
PHL,DFW,PHL-DFW,15.8318
MIA,LAX,MIA-LAX,20.4534
SJU,MIA,SJU-MIA,10.9090
DFW,MKE,DFW-MKE,19.4911
DFW,HDN,DFW-HDN,15.6316
HDN,DFW,HDN-DFW,30.6486
SAN,DFW,SAN-DFW,12.3556
DFW,SAN,DFW-SAN,18.5466
DCA,ORD,DCA-ORD,11.8589
ORD,DCA,ORD-DCA,16.5061
ORD,SEA,ORD-SEA,17.6795
SEA,ORD,SEA-ORD,12.2790
DFW,DTW,DFW-DTW,22.0938
DTW,DFW,DTW-DFW,17.7018
JFK,LAS,JFK-LAS,9.7600
SJC,ORD,SJC-ORD,9.5246
ORD,SJC,ORD-SJC,21.2147
SLC,DFW,SLC-DFW,11.6431
DFW,SLC,DFW-SLC,17.8214
LAX,DCA,LAX-DCA,1.2085
DCA,LAX,DCA-LAX,3.1911
LAS,ORD,LAS-ORD,12.4626
ORD,LAS,ORD-LAS,21.2596
KOA,LAX,KOA-LAX,11.9854
LAX,KOA,LAX-KOA,6.6007
DFW,MIA,DFW-MIA,29.0042
MIA,DFW,MIA-DFW,23.5139
MIA,PHX,MIA-PHX,15.7235
DFW,JFK,DFW-JFK,31.1252
JFK,DFW,JFK-DFW,17.8662
SJU,JFK,SJU-JFK,13.1100
JFK,SJU,JFK-SJU,17.4744
SFO,MIA,SFO-MIA,18.4094
MIA,SFO,MIA-SFO,30.0182
MCO,DFW,MCO-DFW,17.4304
DEN,ORD,DEN-ORD,20.6883
ORD,DEN,ORD-DEN,24.2843
PHX,MIA,PHX-MIA,10.1285
MCO,ORD,MCO-ORD,19.6868
ORD,MCO,ORD-MCO,19.8140
LAX,ORD,LAX-ORD,13.1952
ORD,LAX,ORD-LAX,22.5671
LAX,STL,LAX-STL,20.3986
ORD,SAN,ORD-SAN,15.8825
STL,LAX,STL-LAX,11.0480
DFW,PDX,DFW-PDX,15.5322
SAN,ORD,SAN-ORD,9.3174
BOS,ORD,BOS-ORD,17.5906
DFW,JAC,DFW-JAC,33.3244
JAC,DFW,JAC-DFW,25.5831
LAX,OGG,LAX-OGG,9.0481
HNL,LAX,HNL-LAX,9.0001
DFW,STL,DFW-STL,17.2292
STL,DFW,STL-DFW,14.2166
LAS,LAX,LAS-LAX,18.3068
LAX,LAS,LAX-LAS,16.2303
PHL,CLT,PHL-CLT,10.2066
CLE,DFW,CLE-DFW,16.9135
DFW,CLE,DFW-CLE,22.8073
DFW,HOU,DFW-HOU,28.4830
HOU,DFW,HOU-DFW,28.1150
IAD,LAX,IAD-LAX,6.6008
LAX,IAD,LAX-IAD,2.9664
SFO,LAX,SFO-LAX,22.4995
DFW,SMF,DFW-SMF,21.1705
TUS,DFW,TUS-DFW,9.8058
DFW,TUS,DFW-TUS,18.7984
BOS,JFK,BOS-JFK,23.8285
JFK,BOS,JFK-BOS,25.5875
PDX,ORD,PDX-ORD,7.9937
ORD,RNO,ORD-RNO,37.5217
IAH,MIA,IAH-MIA,17.0418
DFW,ORD,DFW-ORD,20.5879
SAN,JFK,SAN-JFK,14.0267
JFK,SAN,JFK-SAN,7.5999
SFO,ORD,SFO-ORD,21.0891
ORD,PDX,ORD-PDX,18.1075
DFW,MSY,DFW-MSY,20.0945
MSY,DFW,MSY-DFW,18.1135
SNA,ORD,SNA-ORD,6.7564
ORD,SNA,ORD-SNA,11.0784
DEN,MIA,DEN-MIA,16.7579
MIA,DEN,MIA-DEN,17.7677
BDL,DFW,BDL-DFW,9.7912
DFW,BDL,DFW-BDL,17.3425
DFW,RSW,DFW-RSW,17.9104
RSW,DFW,RSW-DFW,14.5284
DFW,SJC,DFW-SJC,17.7624
SJC,DFW,SJC-DFW,8.0271
JFK,ORD,JFK-ORD,29.8506
LAX,BOS,LAX-BOS,8.6419
MIA,PHL,MIA-PHL,25.8181
ORD,SFO,ORD-SFO,31.4931
ORD,JFK,ORD-JFK,41.5164
DFW,SAT,DFW-SAT,17.5705
SAT,DFW,SAT-DFW,11.5746
LAS,MIA,LAS-MIA,18.3216
MIA,LAS,MIA-LAS,18.6829
MCO,LAX,MCO-LAX,15.7628
MKE,DFW,MKE-DFW,16.3584
DFW,PBI,DFW-PBI,17.2292
PBI,DFW,PBI-DFW,7.2452
MIA,SAN,MIA-SAN,14.8317
MIA,BOS,MIA-BOS,21.6689
CLT,MIA,CLT-MIA,19.9141
MIA,CLT,MIA-CLT,14.4161
BWI,DFW,BWI-DFW,20.7088
DFW,BWI,DFW-BWI,17.1162
TUS,ORD,TUS-ORD,13.9340
LGA,ORD,LGA-ORD,21.3259
BNA,DFW,BNA-DFW,18.3851
DFW,BNA,DFW-BNA,15.8838
MFE,DFW,MFE-DFW,16.5824
MIA,JFK,MIA-JFK,34.3253
DEN,DFW,DEN-DFW,20.3008
DFW,DEN,DFW-DEN,18.5521
LAS,DFW,LAS-DFW,16.8666
DFW,EWR,DFW-EWR,30.3728
EWR,DFW,EWR-DFW,17.3247
DFW,JAX,DFW-JAX,23.7104
AUS,LAX,AUS-LAX,10.2552
LAX,AUS,LAX-AUS,10.3030
ORD,LGA,ORD-LGA,29.8504
ORD,RDU,ORD-RDU,20.6652
RDU,ORD,RDU-ORD,24.3934
ORD,SJU,ORD-SJU,8.3726
ORD,BOS,ORD-BOS,24.6299
LAX,LIH,LAX-LIH,8.8669
LIH,LAX,LIH-LAX,14.8426
MCO,MIA,MCO-MIA,17.9792
DFW,MCI,DFW-MCI,17.1749
MCI,DFW,MCI-DFW,13.8858
ORD,PHX,ORD-PHX,16.7641
PHX,ORD,PHX-ORD,11.8386
AUS,JFK,AUS-JFK,20.8182
JFK,AUS,JFK-AUS,18.8303
DFW,ORF,DFW-ORF,22.3743
ORF,DFW,ORF-DFW,16.7991
DFW,IAH,DFW-IAH,19.9351
IAH,DFW,IAH-DFW,21.0675
COS,DFW,COS-DFW,20.4619
DFW,COS,DFW-COS,22.2399
ORD,MIA,ORD-MIA,22.7308
MIA,STT,MIA-STT,18.1332
STT,MIA,STT-MIA,7.0038
DFW,MEM,DFW-MEM,21.5817
LAX,SFO,LAX-SFO,27.1621
BWI,MIA,BWI-MIA,13.1281
MIA,BWI,MIA-BWI,18.4435
EWR,MIA,EWR-MIA,20.8054
TUL,DFW,TUL-DFW,11.6945
DFW,FLL,DFW-FLL,18.7583
FLL,DFW,FLL-DFW,13.5067
SEA,MIA,SEA-MIA,13.0358
DFW,MFE,DFW-MFE,21.6745
DFW,IND,DFW-IND,20.8658
IND,DFW,IND-DFW,13.9388
DFW,OKC,DFW-OKC,20.3794
OKC,DFW,OKC-DFW,12.9992
DCA,JFK,DCA-JFK,22.0122
JFK,DCA,JFK-DCA,17.9333
DFW,PIT,DFW-PIT,17.3908
PIT,DFW,PIT-DFW,10.0029
DTW,MIA,DTW-MIA,6.6428
MIA,DTW,MIA-DTW,11.9615
BOS,MIA,BOS-MIA,8.2912
PBI,ORD,PBI-ORD,17.3054
DFW,RDU,DFW-RDU,17.8312
RDU,DFW,RDU-DFW,17.7700
ORD,TUS,ORD-TUS,25.0671
ABQ,DFW,ABQ-DFW,13.8644
AUS,DFW,AUS-DFW,11.7693
DFW,AUS,DFW-AUS,18.0248
MIA,LGA,MIA-LGA,22.9198
MIA,MSY,MIA-MSY,21.1030
MSY,MIA,MSY-MIA,7.4764
MIA,ATL,MIA-ATL,12.8311
MIA,TUL,MIA-TUL,46.8789
TUL,MIA,TUL-MIA,5.2632
CLT,IAH,CLT-IAH,15.4810
DFW,RNO,DFW-RNO,18.2071
