IATA_Airline,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
Southwest Airlines,98060,184604,291458,396978,503308,610684,723095,829782,929901,1033954,1136834,1242403,1343738,1439380,1549888,1656591,1765438,1875751,1987081,2096791,2200419,2307654,2414204,2522917,2628129,2722412,2835261,2946429,3058965,3172758,3289576,3402159,3504118,3613631,3722061,3831906,3938929,4033682,4147751,4260493,4375649,4490000,4607640,4720913,4826629,4940469,5051605,5163515,5270750,5365433,5479426,5589913,5703254,5815717,5933112,6047845,6155097,6269967,6377966,6491077
Delta Air Lines,63676,122746,196253,268149,342620,419380,499766,580441,652391,727849,799987,870275,938924,1006213,1084223,1160683,1241082,1322347,1405473,1488033,1563364,1641786,1715810,1787171,1856013,1920875,1999369,2073087,2153598,2234344,2317671,2402122,2475797,2555178,2629466,2699963,2769563,2835673,2916067,2994674,3076208,3159459,3245587,3333167,3410996,3492946,3568953,3643800,3717203,3784320,3868385,3950028,4035385,4122230,4212329,4303167,4384321,4470500,4550420,4631825
Express Jet Airlines,48084,90089,141964,190099,238037,285191,334512,382180,425547,470678,512322,554752,595200,633541,677371,717431,758140,799671,840693,882165,920716,959972,996021,1032276,1066008,1095703,1129573,1159349,1189374,1218752,1246995,1273759,1296747,1319985,1340496,1360850,1379962,1397472,1417504,1434854,1451276,1467579,1483610,1500281,1515395,1530388,1544213,1557433,1569633,1580513,1592980,1603394,1612099,1621228,1631804,1642441,1653304,1663610,1674682,1685613
SkyWest Airlines,46655,89104,138539,187034,236162,285220,336878,388664,435871,484357,530830,576814,623255,667648,718302,767637,818434,870689,924966,978987,1027654,1078065,1124877,1172392,1220386,1265991,1322791,1377965,1436021,1496839,1560445,1625350,1684639,1748252,1806996,1866406,1926747,1980952,2044361,2106261,2170515,2236446,2305017,2374364,2436387,2502450,2563652,2627202,2688972,2745366,2813930,2880825,2951423,3022326,3094812,3168675,3235169,3306617,3372908,3443041
American Airlines,43074,80254,124694,168873,212484,256098,336748,415456,488344,564725,637857,712935,785671,855971,934485,1008514,1086436,1164975,1244887,1323313,1395416,1469676,1541227,1614347,1686294,1752511,1829266,1902035,1978704,2054298,2131865,2209904,2278524,2353755,2423249,2496565,2568579,2635940,2711542,2785309,2862060,2938772,3017370,3096062,3169514,3247606,3321541,3396092,3471446,3541478,3619700,3693618,3772266,3848334,3927228,4007785,4084208,4164165,4241240,4320334
United Airlines,37363,72535,115406,156271,200135,244880,290753,335694,377296,422972,465208,507762,546131,584668,628358,670908,716403,762228,809486,858750,905427,954964,1000866,1045952,1088008,1127564,1175330,1220753,1269982,1321605,1374511,1427562,1474914,1525957,1574249,1623164,1667569,1708965,1757566,1807312,1859587,1914166,1970752,2027645,2080226,2135614,2186743,2238079,2284205,2327646,2380558,2432196,2485910,2539364,2594428,2649931,2701036,2755868,2805726,2856786
Puerto Rico Intl Airlines,32478,60987,94634,126885,160334,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223,194223
Envoy Air,27568,50560,76622,101350,125755,149746,173793,196909,217708,239369,258700,278791,278791,278791,278791,278791,278791,278791,278791,278791,278791,278791,278791,278791,278791,278791,278791,278791,278791,278791,278791,278791,278791,278791,278791,278791,300372,319706,342603,366029,390367,415001,440002,465143,489039,514587,538339,563288,586998,608811,635123,660186,687865,714885,743053,771844,798271,825841,851313,877946
Jetblue Airways,20482,38865,60892,82707,105059,127305,151052,174558,195565,217303,238845,262042,284111,305253,328900,351865,375980,399576,423918,448290,470538,493181,516073,540053,564021,585470,610396,635172,659965,684602,710280,735814,757504,781236,804799,829680,853010,875430,900171,925585,951679,977215,1003169,1028998,1053112,1077828,1102196,1127438,1150833,1172816,1198265,1223163,1247950,1272033,1297073,1322245,1345824,1370555,1395199,1420162
Alaska Airlines,13151,25179,39375,53260,67865,82850,98581,114612,128844,143258,157129,171439,185455,198711,213335,227963,243284,258935,275148,291546,305348,319323,333240,347452,361838,374832,390107,405266,421256,437508,454427,471061,485857,500812,515288,530508,545632,559573,575352,597157,619923,642926,667004,690334,711269,732665,752867,773487,793691,811730,833112,854194,876602,899615,924003,948409,969985,992011,1012801,1034502
