Date,Airline,DelayType,DelayValue
2015-Jan,American Airlines,CarrierDelay,4.73
2015-Jan,American Airlines,WeatherDelay,0.58
2015-Jan,American Airlines,NASDelay,2.33
2015-Jan,American Airlines,SecurityDelay,0.01
2015-Jan,American Airlines,LateAircraftDelay,5.24
2015-Jan,Alaska Airlines,CarrierDelay,2.19
2015-Jan,Alaska Airlines,WeatherDelay,0.56
2015-Jan,Alaska Airlines,NASDelay,1.77
2015-Jan,Alaska Airlines,SecurityDelay,0.01
2015-Jan,Alaska Airlines,LateAircraftDelay,3.08
2015-Jan,Jetblue Airways,CarrierDelay,3.73
2015-Jan,Jetblue Airways,WeatherDelay,0.46
2015-Jan,Jetblue Airways,NASDelay,3.94
2015-Jan,Jetblue Airways,SecurityDelay,0.06
2015-Jan,Jetblue Airways,LateAircraftDelay,5.29
2015-Jan,Delta Air Lines,CarrierDelay,2.79
2015-Jan,Delta Air Lines,WeatherDelay,0.65
2015-Jan,Delta Air Lines,NASDelay,1.88
2015-Jan,Delta Air Lines,SecurityDelay,0.01
2015-Jan,Delta Air Lines,LateAircraftDelay,1.89
2015-Jan,Express Jet Airlines,CarrierDelay,4.69
2015-Jan,Express Jet Airlines,WeatherDelay,0.4
2015-Jan,Express Jet Airlines,NASDelay,3.42
2015-Jan,Express Jet Airlines,LateAircraftDelay,5.28
2015-Jan,Frontier Airlines,CarrierDelay,4.94
2015-Jan,Frontier Airlines,WeatherDelay,0.19
2015-Jan,Frontier Airlines,NASDelay,7.19
2015-Jan,Frontier Airlines,LateAircraftDelay,9.89
2015-Jan,Hawaiian Airlines,CarrierDelay,2.67
2015-Jan,Hawaiian Airlines,WeatherDelay,0.22
2015-Jan,Hawaiian Airlines,NASDelay,0.27
2015-Jan,Hawaiian Airlines,SecurityDelay,0.03
2015-Jan,Hawaiian Airlines,LateAircraftDelay,2.37
2015-Jan,Envoy Air,CarrierDelay,5.35
2015-Jan,Envoy Air,WeatherDelay,1.97
2015-Jan,Envoy Air,NASDelay,5.52
2015-Jan,Envoy Air,SecurityDelay,0.04
2015-Jan,Envoy Air,LateAircraftDelay,8.95
2015-Jan,Spirit Airlines,CarrierDelay,2.35
2015-Jan,Spirit Airlines,WeatherDelay,0.07
2015-Jan,Spirit Airlines,NASDelay,10.88
2015-Jan,Spirit Airlines,SecurityDelay,0.04
2015-Jan,Spirit Airlines,LateAircraftDelay,2.86
2015-Jan,SkyWest Airlines,CarrierDelay,4.62
2015-Jan,SkyWest Airlines,WeatherDelay,0.66
2015-Jan,SkyWest Airlines,NASDelay,2.93
2015-Jan,SkyWest Airlines,SecurityDelay,0.01
2015-Jan,SkyWest Airlines,LateAircraftDelay,7.48
2015-Jan,United Airlines,CarrierDelay,4.65
2015-Jan,United Airlines,WeatherDelay,0.89
2015-Jan,United Airlines,NASDelay,3.05
2015-Jan,United Airlines,SecurityDelay,0
2015-Jan,United Airlines,LateAircraftDelay,4.48
2015-Jan,Puerto Rico Intl Airlines,CarrierDelay,3.11
2015-Jan,Puerto Rico Intl Airlines,WeatherDelay,0.24
2015-Jan,Puerto Rico Intl Airlines,NASDelay,2.99
2015-Jan,Puerto Rico Intl Airlines,SecurityDelay,0.03
2015-Jan,Puerto Rico Intl Airlines,LateAircraftDelay,2.5
