FlightDate,DepDelay,ArrDelay,Cancelled
2015-01-01,41,40,3
2015-01-02,48,50,1
2015-01-03,61,64,2
2015-01-04,65,67,2
2015-01-05,56,54,2
2015-01-06,54,54,2
2015-01-07,46,48,1
2015-01-08,43,41,5
2015-01-09,46,46,2
2015-01-10,38,34,1
2015-01-11,44,43,2
2015-01-12,51,55,2
2015-01-13,34,38,1
2015-01-14,28,30,1
2015-01-15,36,37,0
2015-01-16,35,35,0
2015-01-17,24,21,0
2015-01-18,30,29,0
2015-01-19,29,27,0
2015-01-20,25,28,0
2015-01-21,30,35,0
2015-01-22,31,34,0
2015-01-23,30,35,0
2015-01-24,28,31,1
2015-01-25,30,33,1
2015-01-26,29,34,10
2015-01-27,14,16,19
2015-01-28,22,23,4
2015-01-29,29,31,0
2015-01-30,35,39,0
2015-01-31,26,26,1
2015-02-01,34,33,14
2015-02-02,40,40,17
2015-02-03,38,39,3
2015-02-04,36,40,1
2015-02-05,43,47,2
2015-02-06,30,30,1
2015-02-07,23,23,0
2015-02-08,31,32,3
2015-02-09,34,36,7
2015-02-10,26,28,1
2015-02-11,26,28,0
2015-02-12,38,40,0
2015-02-13,40,40,0
2015-02-14,37,38,3
2015-02-15,37,36,9
2015-02-16,50,50,7
2015-02-17,51,51,5
2015-02-18,45,46,0
2015-02-19,44,45,0
2015-02-20,46,46,1
2015-02-21,40,42,7
2015-02-22,52,51,4
2015-02-23,45,43,8
2015-02-24,42,41,4
2015-02-25,39,41,7
2015-02-26,53,55,4
2015-02-27,45,44,4
2015-02-28,43,40,9
2015-03-01,54,55,9
2015-03-02,54,54,3
2015-03-03,49,53,5
2015-03-04,42,43,7
2015-03-05,43,42,17
2015-03-06,54,49,2
2015-03-07,38,32,0
2015-03-08,38,35,0
2015-03-09,35,32,0
2015-03-10,31,32,1
2015-03-11,35,35,0
2015-03-12,38,39,0
2015-03-13,37,39,0
2015-03-14,36,36,0
2015-03-15,36,35,0
2015-03-16,30,28,0
2015-03-17,30,30,0
2015-03-18,31,30,0
2015-03-19,34,33,0
2015-03-20,40,42,3
2015-03-21,37,35,0
2015-03-22,36,35,0
2015-03-23,41,39,4
2015-03-24,32,29,0
2015-03-25,37,37,0
2015-03-26,41,44,0
2015-03-27,43,44,0
2015-03-28,33,30,0
2015-03-29,32,28,0
2015-03-30,32,30,0
2015-03-31,29,28,0
2015-04-01,32,31,0
2015-04-02,40,42,0
2015-04-03,36,38,0
2015-04-04,28,28,0
2015-04-05,29,30,0
2015-04-06,30,31,0
2015-04-07,33,37,0
2015-04-08,39,42,0
2015-04-09,45,48,4
2015-04-10,49,50,1
2015-04-11,32,27,0
2015-04-12,33,31,0
2015-04-13,42,42,0
2015-04-14,31,32,0
2015-04-15,32,32,0
2015-04-16,38,41,1
2015-04-17,38,37,1
2015-04-18,29,28,0
2015-04-19,34,34,0
2015-04-20,40,42,3
2015-04-21,28,29,1
2015-04-22,28,30,0
2015-04-23,33,35,0
2015-04-24,40,44,1
2015-04-25,37,39,0
2015-04-26,30,31,0
2015-04-27,32,35,0
2015-04-28,24,27,0
2015-04-29,23,23,0
2015-04-30,30,28,0
2015-05-01,28,24,0
2015-05-02,23,19,0
2015-05-03,29,27,0
2015-05-04,31,29,0
2015-05-05,27,28,0
2015-05-06,30,31,1
2015-05-07,33,33,0
2015-05-08,39,40,0
2015-05-09,36,37,1
2015-05-10,40,40,5
2015-05-11,45,45,1
2015-05-12,30,30,0
2015-05-13,32,32,0
2015-05-14,35,33,0
2015-05-15,39,38,0
2015-05-16,32,30,0
2015-05-17,39,37,0
2015-05-18,47,49,1
