Month,Airline,DelayType,DelayValue
1,American ,CarrierDelay,3.83
1,American ,WeatherDelay,0.52
1,American ,NASDelay,2.48
1,American ,SecurityDelay,0.02
1,American ,LateAircraftDelay,3.62
1,Alaska ,CarrierDelay,2.01
1,Alaska ,WeatherDelay,0.41
1,Alaska ,NASDelay,2.73
1,Alaska ,SecurityDelay,0.02
1,Alaska ,LateAircraftDelay,2.76
1,Jetblue ,CarrierDelay,6.2
1,Jetblue ,WeatherDelay,0.49
1,Jetblue ,NASDelay,3.98
1,Jetblue ,SecurityDelay,0.06
1,Jetblue ,LateAircraftDelay,7.88
1,Delta ,CarrierDelay,3.59
1,Delta ,WeatherDelay,1.24
1,Delta ,NASDelay,2.43
1,Delta ,SecurityDelay,0
1,Delta ,LateAircraftDelay,2.75
1,Puerto Rico  ,CarrierDelay,3.11
1,Puerto Rico  ,WeatherDelay,0.24
1,Puerto Rico  ,NASDelay,2.99
1,Puerto Rico  ,SecurityDelay,0.03
1,Puerto Rico  ,LateAircraftDelay,2.5
1,Virgin America,CarrierDelay,2.53
1,Virgin America,WeatherDelay,0.63
1,Virgin America,NASDelay,5.42
1,Virgin America,SecurityDelay,0.03
1,Virgin America,LateAircraftDelay,4.61
1,Southwest ,CarrierDelay,2.47
1,Southwest ,WeatherDelay,0.26
1,Southwest ,NASDelay,1.5
1,Southwest ,SecurityDelay,0.01
1,Southwest ,LateAircraftDelay,4.07
1,SkyWest ,CarrierDelay,3.46
1,SkyWest ,WeatherDelay,0.7
1,SkyWest ,NASDelay,3.86
1,SkyWest ,SecurityDelay,0
1,SkyWest ,LateAircraftDelay,4.17
1,Spirit ,CarrierDelay,2.8
1,Spirit ,WeatherDelay,0.33
1,Spirit ,NASDelay,7.18
1,Spirit ,SecurityDelay,0.03
1,Spirit ,LateAircraftDelay,3.43
1,Envoy Air,CarrierDelay,3.97
1,Envoy Air,WeatherDelay,1.54
1,Envoy Air,NASDelay,4.52
1,Envoy Air,SecurityDelay,0.02
1,Envoy Air,LateAircraftDelay,6.7
1,SkyWest ,CarrierDelay,5.86
1,SkyWest ,WeatherDelay,1.27
1,SkyWest ,NASDelay,3.37
1,SkyWest ,SecurityDelay,0.02
1,SkyWest ,LateAircraftDelay,7.54
1,Express Jet ,CarrierDelay,5.84
1,Express Jet ,WeatherDelay,0.45
1,Express Jet ,NASDelay,3.52
1,Express Jet ,LateAircraftDelay,5.54
1,Hawaiian ,CarrierDelay,2.99
1,Hawaiian ,WeatherDelay,0.24
1,Hawaiian ,NASDelay,0.1
1,Hawaiian ,SecurityDelay,0.06
1,Hawaiian ,LateAircraftDelay,1.54
1,Frontier ,CarrierDelay,4.41
1,Frontier ,WeatherDelay,0.25
1,Frontier ,NASDelay,4.42
1,Frontier ,LateAircraftDelay,7.93
2,Alaska ,CarrierDelay,2.51
2,Alaska ,WeatherDelay,0.6
2,Alaska ,NASDelay,3.57
2,Alaska ,SecurityDelay,0.02
2,Alaska ,LateAircraftDelay,3.38
2,Delta ,CarrierDelay,3.35
2,Delta ,WeatherDelay,1.08
2,Delta ,NASDelay,2.44
2,Delta ,SecurityDelay,0.01
2,Delta ,LateAircraftDelay,2.91
2,Jetblue ,CarrierDelay,6.2
2,Jetblue ,WeatherDelay,0.69
2,Jetblue ,NASDelay,4.26
2,Jetblue ,SecurityDelay,0.04
2,Jetblue ,LateAircraftDelay,7.96
2,Express Jet ,CarrierDelay,5.25
2,Express Jet ,WeatherDelay,0.43
2,Express Jet ,NASDelay,3.72
2,Express Jet ,LateAircraftDelay,5.17
2,Frontier ,CarrierDelay,4.16
2,Frontier ,WeatherDelay,0.32
2,Frontier ,NASDelay,4.51
2,Frontier ,LateAircraftDelay,7.89
2,Hawaiian ,CarrierDelay,3.66
2,Hawaiian ,WeatherDelay,0.61
2,Hawaiian ,NASDelay,0.13
2,Hawaiian ,SecurityDelay,0
2,Hawaiian ,LateAircraftDelay,3.12
2,Envoy Air,CarrierDelay,4.38
2,Envoy Air,WeatherDelay,2.07
2,Envoy Air,NASDelay,5.19
2,Envoy Air,SecurityDelay,0.02
2,Envoy Air,LateAircraftDelay,8.22
2,Spirit ,CarrierDelay,3.38
2,Spirit ,WeatherDelay,0.46
2,Spirit ,NASDelay,7.7
2,Spirit ,SecurityDelay,0.02
2,Spirit ,LateAircraftDelay,4.69
2,SkyWest ,CarrierDelay,5.31
2,SkyWest ,WeatherDelay,1.29
2,SkyWest ,NASDelay,3.29
2,SkyWest ,SecurityDelay,0.01
2,SkyWest ,LateAircraftDelay,6.69
2,Puerto Rico  ,CarrierDelay,4.29
2,Puerto Rico  ,WeatherDelay,0.73
2,Puerto Rico  ,NASDelay,3.67
2,Puerto Rico  ,SecurityDelay,0.03
2,Puerto Rico  ,LateAircraftDelay,3.64
2,Virgin America,CarrierDelay,2.2
2,Virgin America,WeatherDelay,0.8
2,Virgin America,NASDelay,5.59
2,Virgin America,SecurityDelay,0.03
2,Virgin America,LateAircraftDelay,4.24
2,Southwest ,CarrierDelay,2.73
2,Southwest ,WeatherDelay,0.3
2,Southwest ,NASDelay,1.56
2,Southwest ,SecurityDelay,0.03
2,Southwest ,LateAircraftDelay,4.14
2,SkyWest ,CarrierDelay,3.14
2,SkyWest ,WeatherDelay,0.79
2,SkyWest ,NASDelay,4.11
2,SkyWest ,SecurityDelay,0
2,SkyWest ,LateAircraftDelay,4.22
