origin,dest
ABE, ATL BNA CLT DTW EWR FLL MDT MYR ORD PGD PHL PIE SAV SFB
ABI, DFW GRK
ABQ, ATL AUS BWI CLT DAL DEN DFW HOU IAH JFK LAS LAX MCI MCO MDW MSP OAK ORD PDX PHX SAF SAN SAT SEA SFO SJC SLC SNA
ABR, MSP
ABY, ATL
ACK, BOS CLT DCA HPN JFK LGA
ACT, DEN DFW
ACV, DEN LAX SFO
ACY, ATL BOS DTW FLL MCO MSY MYR ORD PBI RSW TPA
ADK, ANC
ADQ, ANC
AEX, ATL DFW IAH
AGS, ATL CLT DCA DFW LGA MIA ORD PHL
AKN, ANC
ALB, ATL BTV BWI CLT DCA DEN DTW EWR FLL IAD LAS MCO MDW MHT MSP MYR ORD PGD PHL PIE RDU RSW SAV SFB TPA
ALO, ORD
AMA, DAL DEN DFW HOU IAH LAS PHX
ANC, ADK ADQ AKN ATL BET BLI BRW CDV DEN DFW DLG EWR FAI GEG HNL IAH JNU KOA LAS LAX LGB MSP OGG OME ORD OTZ PDX PHX SCC SEA SFO SLC
APN, DTW MBS PLN
ART, PHL
ASE, ATL DEN DFW IAH LAX MSP ORD PHX SFO SLC
ATL, ABE ABQ ABY ACY AEX AGS ALB ANC ASE ATW AUS AVL AVP AZO BDL BHM BMI BNA BOS BQK BTR BTV BUF BUR BWI BZN CAE CAK CHA CHO CHS CID CLE CLT CMH COS CRW CSG CVG DAB DAL DAY DCA DEN DFW DHN DSM DTW ECP EGE ELM ELP EVV EWN EWR EYW FAR FAY FCA FLL FNT FSD FSM FWA GJT GNV GPT GRB GRK GRR GSO GSP GTR HDN HHH HNL HOU HPN HSV IAD IAH ICT ILM IND ISP JAC JAN JAX JFK LAN LAS LAX LEX LFT LGA LIT LNK MBS MCI MCO MDT MDW MEM MGM MHT MIA MKE MLB MLI MLU MOB MSN MSO MSP MSY MTJ MYR OAJ OAK OKC OMA ONT ORD ORF PBI PDX PHF PHL PHX PIA PIT PNS PSP PVD PWM RAP RDU RIC RNO ROA ROC RST RSW SAN SAT SAV SBN SCE SDF SEA SFO SGF SHV SJC SJU SLC SMF SNA SRQ STL STT STX SYR TLH TPA TRI TTN TUL TUS TVC TYS VLD VPS XNA
ATW, ATL AZA DTW LAS MSP ORD PGD PIE SFB
ATY, DEN ORD PIR
AUS, ABQ ATL BNA BOS BTR BUF BWI CHS CLE CLT CMH CVG DAL DCA DEN DFW DTW ECP ELP EWR FLL HOU HRL IAD IAH IND JAX JFK LAS LAX LBB LCK LGB MCI MCO MDW MEM MIA MKE MSP MSY OAK OMA ONT ORD PDX PHL PHX PIE PIT PNS PVD RDU RNO SAN SDF SEA SFB SFO SJC SLC SMF SNA STL TPA VPS
AVL, ATL BWI CLT DEN DFW DTW EWR FLL IAD LGA MCO ORD PBI PGD PHL PIE SFB SRQ TPA
AVP, ATL CLT DTW EWR IAD LGA ORD PHL PIE SFB
AZA, ATW BIL BIS BLI BLV BOI BZN CID CVG DSM EUG FAR FCA FSD FWA GFK GJT GRI GRR GTF ICT IDA IND LAS MCI MEM MFE MFR MKE MLI MOT MSO OAK OGD OMA PIA PIE PSC PVU RAP RDM RFD SBN SCK SDF SGF SGU STC TVC XNA
AZO, ATL DTW MSP ORD
BDL, ATL BWI CLE CLT CVG DCA DEN DFW DTW EWR FLL IAD IAH LAS LAX MCO MDW MIA MSP MYR ORD PBI PHL PVD RDU RSW SFO SJU STL TPA
BET, ANC
BFF, COS DEN
BFL, DEN DFW IAH PHX SFO
BFM, DEN ORD
BGM, DTW
BGR, CLT DCA DTW EWR JFK LGA ORD PHL PIE SFB
BHM, ATL BWI CAE CLL CLT DAL DCA DEN DFW DTW FLL HOU IAH LAS LGA MCO MDW MIA ORD PGD PHL PHX SFO SJC TPA
BIL, AZA COD DEN DFW LAS LAX MSP ORD PDX SEA SLC
BIS, AZA DEN DFW DVL GFK LAS MOT MSP ORD SFB
BJI, MSP
BKG, DEN DFW ORD
BLI, ANC AZA DEN HNL KOA LAS LAX OAK OGG PDX PSP SAN SEA TUS
BLV, AZA FLL JAX LAS MYR PGD PIE SFB SRQ VPS
BMI, ATL DEN DFW DTW MCO MSP ORD PIE SFB
BNA, ABE ATL AUS BHM BOS BUF BUR BWI CHS CID CLE CLT CMH CVG DAL DCA DEN DFW DTW ECP EWR FLL GRR HOU IAD IAH JAX JFK LAS LAX LGA MCI MCO MDT MDW MHK MIA MKE MOB MSN MSP MSY MYR OAK OKC OMA ORD ORF PGD PHL PHX PIE PIT PNS RDU RIC RSW SAN SAT SAV SEA SFB SFO SJC SLC SMF SRQ STL SYR TPA TTN VPS XNA
BOI, AZA DAL DEN DFW EUG GEG IAH LAS LAX LWS MDW MSP OAK ORD PDX PHX SAN SEA SFO SJC SLC SMF SUN TWF
BOS, ACK ACY ATL AUS BNA BUF BUR BWI CAK CHS CLE CLT CMH CVG DAL DCA DEN DFW DTW EWR FLL GSP HDN HNL HOU IAD IAH IND JAX JFK LAS LAX LGA LGB MCI MCO MDW MIA MKE MSN MSP MSY MVY MYR OAK ORD ORF PBI PDX PHL PHX PIT PSP RDU RIC ROC RSW SAN SAV SBN SDF SEA SFO SJC SJU SLC SMF SRQ STL STT SYR TPA
BPT, DFW
BQK, ATL
BQN, EWR FLL JFK MCO
BRD, DLH INL MSP
BRO, DEN DFW IAH ORD
BRW, ANC FAI SCC
BTM, SLC
BTR, ATL AUS CLT DCA DFW IAH JAN
BTV, ATL CLT DCA DEN DTW EWR IAD JFK LGA MCO ORD PHL
BUF, ATL AUS BNA BOS BWI CLT DCA DEN DFW DTW EWR FLL IAD JAX JFK LAS LAX LGA MCO MDW MIA MSP ORD PHL PHX RDU RSW TPA
BUR, ATL BNA BOS DAL DEN DFW HOU JFK LAS MDW OAK PDX PHX SEA SFO SJC SLC SMF
BWI, ABQ ALB ATL AUS AVL BDL BHM BNA BOS BUF CHS CLE CLT CMH CVG DAL DAY DEN DFW DTW ECP EWR FLL FNT GRR GSP HOU IAH IND ISP JAX JFK LAS LAX LIT MCI MCO MDW MEM MHT MIA MKE MSP MSY MYR OAK OKC ORD ORF PBI PDX PHL PHX PIT PVD PWM RDU ROC RSW SAN SAT SAV SDF SEA SFO SJC SJU SLC SMF SRQ STL TPA TUL TYS VPS
BZN, ATL AZA DEN DFW DTW EWR IAH LAS LAX LGA LGB MSP ORD PDX SEA SFO SLC
CAE, ATL BHM CLT DCA DFW IAD IAH LGA MIA ORD PHL
CAK, ATL BOS CLT DCA DEN DTW EWR FLL IAH LAS LGA MCO MYR ORD PHL RSW TPA TYS
CDC, SLC
CDV, ANC YAK
CEC, SFO
CGI, ORD PAH UIN
CHA, ATL CLT DCA DFW DTW EWR IAD LGA MSP ORD PHL PIE SFB
CHO, ATL CLT LGA ORD
CHS, ABE ATL AUS BNA BOS BWI CLE CLT CVG DAL DCA DEN DFW DTW EWR FLL HOU IAD IAH IND JFK LCK LGA MDW MIA MSP OKC ORD PGD PHL PIT SEA STL TTN
CID, ATL AZA BNA CLT DEN DFW DTW LAS LAX MCO MLI MSP ORD PGD PHX PIE SCE SFB
CIU, DTW MSP PLN
CKB, AVL IAD MYR ORD SFB
CLD, LAX
CLE, ABE APN ATL AUS BDL BNA BOS BWI CAK CHS CLT CRW DAL DCA DEN DFW DTW ERI EWR FLL IAD IAH ISP JAX JFK LAS LAX LGA MCO MDW MIA MKE MSN MSP MSY MYR ORD ORF PBI PDX PGD PHL PHX PIE RDU RSW SAN SAT SAV SCE SEA SFB SFO SJU SLC SRQ STL TPA VPS
CLL, BHM DFW IAH
CLT, ABE ABQ ACK AGS ALB ATL AUS AVL AVP BDL BGR BHM BNA BOS BTR BTV BUF BWI CAE CAK CHA CHO CHS CID CLE CMH CMI CRW CVG DAB DAL DAY DCA DEN DFW DSM DTW ECP EVV EWN EWR EYW FAY FLL FLO FNT FWA GNV GPT GRR GSO GSP HHH HOU HPN HSV HTS HVN IAD IAH ILM IND ITH JAN JAX JFK LAS LAX LEX LGA LIT LYH MCI MCO MDT MDW MEM MGM MHT MIA MKE MLB MOB MSN MSP MSY MTJ MYR OAJ OAK OKC OMA ORD ORF PBI PDX PGV PHF PHL PHX PIA PIT PNS PVD PWM RAP RDU RIC ROA ROC RSW SAN SAT SAV SBN SDF SEA SFO SGF SHV SJC SJU SLC SMF SRQ STL STT STX SYR TLH TOL TPA TRI TTN TUL TUS TVC TYS VPS XNA
CMH, ATL AUS BNA BOS BWI CLT CRW DAL DCA DEN DFW DTW EWR FLL HOU IAD IAH JFK LAS LAX LGA LNK MCO MDW MIA MSN MSP MSY MYR OAK OKC ORD PBI PHL PHX RDU RSW SAT SEA SFO SLC STL TPA
CMI, CLT DFW ORD
CMX, ORD
CNY, DEN SLC
COD, DEN ORD SLC
COS, ATL DEN DFW IAD IAH LAS LAX MCO MSP ORD PHX RSW SAN SAT SEA SFO SLC TPA
COU, DEN DFW ORD
CPR, COD DEN LAS RAP SLC
CRP, ATL BRO DAL DFW HOU HRL IAH
CRW, ATL CLT DCA DFW DTW IAH MYR ORD PHL
CSG, ATL
CVG, ATL AUS AZA BDL BNA BOS BWI CHS CLE CLT CMH DCA DEN DFW DTW EWR FLL FWA GRR IAD IAH JAX JFK LAS LAX LGA MCI MCO MDW MEM MIA MKE MSN MSP MSY MYR ORD ORF PBI PGD PHL PHX PIE PIT PVD RDU RIC RSW SAN SAT SAV SEA SFB SFO SJC SJU SLC SRQ STL TPA TTN VPS XNA
CWA, ATW CMX DTW MSP ORD
CYS, DFW
DAB, ATL CLT JFK LGA
DAL, ABQ AMA ATL AUS BHM BNA BOI BOS BUR BWI CHS CLE CLT CMH CRP DCA DEN DTW ECP ELP FLL GSP HOU HRL IAH ICT IND JAX LAS LAX LBB LGA LIT MAF MCI MCO MDW MEM MKE MSP MSY OAK OKC OMA ONT PBI PDX PHL PHX PIT PNS RDU RNO RSW SAN SAT SDF SEA SFO SJC SLC SMF SNA STL TPA TUL TUS
DAY, ATL BWI CLT DCA DEN DFW DTW EWR IAD IAH LGA MCO MDW MSP MYR ORD PGD PHL PIE SFB TPA
DBQ, ORD
DCA, ACK AGS ALB ATL AUS BDL BGR BHM BNA BOS BTR BTV BUF CAE CAK CHA CHS CLE CLT CMH CRW CVG DAL DAY DEN DFW DSM DTW EWR EYW FLL GRR GSO GSP HHH HOU HPN HSV IAH ILM IND JAN JAX JFK LAN LAS LAX LEX LGA LIT MCI MCO MDW MEM MGM MHT MIA MKE MLB MSN MSP MSY MVY MYR OKC OMA ORD ORF PBI PDX PHL PHX PIT PNS PVD PWM RDU ROC RSW SAV SBN SDF SEA SFO SJU SLC SRQ STL SYR TLH TPA TYS VPS XNA
DEN, ABQ ACT ACV ALB AMA ANC ASE ATL ATY AUS AVL BDL BFF BFL BFM BHM BIL BIS BKG BLI BMI BNA BOI BOS BRO BTV BUF BUR BWI BZN CAK CHS CID CLE CLT CMH CNY COD COS COU CPR CVG DAL DAY DCA DFW DIK DRO DSM DTW DVL EAR ECP EGE ELP EUG EWR FAI FAR FAT FCA FLL FSD GCC GEG GJT GRB GRR GSO GSP GTF GUC HDN HLN HNL HOB HOU HRL HSV HYS IAD IAH ICT IDA IND ISN JAC JAN JAX JFK JMS KOA LAR LAS LAX LBB LBF LBL LFT LGA LGB LIH LIT LNK MAF MCI MCO MDT MDW MEM MFR MIA MKE MLI MMH MOT MRY MSN MSO MSP MSY MTJ MYR OAK OGG OKC OMA ONT ORD ORF OTH PAE PBI PDX PHF PHL PHX PIA PIR PIT PNS PRC PSC PSP PUB PVD PWM RAP RDM RDU RIC RKS RNO RSW SAF SAN SAT SAV SBA SBP SDF SEA SFO SGF SGU SHV SJC SLC SMF SNA SRQ STL STS SUN SYR TPA TUL TUS TVC TYR TYS VEL VPS XNA XWA
