IATA_Airline,DepDelay
Jetblue Airways,14.77588315
Frontier Airlines,14.561293300000003
Mesa Airlines,12.21517699
United Airlines,11.49993363
Allegiant Air,11.38143962
Spirit Airlines,11.32787468
PSA Airlines,10.99309745
Virgin America,10.73553659
Express Jet Airlines,10.51404446
Endeavor Air,10.17016434
Southwest Airlines,10.09531089
SkyWest Airlines,9.747926964
American Airlines,9.546846313
Envoy Air,8.708388911
Delta Air Lines,7.854235142
Republic Airways,7.747183602000001
Puerto Rico Intl Airlines,6.020919407
Alaska Airlines,2.631830817
Hawaiian Airlines,0.8220218690000001
