state,ArrDelay
NJ,52.7119
NY,47.55
DE,45.9444
MA,43.8857
WV,43.333
VT,43.0323
IL,42.5471
MI,41.1493
ME,41.1186
WY,40.3972
VA,39.7202
MS,39.3728
OH,38.9674
MN,38.9594
IN,38.5888
PA,38.5669
DC,38.4068
ND,38.3892
GA,38.3487
SD,38.0819
FL,37.3849
CO,37.2332
SC,36.8938
TX,36.8637
PR,36.7994
KS,36.7861
WI,36.7594
AL,36.6661
CT,36.5321
KY,36.5137
IA,36.3076
RI,35.3838
LA,34.8668
TN,34.6279
CA,34.472
VI,34.3508
NC,34.1953
AR,34.136
NE,33.8727
NH,33.7847
OK,33.4485
UT,32.1561
MT,31.7797
MD,31.5278
MO,31.3839
NV,31.3256
NM,30.7418
TT,30.6627
ID,30.626
OR,30.3938
AZ,30.3048
WA,28.9277
AK,24.5397
HI,21.5208
