state,DepDelay
ND,60.1367
DE,59.7547
VT,59.2791
WY,58.1226
WV,55.8069
SD,55.4566
ME,54.9135
KS,54.509
MS,53.0079
MT,50.13
VA,48.503
IA,47.5569
AR,47.0653
SC,46.7973
NY,46.3045
NJ,46.2021
KY,45.8596
AL,45.6126
VI,44.2577
WI,44.0375
OH,43.5517
IN,43.5088
ID,43.1865
MI,43.17
DC,42.8411
NE,41.5832
MA,40.691
PR,40.2386
PA,40.0436
TT,39.6827
LA,39.6434
FL,39.4557
OK,39.4512
NH,39.2025
MN,38.4645
IL,37.6744
TN,37.5637
RI,36.7251
CT,36.4909
NC,35.8381
CO,34.7506
TX,34.7259
NM,34.1927
OR,33.8935
CA,33.0381
UT,32.3858
GA,32.2006
MO,31.7557
NV,31.3593
AK,30.5921
MD,29.9719
AZ,29.4287
WA,28.7249
HI,23.3699
