Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.007541040663611579,2.681071987934335,3.2299437322350486,0.0038285283369104937,17239,2.4645861128835778,0.9613666686002669,0.0012181681071987934,0.1812170079470967,1.6098763999303662,17233,0.11833633041359708,0.17216967446178844,y
2016,0.00573779993045091,2.259070360496117,0.19566477338588154,0.002318303002202388,17254,1.5334994783818245,1.0187202967427842,0.0033615393531934625,0.15752868899965225,-5.350878209958843,17251,0.07308450214443028,0.10921106022839255,y
2017,0.008349278135327882,2.5570823911404883,0.6213834290021453,0.0035368469878819505,17247,1.7650026091494173,1.2547689453238244,0.0022612628283179685,0.2555806806980924,-2.4739100185528757,17248,0.08337681915695483,0.13839285714285715,y
2018,0.007006680788658954,2.193688555754712,-0.16327195698223887,0.002878713812394764,18411,1.9895714518494378,1.0032046059420998,0.011514855249579056,0.21367660637662267,-2.887916508126325,18397,0.0825593395252838,0.13741370875686254,y
2019,0.008426374552348851,2.374657678533811,0.5794712449968401,0.0034758795028439014,18988,2.1088582262481568,1.0322835475036864,0.005635137981883294,0.15699389087844956,-1.2639810426540283,18990,0.0987465767853381,0.14971037388098998,y
1,0.010546811617718643,2.2761642057439557,-0.6905727730001623,0.007463897452539348,6163,1.4760668505597923,1.3227324355021906,0.0008112932013629726,0.30845367515820216,-7.4569848755895265,6149,0.07918221645302613,0.1073345259391771,m
2,0.02094048493754592,2.542432035268185,0.7556943423952975,0.006245407788390889,5444,2.0626377663482733,1.328434974283615,0.0,0.35966201322556945,-2.370268283719221,5442,0.09900808229243203,0.15527379639838296,m
3,0.008976377952755906,2.6376377952755905,0.08409448818897637,0.0029921259842519685,6350,1.4760629921259842,1.169763779527559,0.0,0.17480314960629922,-3.328656998738966,6344,0.08803149606299213,0.13761034047919293,m
4,0.004855940433797346,1.575590806086112,-2.6296536095823893,0.002589834898025251,6178,1.1246358044674651,0.8811913240530916,0.019909355778569116,0.20945289737779216,-5.034287562671842,6183,0.06069925542246682,0.10739123402878861,m
5,0.004680395827761434,2.0505482749398234,-1.2352233217437818,0.002674511901577962,7478,1.41869483819203,1.0456004279219042,0.001470981545867879,0.09668360524204332,-2.429560585885486,7510,0.06940358384594811,0.12237017310252996,m
6,0.005608974358974359,2.190705128205128,1.1197916666666667,0.0026041666666666665,9984,2.6160857371794872,0.8549679487179487,0.0016025641025641025,0.10166266025641026,0.06024216951866306,9993,0.0967548076923077,0.15190633443410387,m
7,0.003966057922892455,2.6835454713152553,2.7419295332964397,0.0024903154399557276,10842,2.8423722560413207,0.7072495849474266,0.00387382401770891,0.12174875484228002,-0.4340248962655602,10845,0.10542335362479248,0.1413554633471646,m
8,0.004549854791868344,2.977734753146176,3.933107454017425,0.002323330106485963,10330,2.7666021297192644,0.8465634075508228,0.010842207163601162,0.06234269119070668,2.6762052575419535,10309,0.12090997095837366,0.18867009409254049,m
9,0.003472222222222222,2.4577991452991452,0.7657585470085471,0.002003205128205128,7488,1.4751602564102564,0.9603365384615384,0.0,0.08092948717948718,-3.184182305630027,7460,0.07839209401709402,0.11648793565683646,m
10,0.007228158390949088,2.160433689503457,-0.352294154619736,0.0031426775612822125,6364,1.375078566939032,1.0009428032683847,0.018698931489629166,0.22281583909490887,-3.302391441157961,6356,0.07652419861722187,0.13735053492762744,m
11,0.008808376267242813,2.281369453215888,0.698687053348845,0.0033239155725444574,6017,1.9139105866710986,1.507894299484793,0.0,0.41532325078942994,-3.173233582709892,6015,0.08974572045870034,0.15045719035743974,m
12,0.01384402399630826,2.6894323950161514,2.0964467005076144,0.0029226272881095216,6501,1.8421781264420858,1.569604676203661,0.0013844023996308261,0.4117828026457468,-2.269000460617227,6513,0.10490693739424704,0.15430677107323815,m
Mon,0.009408704964430506,2.7405339248833473,0.867054233917234,0.003365715597032051,13073,1.8828119023942478,0.9643540120859787,0.006807924730360284,0.25051633136999923,-2.243486973947896,12974,0.09064484051097682,0.13873901649452752,d
Tue,0.00785776648940392,2.2012858163346296,0.18612588300658783,0.002857369632510517,12599,1.8939598380823874,1.070402412889912,0.0016667989522978013,0.1421541392173982,-2.784735027659745,12473,0.08183189141995396,0.13004088831876853,d
Wed,0.007208073041806823,2.460756046772385,0.9294409738907576,0.002723049815793689,12486,1.897004645202627,1.1029152650969085,0.0006407176037161621,0.19213519141438412,-1.8142924676961867,12692,0.0884991190132949,0.13993066498581783,d
Thu,0.00705142944738254,2.070820878362842,0.7132674177971947,0.0027592550011496897,13047,2.167318157430827,1.0315781405687132,0.006974783475128382,0.11128995171303747,-1.562586926286509,12942,0.0900590173986357,0.14881780250347706,d
Fri,0.006573415883207216,2.364595276312772,1.453947871283345,0.002980967667966063,13083,2.176182832683635,1.2105021783994496,0.011694565466636093,0.28013452572040054,-0.3446327683615819,13098,0.09974776427424903,0.16116964422049168,d
Sat,0.006479306714181583,2.742042601441646,1.369239491374423,0.004211549364218028,12347,1.9241111201101482,1.0595286304365432,0.003968575362436219,0.162711589859885,-3.04559967253377,12215,0.0937879646877784,0.13229635693819075,d
Sun,0.007357645553422905,2.2937460012795907,0.5799744081893794,0.003598848368522073,12504,1.8708413307741523,0.9293026231605886,0.0020793346129238644,0.20585412667946257,-2.794499017681729,12725,0.09396992962252079,0.1381532416502947,d
