Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.01562228779725742,2.8987588960249955,9.863608748481166,0.002278250303766707,46088,5.0417896198576635,2.1298385696927618,0.006487588960249957,0.5215023433431696,6.238002256356851,46092,0.17321211595209166,0.20146663195348433,y
2016,0.007564950503609562,2.8508407902131156,8.289651147711062,0.0019452729866424588,46266,4.206415078027061,2.054424415337397,0.009207625470107639,0.4061081571780573,3.8600453906841024,46265,0.15629187740457356,0.17903382686696206,y
2017,0.009478491116312982,2.824129859165739,8.985667139951648,0.0018611612110978931,52118,4.355289919029894,2.886756974557734,0.01208795425764611,0.39095897770443994,3.129393032535298,52128,0.1701715338270847,0.18007596685082872,y
2018,0.009674053934431413,3.147529322500079,9.371518447093042,0.0021497897632069803,63262,4.7506085801903195,2.86184439315861,0.01553855395023869,0.2903954980873194,3.9920962362276917,63261,0.17797413929373082,0.18845734338692086,y
2019,0.013830057924593256,3.4704913861489874,10.24906078340393,0.0021104309170645553,66811,4.758423014174313,3.017302540000898,0.015177141488677014,0.6151082905509572,3.8637962256244482,66819,0.1734295250782057,0.18333108846286236,y
1,0.01484394200049152,2.772966330793807,6.6586384861145245,0.0017694765298599164,20345,3.526419267633325,2.4793315310887194,0.00860162202015237,0.2128287048414844,1.2514496314496315,20350,0.14509707544851314,0.1632923832923833,m
2,0.012504007694773967,2.4986106658116918,7.457999358768836,0.0014427701186277653,18714,3.988564710911617,2.5783905097787754,0.0033664636101314524,0.2043389975419472,2.7120111134857874,18716,0.15635353211499411,0.17621286599700792,m
3,0.012142160772844102,2.6742444385358506,8.529956571833733,0.0012408047505096163,22566,4.372108481786759,2.273331560755118,0.016662235221129133,0.2315873437915448,2.399105125592522,22573,0.16573606310378444,0.17755725867186462,m
4,0.012241470744210713,3.3101025278416123,10.004728654764008,0.00198868658299452,22628,4.584850627541099,2.7805373873077603,0.004728654764009192,0.6371751811914442,3.231537102473498,22640,0.1722644511225031,0.17791519434628975,m
5,0.012112036336109008,3.8241231390360837,13.121961476995542,0.002859786357136849,23778,5.902388762721844,3.3917907309277484,0.0055513499873832955,1.1947178063756414,6.320800740179998,23778,0.197703759777946,0.2043485574901169,m
6,0.011847155014183213,3.747830802603037,13.417612214249958,0.003420657433672618,23972,6.461455030869348,3.1400800934423496,0.02160854330051727,0.7172951777073252,9.087788806405872,23978,0.21604371767061573,0.23288014012845107,m
7,0.011704814206116968,3.674509961117569,11.747184030143906,0.0032869683729506555,24947,5.734958111195735,2.9977552411111557,0.011344049384695555,0.3111396159858901,8.55764837895243,24953,0.1966168276746703,0.2237406323888911,m
8,0.013004484304932735,3.330697105584998,9.899592335915205,0.0025682837342030167,24530,4.948389726865063,2.9538524256013043,0.015654300856094577,0.3116184264166327,7.655315851718934,24521,0.18104362005707297,0.21259328738632194,m
9,0.008572935900817726,2.3769014332190275,5.274289985052317,0.0016266596324628507,22746,2.931856150531962,2.1221753275301154,0.01916820539875143,0.26681614349775784,-0.3704013010417124,22751,0.12498900905653741,0.13726869148608853,m
10,0.010718113612004287,2.5001648940555694,7.498557177013769,0.0012779289306620496,24258,3.71568142468464,2.2741363673839556,0.008121032236787864,0.4648775661637398,2.0616652926628194,24260,0.15265067194327644,0.1647568013190437,m
11,0.008555917480998914,2.7151791530944624,8.439087947882737,0.0014332247557003258,23025,4.492725298588491,2.2287947882736154,0.009077090119435397,0.3242128121606949,1.561417220268334,23031,0.1540499457111835,0.16121748947071338,m
12,0.007727035943740233,3.206806737280778,9.741361347456156,0.0016061816287549922,23036,4.499913179371418,2.407666261503733,0.02048966834519882,0.39281993401632226,3.884809246545581,23014,0.17772182670602535,0.1911445207265143,m
Mon,0.010475774770842427,3.0738396624472575,10.137640040739123,0.002036956205441583,41238,4.9576604103011785,2.929603763519084,0.011300257044473544,0.3875309180852612,4.487084870848708,41192,0.17888840389931618,0.1879491163332686,d
Tue,0.012020505568322432,2.9147200686886032,8.10558347433016,0.0017172150811889189,39599,4.115836258491376,2.564812242733402,0.006237531250789161,0.3502361170736635,2.8930819206171963,39404,0.1566706229955302,0.169881230331946,d
Wed,0.01012049400035071,2.741551642075202,8.300182870312383,0.00202910894561487,39919,4.318169292817957,2.5643177434304465,0.011047370926125405,0.26889451138555576,3.479923184357542,40096,0.16117638217390215,0.1771498403830806,d
Thu,0.009766631493705677,3.1362911339599027,10.330421339353636,0.002306691860322446,40751,5.0247355893106915,2.8524944173149125,0.019189713135873965,0.5855807219454737,5.912215797726382,40816,0.182523128266791,0.2051891415131321,d
Fri,0.012667732403235963,2.855665358717241,10.194060940754735,0.0023010221382550986,41286,5.01363658382987,2.812188150947052,0.010051833551324904,0.6655282662403721,5.403828932400707,41317,0.18158697863682605,0.20136989616864728,d
Sat,0.01331079003996311,3.4494312941899783,7.91420227482324,0.0018444512757454657,32530,3.9635106055948355,1.8363971718413772,0.014509683369197664,0.3024900092222564,2.22309744233485,31865,0.14909314478942515,0.16836654636748785,d
Sun,0.01106521849982153,3.419866401509357,10.565218499821528,0.0022181428789964817,39222,4.89327418285656,2.7911121309469173,0.013487328540105044,0.5329406965478558,4.167297805642633,39875,0.1817602366019071,0.18881504702194357,d
