Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.019021739130434784,4.943614130434782,8.673913043478262,0.004076086956521739,1472,3.8417119565217392,3.2167119565217392,0.0,0.5726902173913043,8.759510869565217,1472,0.13722826086956522,0.22894021739130435,y
2016,0.02038369304556355,4.453836930455635,6.899880095923262,0.004196642685851319,1668,2.6270983213429258,3.54136690647482,0.0005995203836930455,0.43285371702637887,3.4412470023980815,1668,0.11031175059952038,0.14928057553956833,y
2017,0.01602747567258157,8.832283915283343,15.613050944476244,0.0034344590726960505,1747,5.145964510589582,4.266742987979393,0.0,1.2507155123068117,4.967372638809388,1747,0.1505437893531769,0.17458500286204923,y
2018,0.03069129916567342,3.743742550655542,10.231525625744935,0.0029797377830750892,3356,4.660607866507747,3.6606078665077475,0.004767580452920143,1.7351013110846245,6.574918081620495,3357,0.15792610250297973,0.19749776586237713,y
2019,0.022067039106145252,4.54608938547486,9.037150837988827,0.0019553072625698325,3580,4.630446927374302,2.4374301675977654,0.002793296089385475,1.4614525139664805,4.519128734990226,3581,0.13854748603351955,0.18207204691426976,y
1,0.046511627906976744,6.2337209302325585,13.732558139534884,0.002325581395348837,860,4.22906976744186,3.6732558139534883,0.0,3.281395348837209,6.506944444444445,864,0.17674418604651163,0.20717592592592593,m
2,0.05167958656330749,6.847545219638243,16.267441860465116,0.0012919896640826874,774,5.056847545219639,5.0813953488372094,0.0,3.144702842377261,5.332901554404145,772,0.1744186046511628,0.1955958549222798,m
3,0.0359955005624297,4.194600674915636,8.763779527559056,0.0022497187851518562,889,3.937007874015748,3.6152980877390326,0.0,1.7626546681664792,3.3622047244094486,889,0.13498312710911137,0.156355455568054,m
4,0.020316027088036117,4.302483069977427,8.633182844243793,0.001128668171557562,886,4.311512415349887,3.8544018058690743,0.0,0.708803611738149,4.512387387387387,888,0.1343115124153499,0.18130630630630631,m
5,0.005560704355885079,3.912882298424467,6.670991658943466,0.0037071362372567192,1079,3.149212233549583,2.9406858202038926,0.0,0.5727525486561631,5.33641404805915,1082,0.14087117701575533,0.18484288354898337,m
6,0.03167898627243928,5.464625131995776,11.060190073917635,0.004223864836325237,947,5.539598732840549,2.9514255543822596,0.0,0.7402323125659979,11.545454545454545,946,0.15417106652587118,0.23361522198731502,m
7,0.024832855778414518,5.467048710601719,10.838586437440306,0.0028653295128939827,1047,5.589302769818529,2.245463228271251,0.010506208213944603,0.5214899713467048,12.24976167778837,1049,0.14231136580706782,0.25166825548141086,m
8,0.022789425706472195,5.09845031905196,9.838650865998178,0.004557885141294439,1097,4.469462169553327,2.8906107566089334,0.0,0.28988149498632637,8.126709206927986,1097,0.15587967183226983,0.20783956244302643,m
9,0.013440860215053764,3.471326164874552,6.912186379928316,0.002688172043010753,1116,3.7983870967741935,2.747311827956989,0.0,1.1505376344086022,3.2041181736794986,1117,0.12096774193548387,0.1665174574753805,m
10,0.005937234944868533,3.116200169635284,4.553859202714165,0.004240882103477523,1179,2.7701441899915182,2.2561492790500424,0.007633587786259542,0.720949957591179,1.3805084745762712,1180,0.1077184054283291,0.14491525423728813,m
11,0.011959521619135235,7.548298068077277,12.674333026678934,0.0036798528058877645,1087,4.877644894204232,2.6540938362465503,0.0,1.2594296228150874,3.054428044280443,1084,0.1297148114075437,0.14852398523985239,m
12,0.02320185614849188,4.995359628770301,13.606728538283063,0.002320185614849188,862,4.835266821345708,6.131090487238979,0.008120649651972157,1.9350348027842228,2.161026837806301,857,0.14849187935034802,0.1691948658109685,m
Mon,0.02535211267605634,5.56112676056338,12.065915492957746,0.0028169014084507044,1775,5.876056338028169,2.7053521126760565,0.0005633802816901409,1.704225352112676,7.558558558558558,1776,0.16338028169014085,0.21565315315315314,d
Tue,0.025331030512377662,7.442141623488774,14.859527921704087,0.002302820955670697,1737,5.090961427748993,4.226252158894646,0.0063327576280944155,1.6994818652849741,5.086931491076569,1737,0.15947035118019573,0.18192285549798504,d
Wed,0.024198086662915026,4.4839617332583,9.929656724817107,0.004501969611705121,1777,3.9836803601575688,3.9088351153629715,0.0,1.1440630275745638,4.9764441951766685,1783,0.14912774338773213,0.18452047111609646,d
Thu,0.019740552735476594,4.539763113367174,8.130287648054146,0.001692047377326565,1773,3.0908065425831923,3.5313028764805416,0.0,0.883248730964467,5.597048808172532,1762,0.1359278059785674,0.19182746878547105,d
Fri,0.020833333333333332,3.1103603603603602,7.947072072072072,0.0022522522522522522,1776,5.2899774774774775,2.4786036036036037,0.002815315315315315,0.9611486486486487,6.090347923681257,1782,0.13175675675675674,0.19135802469135801,d
Sat,0.019636363636363636,5.585454545454546,8.692363636363636,0.004363636363636364,1375,2.9003636363636365,2.3541818181818184,0.0,2.028363636363636,2.62004662004662,1287,0.10254545454545455,0.14685314685314685,d
Sun,0.02546583850931677,4.320496894409938,8.005590062111802,0.0037267080745341614,1610,3.7453416149068324,3.8,0.006211180124223602,0.45527950310559007,6.093639575971731,1698,0.1409937888198758,0.18256772673733804,d
