Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.0163265306122449,1.7,1.6622448979591837,0.0,980,4.812244897959184,0.8316326530612245,0.16020408163265307,0.29489795918367345,2.416326530612245,980,0.12551020408163266,0.12346938775510204,y
2016,0.02147239263803681,0.22903885480572597,-7.705521472392638,0.0,978,1.5511247443762781,0.41922290388548056,0.06237218813905931,0.14314928425357873,-4.862985685071575,978,0.044989775051124746,0.05623721881390593,y
2017,0.027083333333333334,0.5416666666666666,-5.242708333333334,0.0010416666666666667,960,3.011458333333333,0.8427083333333333,0.4947916666666667,0.051041666666666666,0.009375,960,0.071875,0.09895833333333333,y
2018,0.03225806451612903,0.2114695340501792,-4.440860215053763,0.0,837,3.140979689366786,0.7048984468339307,0.6499402628434886,0.08363201911589008,-4.60931899641577,837,0.08004778972520908,0.07526881720430108,y
2019,0.02902055622732769,0.9020556227327691,0.8730350665054414,0.0012091898428053204,827,4.628778718258767,0.8065296251511487,1.2055622732769045,0.07980652962515115,-2.7206771463119708,827,0.1354292623941959,0.08827085852478839,y
1,0.03598971722365039,0.6658097686375322,-3.6889460154241647,0.0,389,3.524421593830334,0.8740359897172236,0.2493573264781491,0.442159383033419,-3.7480719794344473,389,0.07712082262210797,0.09511568123393316,m
2,0.04132231404958678,0.7933884297520661,-2.881542699724518,0.0,363,3.9779614325068873,0.4573002754820937,0.4573002754820937,0.12396694214876033,-1.8209366391184574,363,0.08539944903581267,0.10192837465564739,m
3,0.04534005037783375,0.7329974811083123,-3.8287153652392947,0.0,397,3.136020151133501,0.4609571788413098,0.33249370277078083,0.15113350125944586,-2.2317380352644838,397,0.09571788413098237,0.07556675062972293,m
4,0.010498687664041995,0.27296587926509186,-5.9501312335958,0.0,381,2.643044619422572,0.3123359580052493,0.5669291338582677,0.10236220472440945,-2.677165354330709,381,0.06824146981627296,0.06561679790026247,m
5,0.012755102040816327,0.48214285714285715,-6.964285714285714,0.0,392,1.596938775510204,0.5382653061224489,0.2423469387755102,0.0,-3.5357142857142856,392,0.0663265306122449,0.061224489795918366,m
6,0.02356020942408377,0.5549738219895288,-4.853403141361256,0.0,382,3.74869109947644,0.5837696335078534,0.07329842931937172,0.0,-2.369109947643979,382,0.06282722513089005,0.07329842931937172,m
7,0.012919896640826873,0.8785529715762274,-4.9147286821705425,0.002583979328165375,387,2.7002583979328167,0.5090439276485789,0.002583979328165375,0.0,-2.34625322997416,387,0.059431524547803614,0.08527131782945736,m
8,0.017766497461928935,1.1446700507614214,-2.5406091370558377,0.0025380710659898475,394,1.49746192893401,0.9644670050761421,0.5786802030456852,0.0,-0.6370558375634517,394,0.09390862944162437,0.08883248730964467,m
9,0.015873015873015872,0.5132275132275133,-4.555555555555555,0.0,378,2.4153439153439153,0.23809523809523808,0.20634920634920634,0.0,-2.2301587301587302,378,0.0582010582010582,0.06613756613756613,m
10,0.02284263959390863,0.6116751269035533,-1.0685279187817258,0.0,394,5.322335025380711,0.9796954314720813,0.7233502538071066,0.0,-0.43147208121827413,394,0.09137055837563451,0.09644670050761421,m
11,0.028089887640449437,1.1853932584269662,3.002808988764045,0.0,356,5.78932584269663,1.1235955056179776,0.9578651685393258,0.2556179775280899,-0.03089887640449438,356,0.1544943820224719,0.12359550561797752,m
12,0.032520325203252036,0.926829268292683,2.4227642276422765,0.0,369,4.742547425474255,1.6151761517615175,1.5365853658536586,0.5609756097560976,0.032520325203252036,369,0.18157181571815717,0.13821138211382114,m
Mon,0.041343669250646,0.6149870801033591,-3.854005167958656,0.0012919896640826874,774,3.9573643410852712,0.6214470284237726,0.3165374677002584,0.1330749354005168,-1.317829457364341,774,0.07622739018087855,0.08139534883720931,d
Tue,0.022590361445783132,0.5542168674698795,-5.811746987951807,0.0015060240963855422,664,2.4021084337349397,0.6686746987951807,0.2289156626506024,0.21686746987951808,-3.6927710843373496,664,0.058734939759036146,0.06626506024096386,d
Wed,0.0316622691292876,1.0184696569920844,-3.778364116094987,0.0,758,2.7612137203166225,0.9063324538258575,0.46965699208443273,0.23614775725593667,-3.1715039577836412,758,0.07387862796833773,0.07651715039577836,d
Thu,0.019345238095238096,1.2529761904761905,-2.8199404761904763,0.0,672,2.299107142857143,1.0744047619047619,0.5193452380952381,0.08333333333333333,-4.1711309523809526,672,0.08779761904761904,0.06696428571428571,d
Fri,0.014705882352941176,0.4602941176470588,-0.7132352941176471,0.0,680,3.7955882352941175,0.763235294117647,0.9588235294117647,0.10441176470588236,-0.3176470588235294,680,0.12941176470588237,0.11029411764705882,d
Sat,0.021153846153846155,0.825,-0.4423076923076923,0.0,520,5.140384615384615,0.4846153846153846,0.5711538461538461,0.03076923076923077,1.5461538461538462,520,0.12307692307692308,0.1326923076923077,d
Sun,0.017509727626459144,0.2587548638132296,-3.149805447470817,0.0,514,3.9513618677042803,0.36186770428015563,0.3560311284046693,0.08754863813229571,-0.7704280155642024,514,0.09727626459143969,0.10311284046692606,d
