Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.014893617021276596,2.6645390070921984,5.350354609929078,0.0028368794326241137,2820,4.758510638297873,2.9145390070921984,0.0007092198581560284,0.22446808510638297,4.9109613338063145,2819,0.1450354609929078,0.17949627527492018,y
2016,0.009988474836726853,3.816365731847868,4.545140222819823,0.001920860545524395,2603,4.1628889742604684,1.955820207452939,0.005378409527468306,0.06799846331156358,5.03878648233487,2604,0.10679984633115636,0.16781874039938557,y
2017,0.008272058823529412,4.0666360294117645,4.939338235294118,0.002297794117647059,2176,4.241727941176471,2.5298713235294117,0.003216911764705882,0.06801470588235294,4.32367816091954,2175,0.1135110294117647,0.167816091954023,y
2018,0.009896729776247849,4.473321858864027,5.57487091222031,0.0034423407917383822,2324,4.549483648881239,2.267211703958692,0.0,0.2680722891566265,5.168674698795181,2324,0.12349397590361445,0.18115318416523235,y
2019,0.017415957877683273,6.139327663021466,6.514783313082219,0.0032401782098015392,2469,3.707978938841636,1.6524908869987849,0.0,0.3940866747671122,8.77004048582996,2470,0.11462130417172944,0.21012145748987854,y
1,0.01583949313621964,6.6694825765575505,8.859556494192185,0.0021119324181626186,947,4.865892291446674,2.1974656810982047,0.0,0.3347412882787751,6.890295358649789,948,0.1341077085533263,0.19198312236286919,m
2,0.011560693641618497,8.077456647398844,8.869364161849711,0.003468208092485549,865,3.9780346820809247,2.0,0.0,0.035838150289017344,8.110854503464203,866,0.14450867052023122,0.2066974595842956,m
3,0.010700389105058366,3.562256809338521,3.904669260700389,0.0029182879377431907,1028,4.060311284046692,1.0554474708171206,0.0,0.669260700389105,4.62293488824101,1029,0.10019455252918288,0.16326530612244897,m
4,0.01027077497665733,2.295051353874883,1.746031746031746,0.0018674136321195146,1071,3.018674136321195,2.4528478057889824,0.0,0.015873015873015872,0.7923292797006548,1069,0.09803921568627451,0.13189897100093545,m
5,0.010889292196007259,2.8847549909255896,4.52994555353902,0.0027223230490018148,1102,3.2132486388384756,3.7867513611615244,0.0,0.16061705989110708,4.915684496826836,1103,0.11978221415607986,0.16681776971894832,m
6,0.011732851985559567,4.030685920577618,5.236462093862816,0.0036101083032490976,1108,4.867328519855596,1.7093862815884477,0.0,0.213898916967509,6.242095754290876,1107,0.1272563176895307,0.1860885275519422,m
7,0.009900990099009901,3.2943294329432944,3.398739873987399,0.0009000900090009,1111,4.713771377137713,1.7470747074707471,0.0,0.16471647164716471,6.197841726618705,1112,0.11431143114311432,0.18974820143884893,m
8,0.019748653500897665,3.2244165170556554,6.337522441651705,0.00718132854578097,1114,6.295332136445243,2.0601436265709157,0.0,0.0,10.522012578616351,1113,0.1436265709156194,0.23809523809523808,m
9,0.006951340615690168,2.8421052631578947,0.9990069513406157,0.0019860973187686196,1007,2.8291956305858985,1.6564051638530288,0.0,0.031777557100297914,2.734592445328032,1006,0.09235352532274081,0.14612326043737575,m
10,0.016252390057361378,5.631931166347992,7.041108986615678,0.0019120458891013384,1046,3.9741873804971317,2.6806883365200767,0.01338432122370937,0.13097514340344169,5.245463228271251,1047,0.12237093690248566,0.18624641833810887,m
11,0.008763388510223954,1.8860759493670887,2.8198636806231745,0.0009737098344693282,1027,3.054527750730282,3.27555988315482,0.0,0.3924050632911392,1.2694552529182879,1028,0.10808179162609542,0.1517509727626459,m
12,0.014492753623188406,7.081780538302278,12.282608695652174,0.003105590062111801,966,6.6563146997929605,2.590062111801242,0.009316770186335404,0.34368530020703936,10.78838174273859,964,0.15734989648033126,0.22199170124481327,m
Mon,0.012432432432432432,3.537837837837838,4.483243243243243,0.004864864864864865,1850,4.343783783783784,2.135135135135135,0.0,0.05945945945945946,7.6142625607779575,1851,0.1227027027027027,0.2036736898973528,d
Tue,0.013016411997736276,3.123372948500283,3.9700056593095643,0.003395585738539898,1767,3.6021505376344085,2.5727221279003962,0.003961516694963215,0.10243350311262026,4.398534385569334,1774,0.11997736276174306,0.1786922209695603,d
Wed,0.010917030567685589,3.4634279475982535,5.004912663755459,0.0,1832,4.4284934497816595,2.3777292576419216,0.001091703056768559,0.618995633187773,5.991803278688525,1830,0.12336244541484716,0.173224043715847,d
Thu,0.013057671381936888,3.5489662676822635,4.258977149075082,0.002720348204570185,1838,4.001632208922742,2.3498367791077257,0.0,0.19205658324265507,5.64161220043573,1836,0.11969532100108814,0.17919389978213507,d
Fri,0.011400651465798045,5.977741585233442,8.864820846905538,0.0027144408251900108,1842,5.314875135722041,2.768186753528773,0.00760043431053203,0.31704668838219324,6.8,1840,0.13029315960912052,0.18695652173913044,d
Sat,0.014935064935064935,4.861688311688312,3.6422077922077922,0.0025974025974025974,1540,2.985064935064935,1.55,0.0,0.03571428571428571,2.9538784067085953,1431,0.09610389610389611,0.15024458420684836,d
Sun,0.01044689495066744,4.887405687753917,7.233894370284387,0.002901915264074289,1723,5.1984910040626815,2.0354033662217064,0.0,0.07951247823563552,5.510382513661202,1830,0.13406848520023215,0.1907103825136612,d
