Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2019,0.04430379746835443,0.5063291139240507,6.082278481012659,0.006329113924050633,158,7.594936708860759,8.386075949367088,0,0,7.0,158,0.189873417721519,0.22151898734177214,y
5,0.047619047619047616,0.0,4.904761904761905,0.0,21,5.0476190476190474,8.047619047619047,0,0,11.238095238095237,21,0.19047619047619047,0.42857142857142855,m
6,0.09090909090909091,0.045454545454545456,14.318181818181818,0.0,22,7.636363636363637,17.136363636363637,0,0,18.90909090909091,22,0.4090909090909091,0.36363636363636365,m
7,0.043478260869565216,2.0,9.782608695652174,0.043478260869565216,23,8.91304347826087,12.826086956521738,0,0,15.304347826086957,23,0.2608695652173913,0.30434782608695654,m
8,0.0,0.0,-5.619047619047619,0.0,21,0.0,10.142857142857142,0,0,-9.80952380952381,21,0.047619047619047616,0.0,m
9,0.09523809523809523,0.0,17.61904761904762,0.0,21,23.285714285714285,1.1428571428571428,0,0,17.904761904761905,21,0.09523809523809523,0.19047619047619047,m
10,0.045454545454545456,0.36363636363636365,8.636363636363637,0.0,22,10.318181818181818,5.090909090909091,0,0,7.636363636363637,22,0.22727272727272727,0.22727272727272727,m
11,0.0,1.5625,-3.125,0.0,16,0.3125,8.4375,0,0,-5.75,16,0.125,0.125,m
12,0.0,0.0,-6.166666666666667,0.0,12,0.0,0.0,0,0,-12.0,12,0.08333333333333333,0.0,m
Mon,0.08571428571428572,0.0,10.6,0.0,35,8.971428571428572,11.085714285714285,0,0,14.285714285714286,35,0.2571428571428571,0.3142857142857143,d
Wed,0.031746031746031744,0.12698412698412698,9.333333333333334,0.015873015873015872,63,11.603174603174603,4.825396825396825,0,0,12.73015873015873,63,0.2222222222222222,0.2698412698412698,d
Fri,0.0,0.0,-7.833333333333333,0.0,6,0.0,0.0,0,0,3.1666666666666665,6,0.0,0.16666666666666666,d
Sat,0.037037037037037035,1.3333333333333333,0.9074074074074074,0.0,54,2.8703703703703702,11.722222222222221,0,0,-3.9814814814814814,54,0.12962962962962962,0.1111111111111111,d
