Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.009259259259259259,9.416666666666666,9.333333333333334,0,324,4.317901234567901,1.7191358024691359,0.009259259259259259,0.0,3.169230769230769,325,0.10802469135802469,0.13846153846153847,y
2016,0.005701254275940707,6.960091220068415,8.672748004561003,0,877,4.992018244013683,1.2679589509692133,0.0068415051311288486,0.5290763968072976,7.702394526795895,877,0.1322690992018244,0.1619156214367161,y
2017,0.02991944764096663,4.75258918296893,11.22324510932106,0,869,8.188722669735329,1.194476409666283,0.0,2.4016110471806673,6.6892980437284235,869,0.1518987341772152,0.17491369390103567,y
2018,0.011956521739130435,7.014130434782609,11.283695652173913,0,920,5.332608695652174,2.606521739130435,0.0,1.6228260869565216,4.76304347826087,920,0.14347826086956522,0.1673913043478261,y
2019,0.017745302713987474,7.1263048016701465,15.870563674321502,0,958,5.774530271398747,0.9989561586638831,0.0010438413361169101,4.774530271398747,4.995824634655532,958,0.15866388308977036,0.18684759916492694,y
1,0.05928853754940711,11.019762845849803,15.660079051383399,0,253,4.486166007905139,0.8142292490118577,0.02766798418972332,2.41897233201581,5.818181818181818,253,0.1976284584980237,0.21739130434782608,m
2,0.02909090909090909,11.05090909090909,19.756363636363638,0,275,6.323636363636363,1.5163636363636364,0.0,4.850909090909091,2.8181818181818183,275,0.19636363636363635,0.20363636363636364,m
3,0.0377906976744186,7.7645348837209305,23.0,0,344,8.627906976744185,3.6802325581395348,0.0,6.97093023255814,17.802325581395348,344,0.15406976744186046,0.19767441860465115,m
4,0.011695906432748537,8.467836257309942,11.309941520467836,0,342,7.0321637426900585,1.064327485380117,0.0,0.12573099415204678,5.804093567251462,342,0.13157894736842105,0.13157894736842105,m
5,0.0,2.8517110266159698,3.171102661596958,0,263,3.300380228136882,1.2775665399239544,0.0,0.6083650190114068,2.429657794676806,263,0.11787072243346007,0.1634980988593156,m
6,0.018970189701897018,4.7588075880758804,4.582655826558265,0,369,4.986449864498645,0.8428184281842819,0.0,0.0,4.235135135135135,370,0.11382113821138211,0.17297297297297298,m
7,0.0,5.415143603133159,6.389033942558747,0,383,4.663185378590079,0.8015665796344648,0.0,1.0757180156657964,6.93455497382199,382,0.1122715404699739,0.17277486910994763,m
8,0.005797101449275362,3.7130434782608694,8.947826086956521,0,345,7.794202898550725,1.1855072463768115,0.0,0.15072463768115943,7.420289855072464,345,0.17101449275362318,0.20579710144927535,m
9,0.0,5.2935483870967746,5.903225806451613,0,310,3.370967741935484,1.4161290322580644,0.0,0.6451612903225806,2.315112540192926,311,0.0967741935483871,0.1189710610932476,m
10,0.0026041666666666665,6.338541666666667,9.791666666666666,0,384,4.328125,1.7838541666666667,0.0,1.8385416666666667,1.6344647519582245,383,0.1171875,0.13838120104438642,m
11,0.006060606060606061,8.76060606060606,15.378787878787879,0,330,5.83030303030303,1.7272727272727273,0.0,4.175757575757576,5.615151515151515,330,0.15757575757575756,0.15757575757575756,m
12,0.02857142857142857,6.6971428571428575,17.34,0,350,9.342857142857143,2.1485714285714286,0.008571428571428572,3.78,5.116809116809117,351,0.18,0.17663817663817663,m
Mon,0.018803418803418803,8.218803418803418,12.642735042735042,0,585,6.367521367521367,1.1572649572649574,0.005128205128205128,1.064957264957265,7.743150684931507,584,0.16923076923076924,0.1832191780821918,d
Tue,0.020512820512820513,7.374358974358974,13.900854700854701,0,585,6.015384615384615,2.1452991452991452,0.0,2.4632478632478634,4.611584327086883,587,0.1658119658119658,0.18739352640545145,d
Wed,0.015202702702702704,4.344594594594595,9.008445945945946,0,592,5.359797297297297,1.1368243243243243,0.0016891891891891893,2.472972972972973,5.904040404040404,594,0.14189189189189189,0.1919191919191919,d
Thu,0.004966887417218543,6.258278145695364,15.405629139072847,0,604,9.208609271523178,1.6440397350993377,0.009933774834437087,2.7847682119205297,6.766169154228856,603,0.15728476821192053,0.1625207296849088,d
Fri,0.016556291390728478,6.178807947019868,13.70364238410596,0,604,6.953642384105961,1.7036423841059603,0.0,3.1903973509933774,7.695,600,0.14403973509933773,0.17,d
Sat,0.010126582278481013,5.579746835443038,6.116455696202531,0,395,3.0658227848101265,2.1822784810126583,0.0,2.7265822784810125,5.091370558375634,394,0.10379746835443038,0.15736040609137056,d
Sun,0.022298456260720412,8.842195540308747,8.763293310463121,0,583,3.3293310463121784,0.9828473413379074,0.0,0.692967409948542,2.2606473594548553,587,0.1097770154373928,0.13458262350936967,d
