Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.007633587786259542,8.063613231552162,6.824427480916031,0.0,393,1.2442748091603053,1.4096692111959288,0.0,0.04834605597964377,2.5862944162436547,394,0.09669211195928754,0.15228426395939088,y
2016,0.019704433497536946,5.54679802955665,9.908045977011493,0.0049261083743842365,609,4.74384236453202,3.4893267651888342,0.0,0.24794745484400657,6.6072607260726075,606,0.16584564860426929,0.19471947194719472,y
2017,0.047193877551020405,7.161989795918367,26.442602040816325,0.003826530612244898,784,6.4375,20.450255102040817,0.0,1.0191326530612246,4.733418367346939,784,0.2614795918367347,0.20408163265306123,y
2018,0.04327628361858191,3.450366748166259,10.207823960880196,0.004156479217603912,4090,4.337897310513448,7.485819070904645,0.0017114914425427872,0.8415647921760391,4.2573385518591,4088,0.18337408312958436,0.19202544031311156,y
2019,0.0310098065200106,3.1046912271402065,13.244632918102306,0.003975616220514179,3773,7.2340312748476014,7.478664192949907,0.0,0.4267161410018553,7.966083730789613,3774,0.21415319374503047,0.22655007949125597,y
1,0.09843400447427293,2.2818791946308723,8.335570469798657,0.0022371364653243847,447,5.2460850111856825,7.120805369127517,0.0,0.4451901565995526,4.5768374164810695,449,0.1767337807606264,0.22048997772828507,m
2,0.04285714285714286,5.428571428571429,11.873469387755103,0.0,490,4.742857142857143,7.051020408163265,0.0,2.1551020408163266,1.5947046843177188,491,0.18979591836734694,0.1934826883910387,m
3,0.09538950715421304,4.742448330683625,9.497615262321144,0.0,629,5.860095389507154,4.319554848966614,0.0,0.4737678855325914,7.746815286624204,628,0.17011128775834658,0.19904458598726116,m
4,0.02456140350877193,4.021052631578947,11.508771929824562,0.010526315789473684,570,5.9491228070175435,7.696491228070175,0.0,0.5385964912280702,7.37719298245614,570,0.21578947368421053,0.24385964912280703,m
5,0.020486555697823303,3.617157490396927,10.17797695262484,0.002560819462227913,781,4.028169014084507,8.238156209987196,0.0,0.15364916773367476,3.710997442455243,782,0.17285531370038412,0.18414322250639387,m
6,0.03219512195121951,6.286829268292683,18.638048780487804,0.002926829268292683,1025,7.101463414634146,9.642926829268292,0.006829268292682927,0.44390243902439025,9.738791423001949,1026,0.21365853658536585,0.21832358674463936,m
7,0.051580698835274545,3.3594009983361066,14.519966722129784,0.0066555740432612314,1202,6.101497504159734,7.9866888519134775,0.0,0.4492512479201331,6.971690258118235,1201,0.2113144758735441,0.18484596169858453,m
8,0.03492063492063492,4.947619047619048,17.554761904761904,0.007142857142857143,1260,5.619047619047619,10.774603174603175,0.0,0.6444444444444445,6.744647105471848,1261,0.22698412698412698,0.21570182394924664,m
9,0.013023255813953489,2.8083720930232556,8.723720930232558,0.0027906976744186047,1075,4.44093023255814,6.47906976744186,0.0,0.2111627906976744,1.2132216014897579,1074,0.15348837209302327,0.17318435754189945,m
10,0.010460251046025104,2.7039748953974896,8.143305439330543,0.0020920502092050207,956,4.862970711297071,6.277196652719665,0.0,0.696652719665272,4.168763102725367,954,0.1893305439330544,0.20230607966457023,m
11,0.025245441795231416,3.049088359046283,8.357643758765779,0.002805049088359046,713,4.593267882187939,7.702664796633941,0.0,0.5582047685834503,4.179775280898877,712,0.17110799438990182,0.19382022471910113,m
12,0.01996007984031936,3.4211576846307383,18.65069860279441,0.003992015968063872,501,8.33932135728543,11.68063872255489,0.0,1.8822355289421158,12.582329317269076,498,0.2754491017964072,0.28313253012048195,m
Mon,0.03380281690140845,3.8366197183098594,13.241549295774648,0.0035211267605633804,1420,6.093661971830986,7.859859154929578,0.0,0.8880281690140845,6.939944134078212,1432,0.21267605633802816,0.21298882681564246,d
Tue,0.042073628850488355,4.864763335837716,14.687453042824943,0.005259203606311044,1331,6.403456048084148,9.11945905334335,0.0,0.642374154770849,10.08390022675737,1323,0.20285499624342598,0.2199546485260771,d
Wed,0.05337078651685393,2.9248595505617976,10.878511235955056,0.0049157303370786515,1424,5.897471910112359,7.292134831460674,0.0,0.44803370786516855,4.516537649542576,1421,0.19101123595505617,0.20126671358198453,d
Thu,0.04617834394904458,2.953025477707006,14.252388535031848,0.005573248407643312,1256,6.300955414012739,9.044585987261147,0.005573248407643312,0.5828025477707006,10.422557585385226,1259,0.22452229299363058,0.2454328832406672,d
Fri,0.0379746835443038,3.8157524613220817,16.22222222222222,0.002109704641350211,1422,6.724331926863573,10.545710267229255,0.0,0.8438818565400844,8.54031117397454,1414,0.2250351617440225,0.24398868458274398,d
Sat,0.016010673782521682,4.4336224149432955,8.56704469646431,0.00266844563042028,1499,3.3955970647098064,5.955970647098066,0.0,0.4469646430953969,-1.792722547108512,1539,0.16544362908605736,0.14359974009096815,d
Sun,0.02313030069390902,4.71781033153431,10.420200462606013,0.0038550501156515036,1297,4.10254433307633,6.61449498843485,0.0,0.51272166538165,3.232114467408585,1258,0.16037008481110254,0.17567567567567569,d
