Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.00411522633744856,4.62962962962963,4.924554183813443,0,729,2.8751714677640603,1.384087791495199,0.0,0.25102880658436216,-1.7366255144032923,729,0.06721536351165981,0.0850480109739369,y
2016,0.005479452054794521,4.016438356164383,7.147945205479452,0,730,4.9301369863013695,1.0095890410958903,0.028767123287671233,0.06712328767123288,2.4643835616438357,730,0.09315068493150686,0.11232876712328767,y
2017,0.002751031636863824,7.712517193947731,9.731774415405777,0,727,3.8830811554332874,1.6973865199449794,0.055020632737276476,0.23383768913342504,-4.020632737276479,727,0.10591471801925723,0.09353507565337002,y
2018,0.004054054054054054,3.604054054054054,5.337837837837838,0,740,4.082432432432433,2.6364864864864863,0.004054054054054054,1.718918918918919,-0.8864864864864865,740,0.10135135135135136,0.12027027027027028,y
2019,0.01078167115902965,6.921832884097035,9.090296495956874,0,742,4.137466307277628,0.7196765498652291,0.07681940700808626,2.442048517520216,-0.36792452830188677,742,0.1105121293800539,0.10377358490566038,y
1,0.012903225806451613,4.951612903225806,10.893548387096773,0,310,6.241935483870968,2.5516129032258066,0.03225806451612903,2.206451612903226,2.1838709677419357,310,0.12580645161290321,0.14193548387096774,m
2,0.0070921985815602835,9.663120567375886,13.294326241134751,0,282,4.379432624113475,1.9893617021276595,0.01773049645390071,2.0425531914893615,-2.879432624113475,282,0.12411347517730496,0.1453900709219858,m
3,0.012903225806451613,1.8870967741935485,-0.11612903225806452,0,310,2.554838709677419,0.7322580645161291,0.0,0.14838709677419354,-6.003225806451613,310,0.05161290322580645,0.07096774193548387,m
4,0.01,4.723333333333334,5.37,0,300,4.266666666666667,2.1033333333333335,0.0,0.7266666666666667,3.6433333333333335,300,0.09,0.11333333333333333,m
5,0.0,4.051779935275081,3.7313915857605178,0,309,3.8122977346278315,1.110032362459547,0.0,0.05177993527508091,1.3559870550161812,309,0.06472491909385113,0.08090614886731391,m
6,0.0,1.6133333333333333,3.723333333333333,0,300,2.4566666666666666,0.5366666666666666,0.0,3.1733333333333333,-3.6666666666666665,300,0.07,0.08333333333333333,m
7,0.0030864197530864196,2.765432098765432,5.382716049382716,0,324,3.873456790123457,0.7932098765432098,0.009259259259259259,0.5771604938271605,-0.18518518518518517,324,0.11419753086419752,0.10493827160493827,m
8,0.003115264797507788,4.7912772585669785,6.498442367601246,0,321,3.5109034267912773,1.6822429906542056,0.056074766355140186,0.0,4.866043613707165,321,0.08099688473520249,0.09034267912772585,m
9,0.0,4.56,5.973333333333334,0,300,3.0766666666666667,1.4166666666666667,0.19,0.97,-3.61,300,0.09333333333333334,0.07,m
10,0.0,4.658064516129032,3.3645161290322583,0,310,2.1903225806451614,0.8709677419354839,0.0,0.025806451612903226,-6.890322580645162,310,0.08709677419354839,0.07419354838709677,m
11,0.003401360544217687,5.26530612244898,5.14625850340136,0,294,2.9829931972789114,1.7312925170068028,0.0,0.19047619047619047,-3.2210884353741496,294,0.09523809523809523,0.10884353741496598,m
12,0.012987012987012988,15.99025974025974,24.12012987012987,0,308,8.412337662337663,2.435064935064935,0.09090909090909091,1.4675324675324675,3.0162337662337664,308,0.1525974025974026,0.15584415584415584,m
Mon,0.0056925996204933585,7.734345351043643,10.584440227703984,0,527,4.956356736242884,1.426944971537002,0.018975332068311195,0.6755218216318786,3.969639468690702,527,0.10815939278937381,0.12903225806451613,d
Tue,0.007662835249042145,6.444444444444445,8.097701149425287,0,522,3.8505747126436782,1.8467432950191571,0.013409961685823755,0.8122605363984674,-1.8237547892720307,522,0.1053639846743295,0.1053639846743295,d
Wed,0.0019267822736030828,4.759152215799615,6.0,0,519,4.458574181117534,1.4585741811175337,0.0,0.30828516377649323,-2.188824662813102,519,0.08863198458574181,0.09826589595375723,d
Thu,0.009671179883945842,4.568665377176015,5.839458413926499,0,517,4.417794970986461,1.3887814313346227,0.0,0.41779497098646035,-0.31334622823984526,517,0.09477756286266925,0.10251450676982592,d
Fri,0.0019230769230769232,3.1615384615384614,3.478846153846154,0,520,2.5384615384615383,1.3807692307692307,0.0,1.1307692307692307,1.175,520,0.09038461538461538,0.1076923076923077,d
Sat,0.003738317757009346,5.538317757009346,5.635514018691588,0,535,1.611214953271028,1.7738317757009345,0.024299065420560748,0.9962616822429906,-7.642990654205607,535,0.07289719626168224,0.0616822429906542,d
Sun,0.007575757575757576,5.375,11.015151515151516,0,528,6.073863636363637,1.1496212121212122,0.17234848484848486,2.289772727272727,0.6003787878787878,528,0.10984848484848485,0.11742424242424243,d
