Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.004219409282700422,2.9859353023909985,-0.06047819971870605,0.005625879043600563,711,1.3909985935302391,1.450070323488045,0.0,0.22081575246132207,-6.716292134831461,712,0.06891701828410689,0.10533707865168539,y
2016,0.0016501650165016502,3.0825082508250827,1.518151815181518,0.01485148514851485,606,2.1402640264026402,1.2425742574257426,0.0,1.3564356435643565,-5.993388429752066,605,0.08085808580858085,0.12231404958677686,y
2017,0.023480662983425413,5.607734806629834,7.859116022099448,0.009668508287292817,724,4.8259668508287294,2.8287292817679557,0.0,0.8604972375690608,1.6685082872928176,724,0.13535911602209943,0.1919889502762431,y
2018,0.007640449438202248,1.5928089887640449,2.345168539325843,0.0022471910112359553,2225,3.2040449438202248,1.456179775280899,0.06247191011235955,1.442247191011236,0.5298876404494383,2225,0.10247191011235955,0.14651685393258426,y
2019,0.006528835690968444,1.4445048966267682,-0.0984766050054407,0.001088139281828074,1838,2.6648531011969534,1.3596300326441784,0.018498367791077257,0.20783460282916214,-0.503804347826087,1840,0.0854189336235038,0.12608695652173912,y
1,0.008915304606240713,1.861812778603269,1.7830609212481427,0.0029717682020802376,673,3.153046062407132,2.7310549777117386,0.0861812778603269,0.36701337295690933,-1.7462908011869436,674,0.08172362555720654,0.14094955489614244,m
2,0.026856240126382307,2.4439178515007898,5.971563981042654,0.007898894154818325,633,4.592417061611374,2.5323854660347553,0.13902053712480253,2.4360189573459716,0.9984276729559748,636,0.11216429699842022,0.16352201257861634,m
3,0.0012594458438287153,1.6221662468513853,-1.5969773299748111,0.005037783375314861,794,1.5050377833753148,1.4483627204030227,0.0,0.5088161209068011,-5.635220125786163,795,0.0654911838790932,0.1119496855345912,m
4,0.0031007751937984496,2.041860465116279,-0.2682170542635659,0.0031007751937984496,645,3.1751937984496124,1.1224806201550388,0.0,0.0,-1.5640625,640,0.08062015503875969,0.125,m
5,0.0,1.5116279069767442,-2.2142857142857144,0.0016611295681063123,602,1.9634551495016612,0.7308970099667774,0.044850498338870434,0.11960132890365449,-3.2512479201331117,601,0.0681063122923588,0.08818635607321132,m
6,0.011204481792717087,2.549019607843137,2.6442577030812324,0.0056022408963585435,357,3.6946778711484596,1.2212885154061626,0.0,0.0,3.339031339031339,351,0.09803921568627451,0.1282051282051282,m
7,0.012987012987012988,0.39935064935064934,-1.974025974025974,0.0,308,2.8636363636363638,0.801948051948052,0.0,0.045454545454545456,1.4772727272727273,308,0.06493506493506493,0.14935064935064934,m
8,0.003125,0.971875,-0.334375,0.0,320,2.453125,1.125,0.0,0.0,-1.278125,320,0.078125,0.125,m
9,0.0,0.7407407407407407,-2.6944444444444446,0.0,216,2.560185185185185,0.2222222222222222,0.0,0.12962962962962962,-5.296296296296297,216,0.08333333333333333,0.10185185185185185,m
10,0.024630541871921183,4.807881773399015,10.428571428571429,0.0024630541871921183,406,4.014778325123153,2.0073891625615765,0.0,3.7339901477832513,5.9559902200489,409,0.17733990147783252,0.21271393643031786,m
11,0.0072992700729927005,3.6806569343065694,2.5583941605839415,0.0072992700729927005,548,1.7645985401459854,1.1824817518248176,0.0,1.1076642335766422,-2.0759493670886076,553,0.10036496350364964,0.13200723327305605,m
12,0.0016611295681063123,4.089700996677741,6.835548172757475,0.009966777408637873,602,3.6827242524916945,2.096345514950166,0.0,1.2674418604651163,-0.5522388059701493,603,0.14119601328903655,0.1857379767827529,m
Mon,0.009868421052631578,1.8739035087719298,0.8421052631578947,0.0010964912280701754,912,2.932017543859649,1.299342105263158,0.0,1.0153508771929824,-2.466937945066124,983,0.0800438596491228,0.12004069175991862,d
Tue,0.009971509971509971,1.5698005698005697,-0.7863247863247863,0.007122507122507123,702,2.0384615384615383,1.5427350427350428,0.07264957264957266,0.7051282051282052,-2.7763347763347763,693,0.0698005698005698,0.12265512265512266,d
Wed,0.005298013245033113,2.3165562913907283,-0.8423841059602649,0.003973509933774834,755,1.1470198675496688,1.957615894039735,0.0,0.24503311258278146,-5.315555555555555,675,0.06622516556291391,0.1111111111111111,d
Thu,0.007007007007007007,2.8568568568568566,4.896896896896897,0.003003003003003003,999,4.105105105105105,2.058058058058058,0.07407407407407407,0.8808808808808809,1.8194444444444444,1080,0.13113113113113112,0.17037037037037037,d
Fri,0.0054525627044711015,2.47546346782988,2.0654307524536533,0.0054525627044711015,917,2.331515812431843,1.2911668484187568,0.029443838604143947,1.143947655398037,-0.4568764568764569,858,0.10687022900763359,0.1585081585081585,d
Sat,0.007832898172323759,3.0678851174934727,1.3942558746736293,0.007832898172323759,766,2.4869451697127936,1.1174934725848564,0.02741514360313316,0.07180156657963446,-6.14975845410628,828,0.08093994778067885,0.09420289855072464,d
Sun,0.011396011396011397,2.1044634377967713,3.96011396011396,0.003798670465337132,1053,4.455840455840455,1.6419753086419753,0.0,1.5223171889838556,4.558139534883721,989,0.1120607787274454,0.1718907987866532,d
