Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.001597444089456869,1.9968051118210863,2.476038338658147,0.0,626,4.345047923322683,0.829073482428115,0,0.17092651757188498,6.939297124600639,626,0.09424920127795527,0.13099041533546327,y
2016,0.001597444089456869,1.829073482428115,0.1853035143769968,0.0,626,3.1565495207667733,0.9680511182108626,0,0.12779552715654952,5.1485623003194885,626,0.08146964856230032,0.134185303514377,y
2017,0.0016051364365971107,2.348314606741573,3.041733547351525,0.0032102728731942215,623,4.725521669341894,1.3113964686998394,0,0.0,8.03370786516854,623,0.11075441412520064,0.18298555377207062,y
2018,0.001607717041800643,0.7266881028938906,-0.5,0.0,622,5.020900321543408,1.5514469453376205,0,0.04983922829581994,4.79454253611557,623,0.09646302250803858,0.15730337078651685,y
2019,0.0,2.9606299212598426,4.227034120734908,0.0,762,4.545931758530184,1.3779527559055118,0,0.6404199475065617,0.32634338138925295,763,0.09580052493438321,0.10353866317169069,y
1,0.007575757575757576,0.36363636363636365,2.143939393939394,0.0,264,7.193181818181818,2.5303030303030303,0,0.0,6.988636363636363,264,0.125,0.20833333333333334,m
2,0.008264462809917356,2.2892561983471076,4.380165289256198,0.0,242,5.652892561983471,2.5950413223140494,0,1.3016528925619835,6.93801652892562,242,0.12396694214876033,0.18181818181818182,m
3,0.0,4.6992481203007515,5.105263157894737,0.0,266,5.030075187969925,1.443609022556391,0,0.0,7.274436090225564,266,0.12406015037593984,0.15413533834586465,m
4,0.0,0.41796875,-2.6171875,0.00390625,256,2.7265625,0.4140625,0,0.06640625,2.765625,256,0.07421875,0.109375,m
5,0.0,3.4444444444444446,2.8407407407407406,0.003703703703703704,270,3.4185185185185185,0.9777777777777777,0,0.48148148148148145,3.9667896678966788,271,0.08148148148148149,0.11808118081180811,m
6,0.0,2.5924657534246576,0.4452054794520548,0.0,292,2.1404109589041096,0.5102739726027398,0,0.4657534246575342,2.1232876712328768,292,0.0547945205479452,0.08561643835616438,m
7,0.0,0.5150501672240803,-1.6220735785953178,0.0,299,2.1672240802675584,0.38127090301003347,0,0.0,1.6956521739130435,299,0.07023411371237458,0.11036789297658862,m
8,0.0,0.27483443708609273,0.08940397350993377,0.0,302,3.370860927152318,0.2913907284768212,0,0.056291390728476824,3.6357615894039736,302,0.076158940397351,0.11920529801324503,m
9,0.0,1.0314685314685315,-0.7902097902097902,0.0,286,2.4965034965034967,0.9335664335664335,0,0.2202797202797203,2.526315789473684,285,0.05944055944055944,0.09473684210526316,m
10,0.0,6.509433962264151,5.49811320754717,0.0,265,3.547169811320755,0.8943396226415095,0,0.09056603773584905,7.845864661654136,266,0.07547169811320754,0.10526315789473684,m
11,0.0,1.9490196078431372,2.152941176470588,0.0,255,5.078431372549019,1.9058823529411764,0,0.01568627450980392,4.552941176470588,255,0.12156862745098039,0.16470588235294117,m
12,0.0,0.45038167938931295,7.396946564885496,0.0,262,10.538167938931299,2.1603053435114505,0,0.0,9.022813688212928,263,0.17938931297709923,0.2509505703422053,m
Mon,0.0037243947858473,0.3221601489757914,1.9031657355679703,0.0,537,5.798882681564246,1.770949720670391,0,0.1005586592178771,6.342644320297952,537,0.10242085661080075,0.148975791433892,d
Tue,0.0,1.0743494423791822,-0.2825278810408922,0.0,538,4.180297397769516,0.7899628252788105,0,0.34014869888475835,3.111111111111111,540,0.09479553903345725,0.12407407407407407,d
Wed,0.0,0.4227188081936685,-1.3482309124767224,0.00186219739292365,537,3.4934823091247673,0.9273743016759777,0,0.0,3.5009310986964617,537,0.0856610800744879,0.13594040968342644,d
Thu,0.001869158878504673,0.7102803738317757,1.17196261682243,0.001869158878504673,535,4.671028037383177,1.5289719626168223,0,0.2336448598130841,5.47378277153558,534,0.09532710280373832,0.14606741573033707,d
Fri,0.0,3.9700934579439253,3.8205607476635515,0.0,535,3.8616822429906543,1.6149532710280374,0,0.041121495327102804,6.9102803738317755,535,0.09532710280373832,0.15140186915887852,d
Sat,0.0,3.953405017921147,4.318996415770609,0.0,279,4.372759856630824,0.5591397849462365,0,0.02867383512544803,4.247311827956989,279,0.0931899641577061,0.14336917562724014,d
Sun,0.003355704697986577,6.647651006711409,8.218120805369127,0.0,298,4.0369127516778525,0.8221476510067114,0,1.0536912751677852,3.468227424749164,299,0.10738255033557047,0.12709030100334448,d
