Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.015587789564840875,3.761636717904308,7.661831565273869,0.0015154795410261962,4619,4.53366529551851,2.3719419787832865,0.0,0.1526304394890669,5.572510822510822,4620,0.15436241610738255,0.18766233766233767,y
2016,0.007838014369693011,6.24101894186806,12.031134334857391,0.0028303940779446984,4593,5.9259743087306775,2.334421946440235,0.0,0.14630960156760286,8.366862617025909,4593,0.15109949923797084,0.1839756150664054,y
2017,0.02105002476473502,6.019564140663695,16.59881129271917,0.0032194155522535907,4038,6.854878652798415,6.899950470529966,0.0,0.5792471520554731,12.008919722497522,4036,0.18474492322932146,0.22670961347869178,y
2018,0.016566795911173774,4.48736928680531,11.769592292327577,0.00328986018094231,8511,6.162730583950182,3.7947362237104922,0.0010574550581600281,0.9884854893667019,9.776277157956548,8515,0.17906238984843145,0.2178508514386377,y
2019,0.016338406445837065,4.401410026857654,10.176029543419874,0.0024619516562220233,8936,6.081580125335721,1.9047672336615935,0.001566696508504924,0.8424350940017905,5.637259292431707,8932,0.16226499552372425,0.18461710703090015,y
1,0.033387622149837134,4.499185667752443,11.663273615635179,0.002035830618892508,2456,7.30700325732899,3.029315960912052,0.0,0.4206026058631922,10.452883834281073,2462,0.16205211726384364,0.20593013809910643,m
2,0.02448290417897847,4.477838750527649,11.750949767834529,0.001266357112705783,2369,6.684254959898691,3.0658505698607006,0.0,0.5331363444491346,9.298690325306294,2367,0.1794005909666526,0.21419518377693283,m
3,0.014776505356483192,5.075729589951976,9.851865533801256,0.0007388252678241596,2707,5.665681566309567,2.5914296268932397,0.0,0.17251570003694125,6.6900369003690034,2710,0.1555227188769856,0.1841328413284133,m
4,0.01642935377875137,5.96641109894122,12.3986856516977,0.0029207740051113546,2739,6.10113179992698,3.1456736035049286,0.00511135450894487,0.7834976268711209,6.544192841490139,2738,0.1664841182913472,0.18699780861943024,m
5,0.006201550387596899,4.117054263565891,10.204263565891473,0.0011627906976744186,2580,5.945348837209302,2.708139534883721,0.0,0.3267441860465116,6.8786821705426355,2580,0.16007751937984496,0.19263565891472867,m
6,0.020221289584128194,6.570774513544449,17.468141930560854,0.004578405188859214,2621,8.154521175123998,4.4105303319343765,0.0,1.4261732163296452,14.53069004956157,2623,0.20793590232735598,0.24818909645444148,m
7,0.017094017094017096,5.705516705516706,13.194250194250195,0.004662004662004662,2574,5.775835275835276,3.7665112665112663,0.0,1.1884226884226885,11.147241647241648,2574,0.18414918414918416,0.23504273504273504,m
8,0.015401953418482344,4.734034560480842,12.258076634109692,0.003756574004507889,2662,6.421111945905334,3.8125469571750563,0.0,0.8294515401953418,10.089064261555807,2661,0.16979714500375656,0.20781661029688087,m
9,0.008025682182985553,3.2130818619582664,7.084269662921348,0.00521669341894061,2492,4.231942215088282,2.701845906902087,0.0036115569823434992,0.26926163723916535,3.4206094627105053,2494,0.13001605136436598,0.1595829991980754,m
10,0.005313092979127135,3.7005692599620494,7.886907020872865,0.0018975332068311196,2635,4.015180265654649,3.245540796963947,0.0,0.3316888045540797,2.903532092669958,2633,0.15142314990512334,0.1598936574249905,m
11,0.006975789905621666,4.204349610176447,9.026261797291752,0.002872384078785392,2437,4.476405416495691,3.0541649569142386,0.0,0.421830118998769,4.592288761279738,2438,0.15633976200246205,0.18949958982772763,m
12,0.020618556701030927,5.3583505154639175,13.414432989690722,0.0012371134020618556,2425,6.638762886597938,3.05360824742268,0.0,0.9595876288659794,9.798427152317881,2416,0.18103092783505154,0.214817880794702,m
Mon,0.0195665895224069,4.475699558173785,12.08626130864717,0.0014727540500736377,4753,7.039133179044814,3.4719124763307385,0.0,0.18199032190195666,9.783550694152293,4754,0.1723122238586156,0.212031973075305,d
Tue,0.015237265999129298,4.673922507618633,10.526338702655638,0.0037004788855028296,4594,5.5180670439703965,2.9965171963430564,0.0,0.6362646930779278,7.065792349726776,4575,0.1695690030474532,0.19256830601092897,d
Wed,0.013257987394044773,4.262116931101934,10.356226907194088,0.002608128667680939,4601,5.27667898282982,3.591610519452293,0.0,0.7013692675505325,5.283027027027027,4625,0.16235600956313845,0.18183783783783783,d
Thu,0.017041868293709236,4.309488743951189,11.020828950136755,0.002103934357248054,4753,6.140332421628445,3.2247001893540923,0.0,0.4449821165579634,8.472742580509367,4751,0.1687355354512939,0.21132393180383077,d
Fri,0.013885966757837155,4.367136545339785,11.90363980643804,0.00273511466442247,4753,6.50831054071113,3.4245739532926573,0.0018935409215232485,0.6307595203029666,11.766006739679865,4748,0.18283189564485589,0.22598989048020218,d
Sat,0.014193548387096775,4.391612903225806,8.824838709677419,0.0035483870967741938,3100,4.569677419354838,2.85,0.0,1.0996774193548386,3.847348868625464,2961,0.12838709677419355,0.15265113137453562,d
Sun,0.015689114168476948,7.4006758387641804,14.243060584117789,0.00313782283369539,4143,6.098237991793386,2.806179097272508,0.0033791938209027277,0.9944484672942312,8.280476412891172,4282,0.17209751387883176,0.20364315740308267,d
