Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2017,0.02654867256637168,5.95575221238938,8.460176991150442,0.0,113,1.415929203539823,9.106194690265486,0,0.17699115044247787,0.07079646017699115,113,0.12389380530973451,0.168141592920354,y
2018,0.023543990086741014,11.765799256505575,18.148698884758364,0.004956629491945477,807,6.483271375464684,4.879801734820322,0,0.44981412639405205,17.39529120198265,807,0.18835192069392812,0.2540272614622057,y
2019,0.026869158878504672,11.36214953271028,20.838785046728972,0.002336448598130841,856,6.559579439252336,6.025700934579439,0,1.3457943925233644,15.487719298245613,855,0.2161214953271028,0.22923976608187135,y
1,0.06666666666666667,14.044444444444444,20.22222222222222,0.0,135,5.777777777777778,5.933333333333334,0,1.2962962962962963,14.318518518518518,135,0.2074074074074074,0.2,m
2,0.112,14.44,20.68,0.0,125,5.488,6.752,0,0.0,5.42741935483871,124,0.184,0.18548387096774194,m
3,0.007352941176470588,19.102941176470587,26.75,0.0,136,8.272058823529411,3.2941176470588234,0,0.0,26.24264705882353,136,0.19852941176470587,0.29411764705882354,m
4,0.015267175572519083,3.9923664122137406,3.366412213740458,0.0,131,3.16793893129771,2.0381679389312977,0,0.29770992366412213,0.4580152671755725,131,0.15267175572519084,0.183206106870229,m
5,0.021739130434782608,6.579710144927536,21.333333333333332,0.0,138,5.8768115942028984,14.442028985507246,0,0.0,23.804347826086957,138,0.2463768115942029,0.2826086956521739,m
6,0.01935483870967742,7.664516129032258,14.180645161290322,0.0064516129032258064,155,5.219354838709678,6.496774193548387,0,0.1032258064516129,22.219354838709677,155,0.24516129032258063,0.2838709677419355,m
7,0.006060606060606061,9.781818181818181,17.87878787878788,0.006060606060606061,165,8.545454545454545,4.351515151515152,0,0.6727272727272727,15.387878787878789,165,0.2,0.24848484848484848,m
8,0.013986013986013986,12.23076923076923,20.482517482517483,0.013986013986013986,143,7.083916083916084,2.895104895104895,0,2.2797202797202796,27.867132867132867,143,0.20279720279720279,0.27972027972027974,m
9,0.03278688524590164,7.508196721311475,17.311475409836067,0.0,122,10.418032786885245,6.327868852459017,0,0.0,15.62295081967213,122,0.1721311475409836,0.19672131147540983,m
10,0.0072992700729927005,20.7007299270073,25.642335766423358,0.0,137,5.54014598540146,2.1751824817518246,0,2.0145985401459856,8.518248175182482,137,0.1897810218978102,0.2116788321167883,m
11,0.005208333333333333,16.625,27.770833333333332,0.010416666666666666,192,6.802083333333333,5.708333333333333,0,0.0,14.354166666666666,192,0.22395833333333334,0.21875,m
12,0.02030456852791878,3.3959390862944163,10.49746192893401,0.0,197,3.1573604060913705,7.446700507614213,0,3.00507614213198,10.00507614213198,197,0.14720812182741116,0.23857868020304568,m
Mon,0.014234875444839857,12.476868327402135,26.690391459074732,0.0035587188612099642,281,6.291814946619217,10.494661921708184,0,1.195729537366548,13.281138790035588,281,0.23843416370106763,0.24199288256227758,d
Tue,0.03278688524590164,13.405737704918034,16.528688524590162,0.00819672131147541,244,4.389344262295082,3.8811475409836067,0,1.1639344262295082,11.799180327868852,244,0.18442622950819673,0.22131147540983606,d
Wed,0.02510460251046025,9.535564853556485,11.234309623430962,0.0,239,2.811715481171548,3.5230125523012554,0,2.1548117154811717,13.7375,240,0.13389121338912133,0.2125,d
Thu,0.020833333333333332,9.649305555555555,18.67013888888889,0.003472222222222222,288,8.145833333333334,5.159722222222222,0,0.4375,17.808362369337978,287,0.21180555555555555,0.2229965156794425,d
Fri,0.025089605734767026,14.867383512544803,22.802867383512545,0.0035842293906810036,279,6.971326164874552,5.243727598566308,0,0.12903225806451613,14.060931899641577,279,0.21505376344086022,0.25089605734767023,d
Sat,0.026143790849673203,10.156862745098039,16.392156862745097,0.006535947712418301,153,4.281045751633987,7.908496732026144,0,1.0784313725490196,18.294117647058822,153,0.16339869281045752,0.24836601307189543,d
Sun,0.03424657534246575,8.071917808219178,17.03767123287671,0.0,292,8.732876712328768,4.205479452054795,0,0.25,19.061855670103093,291,0.2089041095890411,0.25773195876288657,d
