Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.0202808112324493,0.7472698907956318,5.244929797191888,0,641,5.188767550702028,2.574102964118565,0,0.6349453978159126,4.2984375,640,0.11388455538221529,0.14375,y
1,0.0196078431372549,0.05392156862745098,-0.39705882352941174,0,204,2.4313725490196076,1.7745098039215685,0,0.2647058823529412,1.0196078431372548,204,0.06862745098039216,0.1323529411764706,m
2,0.0425531914893617,1.2287234042553192,9.590425531914894,0,188,8.585106382978724,1.175531914893617,0,1.7287234042553192,7.957446808510638,188,0.1276595744680851,0.15425531914893617,m
3,0.004784688995215311,1.1196172248803828,7.91866028708134,0,209,5.818181818181818,4.444976076555024,0,0.1339712918660287,5.090909090909091,209,0.15311004784688995,0.15789473684210525,m
4,0.0,0.075,-0.375,0,40,0.0,3.45,0,0.0,-0.4358974358974359,39,0.075,0.07692307692307693,m
Mon,0.020618556701030927,0.29896907216494845,9.628865979381443,0,97,8.989690721649485,4.391752577319588,0,0.0,8.677083333333334,96,0.18556701030927836,0.17708333333333334,d
Tue,0.01098901098901099,2.098901098901099,3.2857142857142856,0,91,3.78021978021978,0.5494505494505495,0,1.054945054945055,-0.16483516483516483,91,0.06593406593406594,0.08791208791208792,d
Wed,0.0,0.0,0.7032967032967034,0,91,4.131868131868132,0.7582417582417582,0,0.0,1.6703296703296704,91,0.054945054945054944,0.10989010989010989,d
Thu,0.03125,0.03125,6.052083333333333,0,96,5.270833333333333,2.0520833333333335,0,2.28125,2.6666666666666665,96,0.125,0.125,d
Fri,0.02040816326530612,0.061224489795918366,3.0408163265306123,0,98,4.326530612244898,1.7551020408163265,0,0.6530612244897959,4.744897959183674,98,0.09183673469387756,0.15306122448979592,d
Sat,0.014285714285714285,0.21428571428571427,3.6714285714285713,0,70,5.257142857142857,2.585714285714286,0,0.0,6.642857142857143,70,0.1,0.21428571428571427,d
Sun,0.04081632653061224,2.3979591836734695,9.479591836734693,0,98,4.448979591836735,5.663265306122449,0,0.2857142857142857,6.071428571428571,98,0.16326530612244897,0.15306122448979592,d
