Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.010027662517289074,3.7608648176457744,8.031429715367256,0.0018654000145592196,109896,2.8684028536070465,3.231618985222392,0.05234039455485186,0.39421816990609304,1.6994312753082488,109895,0.16718533886583678,0.15239091860412213,y
2016,0.01128519281506379,3.4041345910585856,7.911444215548086,0.0015540857999927717,110676,3.2096479814955363,2.7305558567349744,0.0366475116556435,0.7010824388304601,0.8528824523205074,110687,0.15975459900972208,0.14164264999503104,y
2017,0.011229497325257527,3.107104646536098,7.904248640523454,0.001644635041336929,113095,3.7351076528582166,3.0198682523542155,0.037419868252354216,0.4430080905433485,0.9916169994517446,113086,0.1620584464388346,0.1435898342854111,y
2018,0.02588324039825645,3.7099139796928644,10.47489895721272,0.00207014491014371,233317,5.081601426385562,2.4691942721704807,0.027601932135249467,0.8701637686066596,2.939359390336421,233309,0.18910323722660585,0.15877655812677607,y
2019,0.015460984475320176,3.5526166049529504,10.564013826137174,0.0022505690117878858,235496,5.543223664096206,2.4565427862893636,0.0381280361449876,0.7777796650473894,2.87386300904497,235490,0.19136630770798654,0.15872436196866108,y
1,0.030776325903151422,3.254803996925442,6.751053036126057,0.0017832436587240585,65050,3.0813066871637202,2.3033205226748654,0.030284396617986164,0.2565411222136818,0.9945593704853534,65066,0.15197540353574174,0.1451756677834814,m
2,0.01996861121314322,3.1528366781313655,8.090726950946673,0.0022539820349283734,59894,4.2361338364443855,2.351788159081043,0.028700704578087956,0.5099509132801282,2.436656871911313,59896,0.1678632250308879,0.16026111927340725,m
3,0.012472107697536611,3.2208774807524643,7.35069675340988,0.0013595188485466447,67671,3.561126627358839,2.1252678399905425,0.03422440927428293,0.1581179530374902,0.7042711303499933,67687,0.16052666578002395,0.14351352549233973,m
4,0.013706065951960918,3.51112015801933,9.990003166417877,0.001598287118710514,66321,4.985932057719275,2.678005458301292,0.025738453883385352,0.7678864914582109,3.57288242921328,66326,0.18137543161291295,0.1590929650514127,m
5,0.011617489813021992,3.678438285697772,10.894055428720053,0.002355287113834061,69206,5.0041181400456605,2.9629656388174435,0.030243042510764963,1.032598329624599,3.6581833947539564,69195,0.19111059734705083,0.15840739937856782,m
6,0.028638301678642775,4.893556754822744,14.53709114761919,0.0027877992784519513,67078,6.322460419213453,3.723292286591729,0.05319180655356451,1.1610811294314083,6.38458214115403,67104,0.23526342466978742,0.18711254172627564,m
7,0.017599907063197025,4.557751510223048,15.144923327137546,0.0025121979553903344,68864,6.588623954460966,3.756984781598513,0.06029275092936803,1.5780378717472119,5.7202417269531365,68838,0.2401980715613383,0.18604549812603505,m
8,0.016780733655966325,4.504868130924086,13.96242948369176,0.002162022851579279,69842,6.1918329944732395,3.5161793763065203,0.08145528478565905,1.6296354629019787,4.96398396104826,69830,0.22545173391369092,0.17839037662895604,m
9,0.021669054441260743,2.729763610315186,6.247716690544412,0.001417741165234002,67008,3.1980509789875837,2.248179321872015,0.0232957258834766,0.6885148042024832,-1.341926527443985,66991,0.14214720630372493,0.12235971996238301,m
10,0.007425280422824479,2.8811237020121503,5.9595415571545525,0.0014793111867522656,69627,3.1117095379665933,2.0318841828600975,0.017694285262900886,0.13800680770390797,-1.3669653627434086,69636,0.1407930831430336,0.11797058992475157,m
11,0.003617539770233248,2.676570753931615,5.45145079994551,0.0017860656606172522,66067,3.0126689572706495,1.880999591323959,0.023990797221002922,0.08774425961523907,-1.5627345357704878,66088,0.13328893396097902,0.12095993221159666,m
12,0.015686691368523357,3.35027030310393,8.493090566725384,0.0020804227662030005,65852,4.123200510235073,2.518981959545648,0.02835145477737958,0.22738868978922433,1.9289317732867346,65810,0.17173358440138492,0.1608722078711442,m
Mon,0.017135500046586875,3.6123548395293876,10.166349028875393,0.0021853480039641195,118059,4.958258159056065,2.8160919540229883,0.03454205100839411,0.6512675865457102,2.7471547606950515,118092,0.184780491110377,0.15718253565017104,d
Tue,0.012688370152781882,3.0806754384440236,7.923435245858898,0.0018945648584290755,115066,3.8665027027966556,2.8021135696035318,0.028435854205412545,0.6140997340656666,1.3824175061387753,115251,0.16361044965498062,0.14840652141846924,d
Wed,0.014629260203866906,3.164288780586349,8.010715217629185,0.0017592148346422228,118803,3.9697482386808414,2.8631431866198667,0.031059821721673694,0.6442009040175753,1.577000632777895,118525,0.16421302492361303,0.14822189411516556,d
Thu,0.01784569172094907,3.559764082486753,10.119114718687772,0.002109419825171285,118516,4.723362246447737,3.0329491376691755,0.030215329575753486,0.7975378851800601,3.277782934093843,118517,0.18452360862668332,0.16003611296269735,d
Fri,0.017391666666666666,3.7238,10.609525,0.0019416666666666666,120000,4.942625,2.8390666666666666,0.046475,0.783575,3.3879890294022026,119957,0.194925,0.1659261235275974,d
Sat,0.0157923688553283,3.79550932639896,9.22342351352703,0.0017702655398309747,99985,4.002380357053558,1.993449017352603,0.04863729559433915,0.7410011501725259,0.5994944166882302,100478,0.17304595689353403,0.13806007285176855,d
Sun,0.02051744295008523,3.9138695772460754,10.045845195491339,0.002061561253357846,112051,4.720484422272001,2.3113849943329376,0.03924998438211172,0.6290349929942616,2.060664415523928,111647,0.1861384548107558,0.1532329574462368,d
