Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.06438356164383562,3.4972602739726026,5.357534246575343,0.005479452054794521,730,4.901369863013699,1.8657534246575342,0.024657534246575342,0.5246575342465754,3.224965706447188,729,0.1095890410958904,0.18244170096021947,y
2016,0.058423913043478264,7.0625,15.565217391304348,0.002717391304347826,736,6.084239130434782,5.857336956521739,0.08695652173913043,1.096467391304348,6.8785425101214575,741,0.13994565217391305,0.1767881241565452,y
2017,0.0673076923076923,6.649725274725275,7.468406593406593,0.0013736263736263737,728,4.054945054945055,1.7472527472527473,0.07692307692307693,1.217032967032967,2.5054945054945055,728,0.11538461538461539,0.14423076923076922,y
2018,0.04827586206896552,11.059310344827587,21.515862068965518,0.0,725,8.133793103448276,5.423448275862069,0.002758620689655172,4.997241379310345,21.502747252747252,728,0.20413793103448277,0.2925824175824176,y
2019,0.07417582417582418,13.100274725274724,22.29945054945055,0.0027472527472527475,728,7.517857142857143,6.565934065934066,0.0,2.480769230769231,15.875,728,0.20054945054945056,0.2541208791208791,y
1,0.1498371335504886,8.299674267100977,15.693811074918568,0.0,307,7.563517915309446,5.977198697068404,0.0,0.6384364820846905,10.187702265372168,309,0.16286644951140064,0.2168284789644013,m
2,0.11702127659574468,12.180851063829786,28.02482269503546,0.0035460992907801418,282,6.124113475177305,5.25886524822695,0.05319148936170213,10.120567375886525,13.464539007092199,282,0.1950354609929078,0.23404255319148937,m
3,0.06472491909385113,9.009708737864077,11.676375404530745,0.0,309,4.699029126213592,3.5242718446601944,0.0,0.038834951456310676,0.9805825242718447,309,0.11326860841423948,0.14563106796116504,m
4,0.06666666666666667,5.366666666666666,6.17,0.0033333333333333335,300,4.903333333333333,2.4066666666666667,0.13333333333333333,0.09,4.3533333333333335,300,0.12,0.18,m
5,0.032362459546925564,13.996763754045308,19.776699029126213,0.0,309,6.2783171521035595,3.3268608414239482,0.006472491909385114,2.349514563106796,4.436893203883495,309,0.15210355987055016,0.15857605177993528,m
6,0.0457516339869281,11.950980392156863,20.104575163398692,0.0,306,5.130718954248366,7.454248366013072,0.0392156862745098,2.179738562091503,21.156351791530945,307,0.17320261437908496,0.28338762214983715,m
7,0.035483870967741936,4.122580645161291,9.07741935483871,0.0032258064516129032,310,4.180645161290323,4.97741935483871,0.0,0.7741935483870968,9.16504854368932,309,0.14193548387096774,0.2459546925566343,m
8,0.028938906752411574,5.327974276527331,10.659163987138264,0.003215434083601286,311,8.038585209003216,1.8488745980707395,0.0,0.6784565916398714,16.226837060702877,313,0.18006430868167203,0.28434504792332266,m
9,0.029900332225913623,7.3023255813953485,10.897009966777409,0.0033222591362126247,301,5.760797342192691,3.5847176079734218,0.0,0.6710963455149501,12.369636963696369,303,0.14950166112956811,0.1848184818481848,m
10,0.02258064516129032,4.34516129032258,5.2935483870967746,0.0032258064516129032,310,6.096774193548387,2.2,0.0,0.09032258064516129,6.683870967741935,310,0.12580645161290321,0.18064516129032257,m
11,0.04391891891891892,9.79391891891892,18.030405405405407,0.006756756756756757,296,5.79054054054054,6.162162162162162,0.0,4.0608108108108105,14.936241610738255,298,0.14189189189189189,0.18791946308724833,m
12,0.11764705882352941,7.872549019607843,18.977124183006534,0.0032679738562091504,306,9.026143790849673,4.954248366013072,0.23202614379084968,3.7254901960784315,6.167213114754098,305,0.19281045751633988,0.21639344262295082,m
Mon,0.06563706563706563,7.138996138996139,19.42084942084942,0.0,518,7.926640926640927,7.712355212355212,0.003861003861003861,3.4073359073359075,15.328214971209214,521,0.18532818532818532,0.2667946257197697,d
Tue,0.05938697318007663,9.076628352490422,17.60153256704981,0.0019157088122605363,522,5.8869731800766285,4.842911877394636,0.0210727969348659,3.9846743295019156,7.061185468451243,523,0.15517241379310345,0.1950286806883365,d
Wed,0.061420345489443376,5.867562380038388,9.610364683301343,0.003838771593090211,521,6.318618042226488,3.6679462571976966,0.0690978886756238,0.5374280230326296,9.741379310344827,522,0.1362763915547025,0.19348659003831417,d
Thu,0.07485604606525911,10.08253358925144,18.573896353166987,0.007677543186180422,521,5.9443378119001915,5.151631477927063,0.0,3.1708253358925145,8.595009596928982,521,0.1746641074856046,0.21880998080614203,d
Fri,0.06333973128598848,5.262955854126679,7.126679462571977,0.0,521,5.733205374280231,2.719769673704415,0.02111324376199616,0.31669865642994244,6.678776290630975,523,0.12667946257197696,0.19120458891013384,d
Sat,0.05152671755725191,7.9103053435114505,8.706106870229007,0.003816793893129771,524,4.998091603053435,1.6087786259541985,0.15267175572519084,0.41030534351145037,6.497131931166348,523,0.12786259541984732,0.17208413001912046,d
Sun,0.06153846153846154,12.526923076923078,20.057692307692307,0.0,520,6.161538461538462,4.382692307692308,0.0,2.5923076923076924,16.02687140115163,521,0.17115384615384616,0.23224568138195778,d
