Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.0048543689320388345,0.0,-6.029126213592233,0.0,206,0.7815533980582524,0.019417475728155338,0,0.0,-11.519417475728156,206,0.02912621359223301,0.03398058252427184,y
2018,0.007142857142857143,1.0595238095238095,3.2452380952380953,0.002380952380952381,420,6.897619047619048,3.2785714285714285,0,0.569047619047619,4.0,420,0.1357142857142857,0.1738095238095238,y
2019,0.052969502407704656,6.22792937399679,14.295345104333869,0.004815409309791332,623,10.905296950240771,3.653290529695024,0,0.8394863563402889,6.926163723916533,623,0.16853932584269662,0.18940609951845908,y
1,0.05660377358490566,0.0,-3.1132075471698113,0.0,106,5.915094339622642,1.3679245283018868,0,0.0,-7.5,106,0.08490566037735849,0.10377358490566038,m
2,0.07291666666666667,0.0,3.1145833333333335,0.0,96,6.8125,2.7604166666666665,0,0.0,5.458333333333333,96,0.09375,0.17708333333333334,m
3,0.028037383177570093,0.0,7.719626168224299,0.0,107,13.663551401869158,0.08411214953271028,0,0.0,2.5514018691588785,107,0.07476635514018691,0.11214953271028037,m
4,0.0196078431372549,8.294117647058824,2.0784313725490198,0.0,102,1.2352941176470589,0.35294117647058826,0,0.0,-10.588235294117647,102,0.049019607843137254,0.0392156862745098,m
5,0.009615384615384616,0.2692307692307692,-3.2115384615384617,0.0,104,3.1634615384615383,2.1538461538461537,0,0.057692307692307696,-4.0576923076923075,104,0.09615384615384616,0.1346153846153846,m
6,0.028846153846153848,0.5288461538461539,20.91346153846154,0.009615384615384616,104,18.14423076923077,5.355769230769231,0,3.9423076923076925,21.557692307692307,104,0.25,0.25961538461538464,m
7,0.009523809523809525,1.1714285714285715,8.133333333333333,0.02857142857142857,105,6.123809523809523,9.619047619047619,0,3.0,7.733333333333333,105,0.20952380952380953,0.20952380952380953,m
8,0.03508771929824561,9.157894736842104,9.692982456140351,0.0,114,7.008771929824562,2.1666666666666665,0,0.0,8.447368421052632,114,0.15789473684210525,0.24561403508771928,m
9,0.024793388429752067,0.8016528925619835,2.330578512396694,0.0,121,3.024793388429752,5.743801652892562,0,0.256198347107438,-3.7355371900826446,121,0.09090909090909091,0.11570247933884298,m
10,0.008264462809917356,2.0661157024793386,7.570247933884297,0.0,121,9.214876033057852,0.7851239669421488,0,0.0,6.950413223140496,121,0.14049586776859505,0.1652892561983471,m
11,0.023809523809523808,5.392857142857143,7.75,0.0,84,5.4523809523809526,2.761904761904762,0,0.0,-0.8571428571428571,84,0.15476190476190477,0.10714285714285714,m
12,0.047058823529411764,16.811764705882354,27.894117647058824,0.0,85,16.305882352941175,1.6705882352941177,0,0.0,9.270588235294118,85,0.23529411764705882,0.23529411764705882,m
Mon,0.014925373134328358,0.4079601990049751,8.73134328358209,0.004975124378109453,201,12.791044776119403,2.5621890547263684,0,0.38308457711442784,9.189054726368159,201,0.15920398009950248,0.208955223880597,d
Tue,0.034482758620689655,0.0,0.9568965517241379,0.0,116,3.189655172413793,2.9741379310344827,0,2.1551724137931036,-1.5172413793103448,116,0.10344827586206896,0.13793103448275862,d
Wed,0.043478260869565216,6.104347826086957,12.382608695652173,0.0,115,5.852173913043479,4.530434782608696,0,1.173913043478261,2.5565217391304347,115,0.1826086956521739,0.16521739130434782,d
Thu,0.04433497536945813,0.019704433497536946,3.793103448275862,0.0,203,8.891625615763546,1.2610837438423645,0,1.2413793103448276,3.980295566502463,203,0.12807881773399016,0.1724137931034483,d
Fri,0.024752475247524754,7.034653465346534,12.752475247524753,0.0,202,10.584158415841584,4.410891089108911,0,0.0,6.1683168316831685,202,0.13366336633663367,0.15346534653465346,d
Sat,0.019417475728155338,5.451456310679611,1.8300970873786409,0.009708737864077669,206,3.854368932038835,1.8009708737864079,0,0.0,-3.70873786407767,206,0.07766990291262135,0.10194174757281553,d
Sun,0.03398058252427184,4.820388349514563,9.776699029126213,0.0048543689320388345,206,7.286407766990291,3.679611650485437,0,0.23300970873786409,1.7815533980582525,206,0.1650485436893204,0.1650485436893204,d
