Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.01867816091954023,3.706896551724138,6.913793103448276,0.0028735632183908046,696,3.3979885057471266,2.968390804597701,0.07183908045977011,1.5732758620689655,3.7945402298850577,696,0.15804597701149425,0.14511494252873564,y
2016,0.009771986970684038,5.3322475570032575,4.737242128121607,0.002171552660152009,921,3.237785016286645,0.8914223669923995,0.01737242128121607,0.8979370249728555,-6.8754062838569885,923,0.10532030401737243,0.06392199349945829,y
2017,0.010741138560687433,2.5381310418904404,1.1868958109559613,0.0,931,3.7841031149301827,1.8238453276047262,0.02685284640171858,0.4178302900107411,-7.818863879957128,933,0.07841031149301826,0.06538049303322616,y
2018,0.012165450121654502,6.554744525547445,7.316301703163017,0.0036496350364963502,822,4.776155717761557,2.4051094890510947,0.0,0.4902676399026764,3.0230582524271843,824,0.0948905109489051,0.13106796116504854,y
2019,0.022172949002217297,2.6297117516629713,5.8137472283813745,0.0,451,7.849223946784923,1.3082039911308203,0.008869179600886918,0.2017738359201774,6.254988913525499,451,0.1286031042128603,0.1419068736141907,y
1,0.02527075812274368,6.40072202166065,8.097472924187725,0.0036101083032490976,277,4.700361010830325,3.6028880866425994,0.0036101083032490976,0.628158844765343,-1.0072202166064983,277,0.11913357400722022,0.13357400722021662,m
2,0.013392857142857142,1.4553571428571428,7.138392857142857,0.0,224,8.133928571428571,4.066964285714286,0.0,0.9821428571428571,7.297297297297297,222,0.11160714285714286,0.14864864864864866,m
3,0.0219435736677116,4.996865203761756,2.865203761755486,0.003134796238244514,319,3.197492163009404,1.4294670846394983,0.0,0.6175548589341693,3.108695652173913,322,0.08463949843260188,0.10559006211180125,m
4,0.02727272727272727,1.496969696969697,-0.8272727272727273,0.0,330,2.8848484848484848,1.1757575757575758,0.0,0.7636363636363637,-4.403614457831325,332,0.07575757575757576,0.07530120481927711,m
5,0.010582010582010581,5.76984126984127,6.171957671957672,0.0026455026455026454,378,4.283068783068783,1.566137566137566,0.0,0.0,-1.0316622691292876,379,0.08465608465608465,0.12137203166226913,m
6,0.0,2.009546539379475,2.2124105011933173,0.0,419,4.262529832935561,1.0763723150357996,0.11933174224343675,0.8591885441527446,-1.7067307692307692,416,0.09069212410501193,0.10336538461538461,m
7,0.0023923444976076554,3.911483253588517,4.521531100478469,0.0023923444976076554,418,2.9354066985645932,1.7200956937799043,0.014354066985645933,1.2392344497607655,-3.2935560859188544,419,0.13875598086124402,0.09069212410501193,m
8,0.0,4.104761904761904,4.890476190476191,0.002380952380952381,420,3.6166666666666667,0.9857142857142858,0.030952380952380953,0.9333333333333333,-1.9904761904761905,420,0.1261904761904762,0.09761904761904762,m
9,0.005277044854881266,1.7440633245382586,1.0923482849604222,0.002638522427440633,379,4.846965699208443,0.899736147757256,0.0,0.40105540897097625,-8.28042328042328,378,0.08179419525065963,0.05291005291005291,m
10,0.008368200836820083,5.2677824267782425,4.117154811715481,0.0,239,3.205020920502092,1.1297071129707112,0.10460251046025104,0.42677824267782427,-3.8493723849372383,239,0.11715481171548117,0.09205020920502092,m
11,0.03902439024390244,10.414634146341463,13.760975609756098,0.0,205,5.048780487804878,4.8,0.0,0.47317073170731705,-0.8755980861244019,209,0.09268292682926829,0.08133971291866028,m
12,0.04225352112676056,8.469483568075118,14.131455399061032,0.004694835680751174,213,6.812206572769953,2.948356807511737,0.0,1.6009389671361502,4.588785046728972,214,0.22065727699530516,0.17289719626168223,m
Mon,0.02119460500963391,4.963391136801541,7.026974951830443,0.0,519,4.491329479768786,2.789980732177264,0.03275529865125241,0.9190751445086706,-1.641732283464567,508,0.1252408477842004,0.1141732283464567,d
Tue,0.003937007874015748,4.460629921259843,5.088582677165355,0.001968503937007874,508,2.8149606299212597,2.3208661417322833,0.1062992125984252,0.6673228346456693,-3.45703125,512,0.10236220472440945,0.109375,d
Wed,0.01768172888015717,2.0216110019646365,3.8742632612966603,0.0,509,3.6463654223968565,2.5972495088408643,0.0,1.12573673870334,-3.0688976377952755,508,0.11787819253438114,0.10039370078740158,d
Thu,0.009823182711198428,3.7092337917485265,3.8978388998035363,0.003929273084479371,509,3.943025540275049,1.455795677799607,0.025540275049115914,0.2593320235756385,-0.7137254901960784,510,0.09823182711198428,0.10784313725490197,d
Fri,0.015717092337917484,3.00196463654224,5.888015717092338,0.0,509,6.157170923379175,1.1453831041257367,0.0,0.7976424361493124,-1.908023483365949,511,0.1237721021611002,0.10176125244618395,d
Sat,0.015873015873015872,4.193650793650794,2.9380952380952383,0.0,630,4.458730158730159,1.4,0.0,0.753968253968254,-2.279521674140508,669,0.09682539682539683,0.08370702541106129,d
Sun,0.01098901098901099,7.062794348508635,6.0910518053375196,0.006279434850863423,637,4.346938775510204,1.565149136577708,0.01726844583987441,0.6326530612244898,2.1986863711001643,609,0.10204081632653061,0.10673234811165845,d
