Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.04472396925227114,7.076869322152341,13.371767994409504,0.0020964360587002098,1431,4.3095737246680645,4.110412299091545,0.0,2.2159329140461215,8.986023759608665,1431,0.17051013277428373,0.23619846261355695,y
2017,0.011272141706924315,5.053140096618358,4.587761674718196,0.001610305958132045,621,3.7037037037037037,2.610305958132045,0.061191626409017714,0.17391304347826086,11.179775280898877,623,0.0821256038647343,0.2231139646869984,y
2018,0.025617977528089888,6.071011235955056,11.81438202247191,0.0022471910112359553,2225,6.076404494382023,3.835505617977528,0.0696629213483146,1.1730337078651685,10.50224820143885,2224,0.15370786516853932,0.22841726618705036,y
2019,0.07682566483748417,5.9894470240607856,13.622203461376108,0.0016884761502743773,2369,6.6247361756015195,5.6665259603208105,0.07007176023638666,1.2731110173068805,11.710548523206752,2370,0.19121992401857324,0.24852320675105485,y
1,0.08519269776876268,3.843813387423935,10.801217038539553,0.0,493,8.231237322515213,4.947261663286004,0.0,0.8012170385395537,14.507070707070707,495,0.16227180527383367,0.2727272727272727,m
2,0.09843400447427293,9.250559284116331,21.45413870246085,0.0022371364653243847,447,7.903803131991052,10.83668903803132,0.0044742729306487695,2.6040268456375837,19.161434977578477,446,0.21923937360178972,0.3071748878923767,m
3,0.031135531135531136,10.802197802197803,12.311355311355312,0.003663003663003663,546,4.274725274725275,2.840659340659341,0.0,0.045787545787545784,9.206581352833638,547,0.12454212454212454,0.18281535648994515,m
4,0.1289198606271777,2.0644599303135887,4.003484320557491,0.006968641114982578,574,3.4599303135888504,2.3240418118466897,0.2700348432055749,0.9094076655052264,6.158536585365853,574,0.10627177700348432,0.18292682926829268,m
5,0.05203252032520325,7.658536585365853,16.744715447154473,0.0,615,6.134959349593496,4.23739837398374,0.0,3.658536585365854,12.970731707317073,615,0.18536585365853658,0.27154471544715447,m
6,0.04638218923933209,8.009276437847866,20.17068645640074,0.0,539,8.829313543599257,6.614100185528757,0.06679035250463822,1.5417439703153988,18.960966542750928,538,0.24489795918367346,0.31970260223048325,m
7,0.03231939163498099,6.332699619771863,13.756653992395437,0.005703422053231939,526,6.773764258555133,3.692015209125475,0.13878326996197718,0.4866920152091255,13.990494296577946,526,0.20912547528517111,0.279467680608365,m
8,0.02422145328719723,6.171280276816609,10.57439446366782,0.0017301038062283738,578,4.449826989619377,4.178200692041522,0.0657439446366782,1.1159169550173011,11.910034602076125,578,0.14878892733564014,0.2491349480968858,m
9,0.016697588126159554,4.920222634508349,10.7012987012987,0.0018552875695732839,539,5.8979591836734695,3.345083487940631,0.029684601113172542,1.2931354359925789,7.066666666666666,540,0.16512059369202226,0.18888888888888888,m
10,0.018121911037891267,4.382207578253706,9.006589785831961,0.0,607,4.2224052718286655,4.077429983525535,0.014827018121911038,1.9505766062602965,7.6332236842105265,608,0.1515650741350906,0.2450657894736842,m
11,0.01694915254237288,4.864406779661017,7.177966101694915,0.001694915254237288,590,3.6440677966101696,3.042372881355932,0.0,0.9694915254237289,3.8847457627118644,590,0.12372881355932204,0.17966101694915254,m
12,0.02533783783783784,6.320945945945946,11.180743243243244,0.0,592,5.423986486486487,4.547297297297297,0.05067567567567568,0.6148648648648649,5.866328257191201,591,0.14695945945945946,0.18612521150592218,m
Mon,0.06441717791411043,8.249488752556237,16.414110429447852,0.0010224948875255625,978,7.6503067484662575,4.958077709611452,0.049079754601226995,0.8343558282208589,15.314516129032258,992,0.18302658486707565,0.2590725806451613,d
Tue,0.03711340206185567,7.545360824742268,12.68762886597938,0.0010309278350515464,970,4.978350515463918,5.382474226804124,0.016494845360824743,0.9061855670103093,7.4690082644628095,968,0.16391752577319588,0.22830578512396693,d
Wed,0.040289256198347105,4.091942148760331,9.272727272727273,0.002066115702479339,968,4.144628099173554,4.072314049586777,0.009297520661157025,3.0299586776859506,8.249484536082473,970,0.1322314049586777,0.2154639175257732,d
Thu,0.04918032786885246,3.869877049180328,9.69672131147541,0.005122950819672131,976,5.194672131147541,4.190573770491803,0.19774590163934427,0.4600409836065574,11.738636363636363,968,0.17418032786885246,0.259297520661157,d
Fri,0.027720739219712527,5.416837782340862,10.587268993839835,0.001026694045174538,974,6.213552361396304,3.4835728952772076,0.03593429158110883,0.8973305954825462,11.28061224489796,980,0.16529774127310062,0.2316326530612245,d
Sat,0.05116279069767442,4.22093023255814,8.386046511627907,0.002325581395348837,860,4.309302325581395,4.137209302325582,0.03953488372093023,1.6313953488372093,6.54125,800,0.13953488372093023,0.205,d
Sun,0.057608695652173914,9.707608695652175,17.628260869565217,0.0010869565217391304,920,7.0978260869565215,4.791304347826087,0.02608695652173913,1.6858695652173914,13.257731958762887,970,0.18804347826086956,0.25257731958762886,d
