Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.005932203389830509,2.4389830508474577,5.555084745762712,0.000847457627118644,1180,5.465254237288136,1.271186440677966,0,0.0,8.061916878710772,1179,0.13813559322033897,0.20865139949109415,y
2016,0.0072874493927125505,2.944939271255061,6.822672064777328,0.0,1235,5.957085020242915,1.0315789473684212,0,0.0,6.395951417004048,1235,0.15465587044534412,0.1805668016194332,y
2017,0.018050541516245487,5.805054151624549,10.944645006016847,0.0,831,6.974729241877256,1.6558363417569193,0,0.0,7.196385542168675,830,0.18050541516245489,0.19879518072289157,y
2018,0.01096319498825372,2.850430696945967,11.660924040720438,0.0007830853563038371,1277,10.45732184808144,2.1182458888018796,0,1.1855912294440094,6.659357870007831,1277,0.16053249804228661,0.16914643696162882,y
2019,0.003924646781789639,3.6907378335949765,7.087912087912088,0.0,1274,5.43956043956044,1.3673469387755102,0,0.7692307692307693,3.9505494505494507,1274,0.13500784929356358,0.15070643642072212,y
1,0.019753086419753086,4.693827160493827,10.950617283950617,0.0,405,9.281481481481482,1.7604938271604937,0,0.6197530864197531,6.649382716049383,405,0.16049382716049382,0.2,m
2,0.011547344110854504,3.163972286374134,8.272517321016167,0.0,433,7.621247113163972,1.1316397228637414,0,0.18475750577367206,6.669745958429561,433,0.17090069284064666,0.21247113163972287,m
3,0.0034129692832764505,4.5580204778157,8.196245733788396,0.0,586,6.017064846416382,1.4863481228668942,0,0.0,5.363481228668942,586,0.15699658703071673,0.16552901023890784,m
4,0.015957446808510637,2.9273049645390072,7.152482269503546,0.0,564,6.776595744680851,0.9273049645390071,0,0.30319148936170215,4.384751773049645,564,0.13297872340425532,0.14716312056737588,m
5,0.0,4.403478260869565,5.452173913043478,0.0,575,3.4591304347826086,1.1304347826086956,0,0.49043478260869566,4.269565217391304,575,0.12521739130434784,0.12695652173913044,m
6,0.013461538461538462,5.8,14.396153846153846,0.0038461538461538464,520,8.096153846153847,2.2615384615384615,0,1.376923076923077,13.85576923076923,520,0.19038461538461537,0.2423076923076923,m
7,0.005545286506469501,2.22365988909427,9.726432532347504,0.0,541,7.744916820702403,1.6081330868761552,0,1.5304990757855823,8.439926062846581,541,0.17929759704251386,0.21256931608133087,m
8,0.012727272727272728,1.24,6.158181818181818,0.0,550,6.825454545454545,2.0490909090909093,0,0.17454545454545456,6.242258652094717,549,0.14727272727272728,0.18397085610200364,m
9,0.006756756756756757,2.2905405405405403,3.331081081081081,0.0,444,4.698198198198198,1.454954954954955,0,0.013513513513513514,2.523702031602709,443,0.12162162162162163,0.14672686230248308,m
10,0.002207505518763797,3.980132450331126,7.997792494481236,0.0,453,6.342163355408388,0.6622516556291391,0,0.013245033112582781,3.589403973509934,453,0.152317880794702,0.17880794701986755,m
11,0.0070921985815602835,1.491725768321513,10.78014184397163,0.0,423,11.494089834515366,2.144208037825059,0,0.13711583924349882,10.425531914893616,423,0.13711583924349882,0.1773049645390071,m
12,0.006600660066006601,3.9735973597359737,7.297029702970297,0.0,303,5.0,1.0693069306930694,0,0.0,3.0033003300330035,303,0.1485148514851485,0.17491749174917492,m
Mon,0.017084282460136675,1.8621867881548975,6.534168564920273,0.0,878,6.686788154897494,1.4555808656036446,0,0.22209567198177677,8.289623717217788,877,0.1378132118451025,0.17673888255416192,d
Tue,0.010368663594470046,4.247695852534562,8.680875576036867,0.0,868,6.872119815668203,1.433179723502304,0,0.3836405529953917,4.7537399309551205,869,0.1578341013824885,0.17951668584579977,d
Wed,0.004555808656036446,2.8804100227790435,6.874715261958998,0.0,878,6.1298405466970385,1.6947608200455582,0,0.2266514806378132,4.490888382687927,878,0.1378132118451025,0.16173120728929385,d
Thu,0.010067114093959731,3.848993288590604,10.397091722595079,0.0011185682326621924,894,8.723713646532438,1.9742729306487696,0,0.1644295302013423,8.516237402015678,893,0.174496644295302,0.2026875699888018,d
Fri,0.005580357142857143,3.822544642857143,11.094866071428571,0.0,896,8.908482142857142,1.4363839285714286,0,0.26785714285714285,8.821428571428571,896,0.19084821428571427,0.21205357142857142,d
Sat,0.00676818950930626,3.55668358714044,4.313028764805415,0.001692047377326565,591,3.22165820642978,0.8240270727580372,0,1.101522842639594,1.25,588,0.08629441624365482,0.11734693877551021,d
Sun,0.005050505050505051,3.6136363636363638,8.717171717171718,0.0,792,6.291666666666667,1.3232323232323233,0,0.9204545454545454,6.707808564231738,794,0.15656565656565657,0.18765743073047858,d
