Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.03578274760383387,2.005750798722045,4.749520766773163,0.0019169329073482429,1565,4.06517571884984,4.522044728434505,0.0,0.37635782747603835,6.8945012787723785,1564,0.11629392971246007,0.19757033248081843,y
2016,0.02977667493796526,2.861042183622829,4.490074441687345,0.0012406947890818859,806,4.125310173697271,3.665012406947891,0.0,0.06327543424317618,1.5838509316770186,805,0.11662531017369727,0.14906832298136646,y
2017,0.03507271171941831,4.994011976047904,9.708297690333618,0.0025662959794696323,1169,9.19076133447391,3.604790419161677,0.0051325919589392645,0.33105218135158254,9.057313943541489,1169,0.16167664670658682,0.2172797262617622,y
2018,0.026288117770767613,3.380651945320715,4.983526112863652,0.0010515247108307045,2853,4.121275849982474,3.059235892043463,0.030844724851034,1.0287416754293726,2.429922915206727,2854,0.1286365229582895,0.15977575332866154,y
2019,0.03300076745970836,3.170376055257099,7.26016884113584,0.0030698388334612432,2606,5.026861089792786,2.7555640828856487,0.011511895625479662,1.8035303146584805,5.458940905602456,2606,0.15042210283960092,0.15118956254796623,y
1,0.06210191082802548,2.9394904458598727,6.600318471337579,0.0,628,5.673566878980892,3.9378980891719744,0.0,0.8073248407643312,5.1828298887122415,629,0.16401273885350318,0.20508744038155802,m
2,0.07987220447284345,3.876996805111821,9.675718849840255,0.001597444089456869,626,6.218849840255591,5.036741214057508,0.0,1.0623003194888179,14.369009584664537,626,0.18370607028753994,0.26517571884984026,m
3,0.02952029520295203,4.733087330873309,9.002460024600246,0.0,813,7.280442804428044,2.5190651906519066,0.0,1.2140221402214022,7.1033210332103325,813,0.12669126691266913,0.16851168511685116,m
4,0.03182374541003672,3.1407588739290087,3.423500611995104,0.0012239902080783353,817,4.72093023255814,2.5850673194614444,0.0,0.31701346389228885,1.302439024390244,820,0.11627906976744186,0.13658536585365855,m
5,0.008,2.1977142857142855,4.0045714285714284,0.002285714285714286,875,3.049142857142857,5.2457142857142856,0.0,0.7428571428571429,2.1405714285714286,875,0.10742857142857143,0.12914285714285714,m
6,0.028811524609843937,4.116446578631453,7.7034813925570225,0.003601440576230492,833,5.055222088835534,3.524609843937575,0.06602641056422569,1.2472989195678272,7.717887154861945,833,0.15726290516206481,0.21248499399759904,m
7,0.03931203931203931,4.406633906633907,8.83046683046683,0.0012285012285012285,814,6.191646191646192,3.0466830466830466,0.020884520884520884,0.2751842751842752,6.791154791154791,814,0.1547911547911548,0.1928746928746929,m
8,0.02696078431372549,1.8075980392156863,6.221813725490196,0.006127450980392157,816,5.618872549019608,4.122549019607843,0.023284313725490197,0.20465686274509803,6.121621621621622,814,0.15808823529411764,0.18058968058968058,m
9,0.017191977077363897,3.2750716332378222,4.848137535816619,0.0014326647564469914,698,3.810888252148997,2.4727793696275073,0.0,1.6977077363896849,2.891117478510029,698,0.12320916905444126,0.14613180515759314,m
10,0.006675567423230975,1.4753004005340453,0.40053404539385845,0.0013351134846461949,749,2.9906542056074765,2.1655540720961284,0.0,0.1548731642189586,-0.1539491298527443,747,0.09879839786381843,0.12717536813922356,m
11,0.025245441795231416,2.4502103786816267,1.6213183730715288,0.0,713,3.1065918653576436,2.7447405329593266,0.0,0.1276297335203366,-1.056100981767181,713,0.1093969144460028,0.13043478260869565,m
12,0.03727714748784441,4.782820097244732,13.282009724473257,0.004862236628849271,617,7.192868719611021,2.7439222042139386,0.05348460291734198,4.492706645056726,7.704545454545454,616,0.1458670988654781,0.17045454545454544,m
Mon,0.04518950437317784,3.618075801749271,9.112973760932945,0.00510204081632653,1372,6.048833819241983,4.681486880466473,0.0,1.1122448979591837,5.947750362844703,1378,0.16399416909620992,0.19013062409288825,d
Tue,0.031781226903178125,3.5550628233555064,3.9231337767923136,0.0007390983000739098,1353,3.5048041389504805,2.910569105691057,0.0,0.2682926829268293,2.208271787296898,1354,0.11529933481152993,0.15214180206794684,d
Wed,0.029039463886820552,3.437825763216679,6.626954579300074,0.0,1343,4.758749069247952,3.9501116902457185,0.0,1.0506329113924051,5.306259314456036,1342,0.1370067014147431,0.1780923994038748,d
Thu,0.030058651026392963,2.3936950146627565,6.8240469208211145,0.001466275659824047,1364,4.930351906158358,3.8269794721407626,0.04032258064516129,1.8673020527859236,3.325,1360,0.13929618768328444,0.17352941176470588,d
Fri,0.01684981684981685,3.447619047619048,6.7575091575091575,0.0029304029304029304,1365,5.791941391941392,2.5663003663003665,0.03663003663003663,0.7963369963369963,7.347507331378299,1364,0.14652014652014653,0.18328445747800587,d
Sat,0.025,3.33125,3.6041666666666665,0.0010416666666666667,960,4.423958333333333,2.6489583333333333,0.0,0.609375,2.9313063063063063,888,0.10729166666666666,0.1373873873873874,d
Sun,0.040257648953301126,2.922705314009662,5.50402576489533,0.0024154589371980675,1242,5.619162640901771,2.5942028985507246,0.015297906602254429,0.9202898550724637,6.366615853658536,1312,0.13365539452495975,0.16615853658536586,d
