Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2018,0.017241379310344827,4.086206896551724,5.258620689655173,0.0,58,6.413793103448276,6.724137931034483,0.0,0.0,-0.39655172413793105,58,0.1724137931034483,0.15517241379310345,y
2019,0.06407766990291262,12.920388349514564,18.00388349514563,0.003883495145631068,515,7.279611650485437,2.254368932038835,0.08155339805825243,1.0524271844660193,1.021359223300971,515,0.2,0.13398058252427184,y
1,0.0,15.516129032258064,36.483870967741936,0.0,31,26.451612903225808,3.870967741935484,0.0,0.0,20.225806451612904,31,0.1935483870967742,0.16129032258064516,m
2,0.0,7.107142857142857,27.714285714285715,0.0,28,22.107142857142858,7.714285714285714,0.0,0.0,6.25,28,0.39285714285714285,0.25,m
3,0.0967741935483871,3.806451612903226,16.193548387096776,0.0,31,13.548387096774194,2.774193548387097,0.0,0.0,-2.2580645161290325,31,0.22580645161290322,0.12903225806451613,m
4,0.1,14.433333333333334,21.2,0.0,30,5.066666666666666,1.2,0.0,0.0,-1.9333333333333333,30,0.3,0.1,m
5,0.0847457627118644,5.694915254237288,12.898305084745763,0.0,59,4.5423728813559325,4.8474576271186445,0.0,4.389830508474576,7.783333333333333,60,0.23728813559322035,0.21666666666666667,m
6,0.15,11.466666666666667,17.633333333333333,0.0,60,8.75,1.4,0.18333333333333332,0.0,21.133333333333333,60,0.16666666666666666,0.2,m
7,0.03333333333333333,16.716666666666665,19.933333333333334,0.0,60,5.566666666666666,1.4166666666666667,0.0,0.0,-2.8666666666666667,60,0.26666666666666666,0.13333333333333333,m
8,0.016129032258064516,8.82258064516129,7.387096774193548,0.03225806451612903,62,2.467741935483871,0.3548387096774194,0.5,1.7258064516129032,-4.032786885245901,61,0.14516129032258066,0.09836065573770492,m
9,0.01694915254237288,2.9322033898305087,0.3728813559322034,0.0,59,0.8135593220338984,2.4237288135593222,0.0,2.983050847457627,-16.633333333333333,60,0.1016949152542373,0.03333333333333333,m
10,0.08823529411764706,40.970588235294116,36.705882352941174,0.0,34,0.0,2.4411764705882355,0.0,0.0,-13.333333333333334,33,0.11764705882352941,0.030303030303030304,m
11,0.10526315789473684,24.087719298245613,22.42105263157895,0.0,57,3.0526315789473686,2.2280701754385963,0.0,0.0,-3.912280701754386,57,0.14035087719298245,0.12280701754385964,m
12,0.016129032258064516,2.370967741935484,8.241935483870968,0.0,62,9.806451612903226,4.241935483870968,0.0,0.0,2.7903225806451615,62,0.20967741935483872,0.16129032258064516,m
Mon,0.024096385542168676,4.951807228915663,5.9397590361445785,0.0,83,4.963855421686747,1.7349397590361446,0.0,0.0,-5.493975903614458,83,0.20481927710843373,0.12048192771084337,d
Tue,0.07228915662650602,0.5060240963855421,1.5903614457831325,0.0,83,4.518072289156627,2.253012048192771,0.13253012048192772,1.6144578313253013,4.554216867469879,83,0.13253012048192772,0.13253012048192772,d
Wed,0.08536585365853659,7.0,11.74390243902439,0.0,82,8.048780487804878,2.682926829268293,0.0,1.0,-6.407407407407407,81,0.13414634146341464,0.07407407407407407,d
Thu,0.06172839506172839,36.06172839506173,39.46913580246913,0.0,81,7.012345679012346,3.246913580246914,0.0,0.0,4.6375,80,0.1728395061728395,0.15,d
Fri,0.0625,10.7125,20.825,0.0125,80,12.3125,4.5125,0.0,1.175,3.475609756097561,82,0.2375,0.18292682926829268,d
Sat,0.08536585365853659,8.939024390243903,14.768292682926829,0.012195121951219513,82,5.682926829268292,1.8780487804878048,0.3780487804878049,2.8292682926829267,6.481481481481482,81,0.21951219512195122,0.1728395061728395,d
Sun,0.024390243902439025,16.5,23.353658536585368,0.0,82,7.987804878048781,2.707317073170732,0.0,0.0,-0.9759036144578314,83,0.2804878048780488,0.12048192771084337,d
