Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.05714285714285714,1.2325123152709359,4.014778325123153,0.0009852216748768472,1015,4.198029556650246,3.2502463054187194,0,1.9586206896551723,2.392118226600985,1015,0.11625615763546798,0.17635467980295566,y
2018,0.05153617443012884,1.8751238850346879,5.647175421209118,0.0019821605550049554,1009,4.705649157581764,3.7462834489593657,0,1.132804757185332,6.271555996035679,1009,0.16253716551040634,0.2130822596630327,y
2019,0.06196377502383222,1.8932316491897045,8.775023832221162,0.0009532888465204957,1049,7.487130600571973,3.9256434699714013,0,1.6148713060057198,9.71210676835081,1049,0.18493803622497618,0.2459485224022879,y
1,0.13962264150943396,1.8415094339622642,7.528301886792453,0.0037735849056603774,265,7.109433962264151,4.090566037735849,0,1.230188679245283,11.728301886792453,265,0.17358490566037735,0.2792452830188679,m
2,0.18220338983050846,3.1271186440677967,14.860169491525424,0.0,236,10.84322033898305,5.101694915254237,0,2.169491525423729,17.949152542372882,236,0.2796610169491525,0.3474576271186441,m
3,0.038461538461538464,2.580769230769231,2.1076923076923078,0.0,260,2.830769230769231,2.75,0,0.7230769230769231,2.023076923076923,260,0.1,0.1576923076923077,m
4,0.015810276679841896,0.34782608695652173,-2.035573122529644,0.0,253,2.8656126482213438,2.727272727272727,0,1.4268774703557312,-1.6758893280632412,253,0.05533596837944664,0.11462450592885376,m
5,0.025423728813559324,0.6398305084745762,7.110169491525424,0.00423728813559322,236,5.322033898305085,5.580508474576271,0,1.8177966101694916,3.9491525423728815,236,0.1440677966101695,0.1906779661016949,m
6,0.05928853754940711,1.9328063241106719,11.553359683794467,0.003952569169960474,253,7.612648221343873,6.221343873517786,0,0.308300395256917,14.67588932806324,253,0.20553359683794467,0.33201581027667987,m
7,0.02681992337164751,1.582375478927203,7.517241379310345,0.0038314176245210726,261,6.509578544061303,3.2375478927203063,0,1.1839080459770115,8.39080459770115,261,0.1839080459770115,0.21839080459770116,m
8,0.04905660377358491,1.3660377358490565,6.916981132075471,0.0,265,4.392452830188679,4.709433962264151,0,2.660377358490566,4.132075471698113,265,0.1660377358490566,0.21509433962264152,m
9,0.03875968992248062,1.550387596899225,3.4224806201550386,0.0,258,3.8294573643410854,3.2635658914728682,0,1.2868217054263567,6.732558139534884,258,0.1434108527131783,0.18604651162790697,m
10,0.0,1.6329588014981273,2.0262172284644193,0.0,267,4.254681647940075,1.700374531835206,0,0.18352059925093633,1.348314606741573,267,0.10112359550561797,0.15355805243445692,m
11,0.05179282868525897,2.0836653386454183,5.243027888446215,0.0,251,3.0756972111553784,1.7250996015936255,0,3.6175298804780875,0.9681274900398407,251,0.11952191235059761,0.13545816733067728,m
12,0.06343283582089553,1.3805970149253732,8.60820895522388,0.0,268,7.529850746268656,2.951492537313433,0,2.343283582089552,4.582089552238806,268,0.19402985074626866,0.22388059701492538,m
Mon,0.09051724137931035,2.581896551724138,10.78448275862069,0.0,464,7.579741379310345,4.795258620689655,0,2.1982758620689653,9.111827956989247,465,0.23060344827586207,0.26666666666666666,d
Tue,0.07311827956989247,0.621505376344086,2.7913978494623657,0.002150537634408602,465,4.578494623655914,3.2021505376344086,0,0.6344086021505376,4.131182795698924,465,0.12258064516129032,0.210752688172043,d
Wed,0.04139433551198257,1.8562091503267975,7.851851851851852,0.0,459,6.396514161220043,4.087145969498911,0,2.5163398692810457,6.148471615720524,458,0.16993464052287582,0.21397379912663755,d
Thu,0.05010893246187364,0.8910675381263616,3.8082788671023966,0.0,459,4.350762527233115,2.7995642701525054,0,1.1437908496732025,6.53695652173913,460,0.12636165577342048,0.1782608695652174,d
Fri,0.02391304347826087,2.467391304347826,5.004347826086956,0.002173913043478261,460,5.619565217391305,2.9304347826086956,0,0.41739130434782606,5.189542483660131,459,0.13043478260869565,0.20043572984749455,d
Sat,0.036585365853658534,2.1951219512195124,5.054878048780488,0.0,328,2.408536585365854,2.375,0,3.6097560975609757,2.4207317073170733,328,0.15548780487804878,0.19207317073170732,d
Sun,0.0776255707762557,1.2009132420091324,7.680365296803653,0.0045662100456621,438,6.641552511415525,5.011415525114155,0,1.0365296803652968,8.646118721461187,438,0.14840182648401826,0.21689497716894976,d
