Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.02729145211122554,2.995880535530381,7.555612770339856,0.0010298661174047373,1942,5.479917610710608,3.939752832131823,0.0005149330587023687,0.354788877445932,3.780349794238683,1944,0.14727085478887744,0.16049382716049382,y
2016,0.02824858757062147,3.5895883777239708,9.746569814366424,0.0012106537530266344,2478,6.1892655367231635,3.1941081517352705,0.004842615012106538,1.3232445520581113,3.8753529649052036,2479,0.13196125907990314,0.1553045582896329,y
2017,0.032570763861962,5.09422256688639,10.780922838309422,0.0011632415664986429,2579,7.306708026366809,2.905389685924777,0.005040713454827452,0.9073284218689415,2.1793183578621225,2582,0.12136487010469174,0.13361735089078233,y
2018,0.018942101501072194,3.4035025017869907,10.307719799857042,0.0007147962830593281,2798,6.656897784131522,4.516440314510365,0.0,1.2573266619013581,7.4478198713366695,2798,0.14939242315939957,0.19013581129378126,y
2019,0.04117298578199052,4.747037914691943,19.509182464454977,0.0008886255924170616,3376,8.677132701421801,4.084123222748815,0.0,5.270734597156398,9.085553582001184,3378,0.18098341232227488,0.18058022498519835,y
1,0.02696629213483146,5.658426966292135,12.79438202247191,0.0,890,6.926966292134831,3.19438202247191,0.0,1.6606741573033708,3.3880764904386953,889,0.17415730337078653,0.19010123734533182,m
2,0.045012165450121655,2.832116788321168,10.59367396593674,0.0,822,6.1107055961070555,4.0036496350364965,0.0,2.5583941605839415,4.838199513381995,822,0.15936739659367397,0.19586374695863748,m
3,0.02048780487804878,3.918048780487805,6.320975609756098,0.0,1025,5.038048780487805,2.462439024390244,0.012682926829268294,0.21951219512195122,2.030155642023346,1028,0.11317073170731708,0.14396887159533073,m
4,0.036055143160127257,3.833510074231177,9.837751855779427,0.0010604453870625664,943,5.3796394485683985,3.7868504772004243,0.0,2.9003181336161186,7.213602550478215,941,0.10604453870625663,0.15621679064824653,m
5,0.016666666666666666,1.7901960784313726,9.431372549019608,0.000980392156862745,1020,4.303921568627451,5.405882352941177,0.0,3.1245098039215686,4.959843290891283,1021,0.11568627450980393,0.12634671890303623,m
6,0.034129692832764506,4.984641638225256,20.756825938566553,0.0008532423208191126,1172,10.744027303754267,5.749146757679181,0.0008532423208191126,2.6706484641638224,10.307495741056218,1174,0.20136518771331058,0.19335604770017037,m
7,0.021035598705501618,3.677993527508091,11.58252427184466,0.0016181229773462784,1236,7.224919093851133,4.085760517799352,0.009708737864077669,0.7451456310679612,6.918350848827809,1237,0.1610032362459547,0.18997574777687956,m
8,0.02251552795031056,6.50776397515528,14.294254658385093,0.002329192546583851,1288,6.630434782608695,4.22748447204969,0.0,0.5139751552795031,6.65034965034965,1287,0.17857142857142858,0.1989121989121989,m
9,0.030008110300081103,3.4582319545823195,13.723438767234388,0.0,1233,9.050283860502839,2.895377128953771,0.0,3.16139497161395,6.8535598705501615,1236,0.14436334144363341,0.12864077669902912,m
10,0.020527859237536656,2.967741935483871,8.919354838709678,0.0007331378299120235,1364,6.516129032258065,2.781524926686217,0.0,1.650293255131965,3.627106227106227,1365,0.12609970674486803,0.14652014652014653,m
11,0.044802867383512544,3.8010752688172045,11.275985663082437,0.002688172043010753,1116,7.440860215053763,3.4829749103942653,0.0,1.6084229390681004,2.8513876454789613,1117,0.11648745519713262,0.13160250671441362,m
12,0.05263157894736842,4.93890977443609,16.106203007518797,0.0009398496240601503,1064,8.00281954887218,3.06109022556391,0.0,4.920112781954887,6.917293233082707,1064,0.17857142857142858,0.19360902255639098,m
Mon,0.04145077720207254,4.736787564766839,16.827979274611398,0.0010362694300518134,1930,9.193264248704663,4.511917098445596,0.0005181347150259067,2.684455958549223,11.299844640082858,1931,0.18911917098445596,0.2030036250647333,d
Tue,0.03554868624420402,4.427614631633179,15.332818134981968,0.0010303967027305513,1941,7.734672849046883,3.509531169500258,0.0,3.7161257083977333,4.2455059065228555,1947,0.15301391035548687,0.1617873651771957,d
Wed,0.022564102564102566,4.378461538461538,10.918974358974358,0.0005128205128205128,1950,5.650769230769231,4.154358974358974,0.0,1.8953846153846154,4.03954802259887,1947,0.14871794871794872,0.16127375449409348,d
Thu,0.02527075812274368,3.7720474471377,11.850954100051572,0.0005157297576070139,1939,6.973697782362042,4.334708612686952,0.0,1.4651882413615265,6.411431513903192,1942,0.16090768437338834,0.17816683831101957,d
Fri,0.01953727506426735,2.5424164524421595,9.584575835475578,0.0010282776349614395,1945,7.72853470437018,2.860668380462725,0.0,1.2195372750642675,5.641943734015345,1955,0.13470437017994857,0.16163682864450127,d
Sat,0.02915632754342432,4.090570719602978,10.096153846153847,0.0012406947890818859,1612,5.875310173697271,3.6991315136476426,0.008064516129032258,1.5378411910669976,0.52,1550,0.10359801488833748,0.11290322580645161,d
Sun,0.03879310344827586,4.457435344827586,10.725215517241379,0.0016163793103448276,1856,5.896012931034483,3.195581896551724,0.00646551724137931,2.0678879310344827,6.2205343111576745,1909,0.1411637931034483,0.17077003666841278,d
