Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2018,0.005,0.07,-7.845,0.0,200,2.295,1.18,0,1.795,-4.68,200,0.03,0.11,y
2019,0.04824561403508772,7.109649122807017,6.326023391812866,0.0029239766081871343,684,3.435672514619883,4.375730994152047,0,1.9137426900584795,9.325547445255474,685,0.11257309941520467,0.19708029197080293,y
1,0.05660377358490566,6.490566037735849,-5.3584905660377355,0.0,53,0.16981132075471697,3.1132075471698113,0,0.0,-5.592592592592593,54,0.05660377358490566,0.12962962962962962,m
2,0.020833333333333332,4.25,-1.6875,0.0,48,4.3125,3.6666666666666665,0,0.0,23.0,48,0.08333333333333333,0.2708333333333333,m
3,0.11538461538461539,34.86538461538461,25.153846153846153,0.0,52,0.0,0.19230769230769232,0,0.0,23.942307692307693,52,0.057692307692307696,0.11538461538461539,m
4,0.038461538461538464,0.8461538461538461,-11.884615384615385,0.0,52,0.0,0.0,0,0.0,-14.134615384615385,52,0.057692307692307696,0.038461538461538464,m
5,0.09259259259259259,0.0,-8.277777777777779,0.0,54,0.7037037037037037,0.05555555555555555,0,0.0,-8.25925925925926,54,0.05555555555555555,0.07407407407407407,m
6,0.05555555555555555,7.888888888888889,18.944444444444443,0.018518518518518517,54,4.296296296296297,17.203703703703702,0,0.0,18.296296296296298,54,0.18518518518518517,0.3148148148148148,m
7,0.034482758620689655,22.724137931034484,23.310344827586206,0.0,58,1.793103448275862,7.672413793103448,0,0.6206896551724138,35.189655172413794,58,0.1724137931034483,0.29310344827586204,m
8,0.017543859649122806,0.5789473684210527,2.543859649122807,0.017543859649122806,57,5.105263157894737,8.75438596491228,0,0.0,9.052631578947368,57,0.12280701754385964,0.2807017543859649,m
9,0.0,0.020202020202020204,-5.525252525252525,0.0,99,0.9393939393939394,4.515151515151516,0,0.0,-0.64,100,0.04040404040404041,0.12,m
10,0.017857142857142856,0.0,-1.2232142857142858,0.0,112,8.089285714285714,1.7678571428571428,0,0.0,2.2589285714285716,112,0.09821428571428571,0.19642857142857142,m
11,0.056074766355140186,3.2429906542056073,6.794392523364486,0.0,107,0.897196261682243,1.5233644859813085,0,12.158878504672897,-3.2710280373831777,107,0.07476635514018691,0.1588785046728972,m
12,0.021739130434782608,2.5072463768115942,2.2971014492753623,0.0,138,6.036231884057971,1.4057971014492754,0,2.398550724637681,8.773722627737227,137,0.12318840579710146,0.17518248175182483,m
Mon,0.02112676056338028,6.330985915492958,6.464788732394366,0.0,142,5.063380281690141,5.063380281690141,0,0.0,11.707142857142857,140,0.15492957746478872,0.17857142857142858,d
Tue,0.04285714285714286,5.078571428571428,6.914285714285715,0.007142857142857143,140,1.6071428571428572,1.7214285714285715,0,9.32857142857143,10.732394366197184,142,0.09285714285714286,0.1619718309859155,d
Wed,0.04285714285714286,6.557142857142857,0.5857142857142857,0.0,140,2.757142857142857,1.2642857142857142,0,1.3785714285714286,-3.851063829787234,141,0.1,0.1347517730496454,d
Thu,0.02857142857142857,4.578571428571428,0.0,0.0,140,2.857142857142857,4.05,0,1.0071428571428571,6.35,140,0.07142857142857142,0.19285714285714287,d
Fri,0.04225352112676056,4.950704225352113,2.704225352112676,0.007042253521126761,142,3.887323943661972,5.23943661971831,0,0.0,1.4577464788732395,142,0.08450704225352113,0.16901408450704225,d
Sat,0.06578947368421052,13.078947368421053,4.894736842105263,0.0,76,1.0,1.0394736842105263,0,0.0,-2.223684210526316,76,0.05263157894736842,0.15789473684210525,d
Sun,0.038461538461538464,0.10576923076923077,0.3269230769230769,0.0,104,4.336538461538462,6.75,0,0.2692307692307692,18.317307692307693,104,0.07692307692307693,0.25961538461538464,d
