Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.009121709669012249,5.4120406567630965,9.461819129528278,0.003518373729476153,7674,4.048996611936409,3.1486838676048996,0.0009121709669012249,0.3745113369820172,6.86486838676049,7674,0.16653635652853793,0.18973156111545478,y
2016,0.008177991581479254,5.302946482260974,8.678412507516537,0.0026458208057727,8315,3.984606133493686,3.0883944678292243,0.01888153938665063,0.21924233313289238,4.863275613275613,8316,0.15117257967528563,0.16438191438191438,y
2017,0.0061202448097923915,6.44113764550582,9.563422536901475,0.0019200768030721229,8333,3.609024360974439,3.6662666506660266,0.02904116164646586,0.2638905556222249,4.808883553421369,8330,0.14760590423616946,0.17058823529411765,y
2018,0.007011866235167206,6.039733908665948,10.172509888529307,0.0029665587918015104,11124,4.789104638619202,3.278586839266451,0.07919813016900396,0.13349514563106796,4.674307802948579,11124,0.16576770945702984,0.16828478964401294,y
2019,0.011325944502871936,5.966022166491384,9.937383706819837,0.0014561928646549631,12361,4.523015937221907,2.914246420192541,0.005743871855027911,0.35474476175066744,3.9223300970873787,12360,0.15710703017555214,0.16537216828478965,y
1,0.01594472495349455,7.795376029763487,14.015413234121711,0.0029231995748073346,3763,5.7374435290991235,3.8899813978208875,0.004251926654265214,0.37124634600053147,7.753985122210414,3764,0.19027371777836832,0.2138682252922423,m
2,0.01189767995240928,6.328673408685306,10.918203450327185,0.00297441998810232,3362,4.75669244497323,3.672813801308745,0.0,0.40303390838786435,7.244940476190476,3360,0.1597263533610946,0.20297619047619048,m
3,0.011165577342047931,5.410130718954249,10.539488017429194,0.001906318082788671,3672,4.882080610021786,3.7968409586056646,0.006535947712418301,0.4591503267973856,7.632970027247956,3670,0.1661220043572985,0.1896457765667575,m
4,0.006671798819604825,5.113933795227098,6.9063382088786245,0.001796253528355145,3897,3.2322299204516294,2.7261996407492943,0.011290736463946625,0.1170130869899923,2.138974358974359,3900,0.13163972286374134,0.1341025641025641,m
5,0.007511509571117034,5.529440271383572,9.213472255875939,0.001938454082868912,4127,3.902592682335837,3.704385752362491,0.0,0.07559970923188757,4.49987884661982,4127,0.16137630239883693,0.1608916888781197,m
6,0.007016694894749577,7.005323009920155,10.67699007984515,0.004597144931042826,4133,4.519235422211469,2.6527945802080812,0.02201790466973143,0.029760464553593033,6.984514880232277,4133,0.16840067747398985,0.18195015727074765,m
7,0.004931892907468295,5.9051197745420385,8.598403006106153,0.0018788163457022077,4258,3.8736496007515266,2.9492719586660403,0.0,0.08853922029121654,6.18703007518797,4256,0.15476749647721935,0.18068609022556392,m
8,0.006029684601113173,7.281539888682746,12.691558441558442,0.0027829313543599257,4312,4.692486085343228,4.088126159554731,0.006725417439703154,0.2305194805194805,6.780018544274455,4314,0.18622448979591838,0.19031061659712564,m
9,0.00587515299877601,5.0802937576499385,6.887637698898409,0.0017135862913096695,4085,3.3818849449204405,2.658261933904529,0.031089351285189717,0.047246022031823744,0.8212974296205631,4085,0.13733170134638922,0.1277845777233782,m
10,0.009224219489120151,4.7038789025544,7.339403973509934,0.002838221381267739,4228,3.7469252601702934,2.4065752128666036,0.2076631977294229,0.4160359508041627,1.4931377188831045,4226,0.13410596026490065,0.13913866540463796,m
11,0.005053057099545225,5.1048509348155635,7.307983830217282,0.0025265285497726125,3958,3.023496715512885,2.6995957554320364,0.023496715512885295,0.6359272359777666,1.0765731614859742,3957,0.12758969176351692,0.1400050543340915,m
12,0.012462612163509471,5.150797607178465,10.92073778664008,0.0012462612163509472,4012,5.538384845463609,3.2848953140578265,0.013958125623130608,0.39805583250249255,6.687686939182453,4012,0.178963110667996,0.19541375872382852,m
Mon,0.009703196347031963,5.378710045662101,9.753424657534246,0.00228310502283105,7008,4.713755707762557,3.5418093607305936,0.016409817351598174,0.2684075342465753,6.9613457408733,6985,0.1642408675799087,0.18797423049391554,d
Tue,0.006598240469208211,5.329912023460411,8.670381231671554,0.0021994134897360706,6820,4.0014662756598245,3.084017595307918,0.11935483870967742,0.16862170087976538,3.848101265822785,6794,0.15190615835777127,0.15808065940535768,d
Wed,0.007045354469396741,6.450755907823279,9.635696462644944,0.0019081168354616175,6813,3.489505357404961,3.5912226625568766,0.03816233670923235,0.1087626596213122,2.854622960458621,6803,0.15837369734331425,0.15537262972218138,d
Thu,0.007123521869212139,6.269126656218835,10.68400056988175,0.0019945861233793987,7019,4.410314859666619,3.747257444080353,0.0,0.15443795412451916,5.838376696832579,7072,0.17010970223678587,0.18212669683257918,d
Fri,0.009831860929039612,6.483613565118267,11.886719863208892,0.0029923055001424906,7018,5.277001994870333,3.3260188087774294,0.001139925904816187,0.5406098603590767,7.144648710275046,7017,0.16870903391279568,0.1838392475416845,d
Sat,0.009629508731842663,6.329851477068712,7.69283499265546,0.002448180186061694,6127,3.239595234209238,2.0422719112126653,0.00554920842173984,0.21119634405092214,1.6361260819859547,6123,0.13285457809694792,0.14535358484403071,d
Sun,0.00971151099685804,4.848757497857755,8.823193373321908,0.003141959440159954,7002,4.502142245072836,2.914881462439303,0.018137674950014282,0.40302770636960866,5.424964336661912,7010,0.1560982576406741,0.17803138373751784,d
