Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.028602860286028604,2.2007700770077006,4.537403740374037,0.0,1818,4.928492849284929,1.7942794279427943,0.023652365236523653,0.7717271727172718,5.217821782178218,1818,0.11991199119911991,0.16116611661166116,y
2016,0.01733477789815818,2.700975081256771,2.975081256771398,0.0,1846,2.95124593716143,1.1998916576381364,0.0,0.5888407367280607,-1.4512459371614301,1846,0.10725893824485373,0.10455037919826653,y
2017,0.017977528089887642,2.5445692883895132,1.1835205992509363,0.000749063670411985,1335,2.451685393258427,0.9250936329588015,0.038202247191011236,0.15280898876404495,-2.5790262172284644,1335,0.06292134831460675,0.08913857677902622,y
2018,0.023529411764705882,3.184033613445378,4.803361344537815,0.0008403361344537816,1190,2.880672268907563,2.146218487394958,0.04789915966386555,1.0495798319327732,4.074789915966386,1190,0.126890756302521,0.14201680672268907,y
2019,0.027610441767068273,3.2515060240963853,5.260542168674699,0.001004016064257028,1992,4.417168674698795,0.9964859437751004,0.0,1.8207831325301205,2.5047666833918716,1993,0.11295180722891567,0.12995484194681384,y
1,0.05454545454545454,1.8545454545454545,4.452892561983471,0.0,605,4.160330578512396,2.87603305785124,0.011570247933884297,0.8677685950413223,3.414876033057851,605,0.1256198347107438,0.1256198347107438,m
2,0.07168458781362007,0.6469534050179212,2.6810035842293907,0.0,558,2.826164874551971,2.247311827956989,0.0,1.2741935483870968,2.0376344086021505,558,0.10752688172043011,0.13978494623655913,m
3,0.02476780185758514,2.4953560371517027,3.210526315789474,0.0,646,4.586687306501548,1.0696594427244581,0.07739938080495357,0.02321981424148607,2.636222910216718,646,0.09907120743034056,0.12538699690402477,m
4,0.008823529411764706,0.9794117647058823,-1.2205882352941178,0.0,680,2.333823529411765,0.6720588235294118,0.0,0.3573529411764706,-1.3450807635829662,681,0.08235294117647059,0.09985315712187959,m
5,0.009358288770053475,1.6149732620320856,1.3114973262032086,0.0,748,3.1136363636363638,0.7045454545454546,0.0,1.0307486631016043,0.3114973262032086,748,0.07754010695187166,0.10160427807486631,m
6,0.011095700416088766,4.5117891816920945,4.223300970873787,0.0,721,3.0124826629681,0.5533980582524272,0.0,0.7447988904299584,2.8141470180305133,721,0.10818307905686546,0.1276005547850208,m
7,0.008793969849246231,3.2889447236180906,5.011306532663316,0.001256281407035176,796,4.743718592964824,1.1344221105527639,0.0,0.5917085427135679,3.0816582914572863,796,0.13190954773869346,0.14698492462311558,m
8,0.006811989100817439,4.831062670299728,6.802452316076295,0.0013623978201634877,734,4.0040871934604905,1.4155313351498637,0.0,0.9250681198910081,5.502724795640327,734,0.12670299727520437,0.17166212534059946,m
9,0.013803680981595092,1.23159509202454,-0.02147239263803681,0.0015337423312883436,652,3.121165644171779,0.7745398773006135,0.0,0.1441717791411043,-2.4355828220858897,652,0.06901840490797546,0.08895705521472393,m
10,0.005594405594405594,2.167832167832168,4.201398601398601,0.0013986013986013986,715,3.6335664335664335,1.8307692307692307,0.05034965034965035,0.47132867132867134,2.1818181818181817,715,0.12447552447552447,0.13986013986013987,m
11,0.025525525525525526,4.121621621621622,6.834834834834835,0.0,666,4.04054054054054,1.8543543543543544,0.07657657657657657,2.5525525525525525,-0.8123123123123123,666,0.1036036036036036,0.11561561561561562,m
12,0.05909090909090909,4.796969696969697,8.381818181818181,0.0,660,4.127272727272727,1.8060606060606061,0.010606060606060607,2.253030303030303,1.5606060606060606,660,0.12575757575757576,0.12727272727272726,m
Mon,0.036564625850340135,3.9948979591836733,4.487244897959184,0.0008503401360544217,1176,3.7193877551020407,1.320578231292517,0.0,0.4362244897959184,0.641156462585034,1176,0.09863945578231292,0.10119047619047619,d
Tue,0.023722627737226276,2.6624087591240877,4.117700729927007,0.0,1096,3.9224452554744524,1.2746350364963503,0.0,1.3211678832116789,1.3992707383773928,1097,0.1104014598540146,0.12488605287146765,d
Wed,0.02557544757033248,2.2531969309462916,4.150895140664962,0.0,1173,3.4168797953964196,1.4825234441602728,0.09207161125319693,1.7263427109974425,2.409556313993174,1172,0.10997442455242967,0.1407849829351536,d
Thu,0.02109704641350211,3.669198312236287,3.690295358649789,0.0,1185,3.2253164556962024,1.540084388185654,0.0,0.37383966244725736,1.0624472573839663,1185,0.09451476793248945,0.1080168776371308,d
Fri,0.02611625947767481,2.18955349620893,3.8458298230834034,0.0,1187,4.469250210614995,1.320977253580455,0.0,0.5046335299073293,4.179595278246206,1186,0.11457455770850884,0.15177065767284992,d
Sat,0.013769363166953529,2.0051635111876074,3.423407917383821,0.0017211703958691911,1162,3.523235800344234,1.0335628227194493,0.0,1.2624784853700517,1.3086844368013757,1163,0.10671256454388985,0.12639724849527084,d
Sun,0.016638935108153077,2.590682196339434,3.2787021630615643,0.0008319467554076539,1202,3.3327787021630617,1.637271214642263,0.03577371048252912,0.8943427620632279,0.2942643391521197,1203,0.11480865224625623,0.13050706566916043,d
