Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2018,0.01764705882352941,3.5823529411764707,12.323529411764707,0,170,7.305882352941176,0.9588235294117647,0,0,10.658823529411764,170,0.18823529411764706,0.23529411764705882,y
2,0.0,1.3571428571428572,3.142857142857143,0,14,4.142857142857143,1.1428571428571428,0,0,-5.0,14,0.14285714285714285,0.14285714285714285,m
3,0.03225806451612903,3.129032258064516,23.677419354838708,0,31,18.0,4.258064516129032,0,0,17.516129032258064,31,0.3225806451612903,0.2903225806451613,m
4,0.018018018018018018,4.441441441441442,12.486486486486486,0,111,5.63963963963964,0.13513513513513514,0,0,13.053097345132743,113,0.18018018018018017,0.25663716814159293,m
5,0.0,0.0,-4.928571428571429,0,14,0.0,0.0,0,0,-11.333333333333334,12,0.0,0.0,m
Mon,0.0,0.4090909090909091,5.2272727272727275,0,22,3.272727272727273,0.9090909090909091,0,0,10.636363636363637,22,0.18181818181818182,0.2727272727272727,d
Tue,0.0,0.5833333333333334,11.0,0,24,9.833333333333334,1.75,0,0,7.576923076923077,26,0.08333333333333333,0.15384615384615385,d
Wed,0.038461538461538464,7.576923076923077,13.26923076923077,0,26,1.8846153846153846,1.0769230769230769,0,0,7.846153846153846,26,0.2692307692307692,0.3076923076923077,d
Thu,0.0,2.185185185185185,9.777777777777779,0,27,7.888888888888889,0.6666666666666666,0,0,7.518518518518518,27,0.25925925925925924,0.2962962962962963,d
Fri,0.0,2.76,9.0,0,25,3.92,0.0,0,0,14.956521739130435,23,0.2,0.34782608695652173,d
Sat,0.0,3.6956521739130435,21.043478260869566,0,23,16.043478260869566,0.0,0,0,19.08695652173913,23,0.17391304347826086,0.17391304347826086,d
Sun,0.08695652173913043,7.6521739130434785,17.304347826086957,0,23,8.91304347826087,2.391304347826087,0,0,8.304347826086957,23,0.13043478260869565,0.08695652173913043,d
