Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.010138248847926268,0.9769585253456221,1.8046082949308755,0.003686635944700461,1085,3.2930875576036867,1.1428571428571428,0.013824884792626729,0.535483870967742,-3.0378578024007385,1083,0.09585253456221199,0.12465373961218837,y
2016,0.01826923076923077,3.2721153846153848,0.08942307692307692,0.0028846153846153848,1040,2.6971153846153846,1.5798076923076922,0.0,0.04326923076923077,-5.872115384615385,1040,0.058653846153846154,0.08269230769230769,y
2017,0.01089108910891089,5.873267326732673,4.645544554455445,0.0019801980198019802,1010,4.087128712871287,1.4495049504950495,0.01485148514851485,0.7495049504950495,0.4087301587301587,1008,0.1099009900990099,0.1259920634920635,y
2018,0.013205282112845138,4.426170468187275,3.7779111644657863,0.0,833,4.7683073229291715,2.1752701080432173,0.0,1.0768307322929171,4.601440576230492,833,0.09723889555822329,0.1716686674669868,y
2019,0.031088082901554404,6.835492227979275,11.704663212435234,0.0038860103626943004,772,5.7525906735751295,4.858808290155441,0.0,1.1787564766839378,6.927554980595084,773,0.15414507772020725,0.1927554980595084,y
1,0.016055045871559634,7.10091743119266,8.036697247706423,0.006880733944954129,436,4.954128440366972,1.8073394495412844,0.0,0.08256880733944955,-0.4416475972540046,437,0.13990825688073394,0.16933638443935928,m
2,0.0215633423180593,4.02156334231806,5.962264150943396,0.0,371,3.7277628032345014,6.035040431266847,0.0,0.5309973045822103,0.9326145552560647,371,0.09973045822102426,0.15363881401617252,m
3,0.029055690072639227,1.4334140435835352,-2.2179176755447942,0.0,413,2.053268765133172,1.0581113801452784,0.0,0.4092009685230024,-4.800970873786408,412,0.07506053268765134,0.08980582524271845,m
4,0.03299492385786802,0.9568527918781726,-0.48984771573604063,0.0,394,4.926395939086294,1.0558375634517767,0.0,0.17258883248730963,0.7690355329949239,394,0.08375634517766498,0.1218274111675127,m
5,0.004962779156327543,1.6575682382133996,-1.6104218362282878,0.004962779156327543,403,1.9081885856079404,1.1612903225806452,0.0,0.12406947890818859,-3.225806451612903,403,0.06947890818858561,0.11166253101736973,m
6,0.010126582278481013,1.6025316455696204,2.830379746835443,0.002531645569620253,395,4.706329113924051,2.972151898734177,0.0379746835443038,0.5215189873417722,4.8,395,0.09620253164556962,0.15949367088607594,m
7,0.010230179028132993,3.398976982097187,6.163682864450128,0.0,391,5.859335038363171,0.9769820971867008,0.0,0.43478260869565216,7.3171355498721224,391,0.12020460358056266,0.1534526854219949,m
8,0.0051813471502590676,4.909326424870466,3.7875647668393784,0.007772020725388601,386,3.6761658031088085,1.049222797927461,0.0,0.04922279792746114,1.5322997416020672,387,0.10621761658031088,0.16279069767441862,m
9,0.002652519893899204,5.718832891246684,1.389920424403183,0.0,377,0.7294429708222812,2.156498673740053,0.0,0.01856763925729443,-7.50531914893617,376,0.04509283819628647,0.05851063829787234,m
10,0.019801980198019802,5.905940594059406,5.816831683168317,0.0024752475247524753,404,3.400990099009901,2.2103960396039604,0.0,2.371287128712871,-2.633663366336634,404,0.11138613861386139,0.12128712871287128,m
11,0.02295918367346939,3.1479591836734695,5.035714285714286,0.002551020408163265,392,5.086734693877551,2.5943877551020407,0.03826530612244898,1.844387755102041,-0.6862244897959183,392,0.09693877551020408,0.14285714285714285,m
12,0.015873015873015872,9.261904761904763,13.571428571428571,0.0026455026455026454,378,6.894179894179894,2.322751322751323,0.0,1.552910052910053,4.88,375,0.15873015873015872,0.176,m
Mon,0.01680672268907563,4.553221288515406,5.781512605042017,0.004201680672268907,714,4.9677871148459385,1.5322128851540617,0.02100840336134454,1.8067226890756303,3.0335664335664334,715,0.11484593837535013,0.14965034965034965,d
Tue,0.020710059171597635,2.544378698224852,2.1997041420118344,0.0014792899408284023,676,3.6272189349112427,2.1701183431952664,0.0,0.9097633136094675,0.465288035450517,677,0.09467455621301775,0.13146233382570163,d
Wed,0.011834319526627219,6.068047337278107,6.3328402366863905,0.0029585798816568047,676,3.2840236686390534,3.1863905325443787,0.022189349112426034,0.5739644970414202,-2.230769230769231,676,0.09319526627218935,0.11834319526627218,d
Thu,0.018207282913165267,3.542016806722689,6.641456582633054,0.0014005602240896359,714,5.687675070028011,2.6372549019607843,0.0,0.49159663865546216,0.6302521008403361,714,0.12184873949579832,0.1484593837535014,d
Fri,0.01532033426183844,2.8899721448467965,1.6337047353760445,0.004178272980501393,718,3.5793871866295266,2.066852367688022,0.0,0.12534818941504178,-0.12831241283124128,717,0.10027855153203342,0.14644351464435146,d
Sat,0.0150093808630394,5.729831144465291,3.2382739212007503,0.001876172607879925,533,2.544090056285178,1.5028142589118199,0.0,0.5984990619136961,-2.775047258979206,529,0.07879924953095685,0.11531190926275993,d
Sun,0.014104372355430184,3.706629055007052,1.9590973201692525,0.0014104372355430183,709,3.826516220028209,1.4485190409026798,0.0,0.19322990126939352,0.47531734837799716,709,0.0930888575458392,0.12976022566995768,d
