Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.037241379310344824,5.510344827586207,5.182068965517241,0.001379310344827586,725,2.6841379310344826,2.9213793103448276,0.0,1.3103448275862069,4.269337016574585,724,0.11586206896551725,0.17679558011049723,y
2016,0.01639344262295082,17.20374707259953,20.491803278688526,0.00702576112412178,427,7.39344262295082,1.7517564402810304,0.0,0.0,9.913348946135832,427,0.14285714285714285,0.17096018735362997,y
2017,0.03208556149732621,9.802139037433156,7.2032085561497325,0.0,187,3.518716577540107,0.7433155080213903,0.0,0.0,0.005376344086021506,186,0.10160427807486631,0.10752688172043011,y
2018,0.03283173734610123,2.5718194254445965,6.222982216142271,0.005471956224350205,731,3.4213406292749657,2.3160054719562244,0.0,2.5622435020519836,0.09439124487004104,731,0.1326949384404925,0.1354309165526676,y
2019,0.042582417582417584,2.506868131868132,7.516483516483516,0.0027472527472527475,728,3.4285714285714284,1.521978021978022,0.02197802197802198,4.041208791208791,4.287087912087912,728,0.11675824175824176,0.13598901098901098,y
1,0.04838709677419355,2.850806451612903,5.891129032258065,0.0,248,3.899193548387097,2.8548387096774195,0.0,2.1088709677419355,10.69758064516129,248,0.12903225806451613,0.14919354838709678,m
2,0.08035714285714286,1.0580357142857142,5.848214285714286,0.0,224,4.732142857142857,2.3392857142857144,0.0,3.53125,3.450892857142857,224,0.125,0.17857142857142858,m
3,0.036290322580645164,4.278225806451613,5.387096774193548,0.004032258064516129,248,4.82258064516129,1.5483870967741935,0.0,0.125,1.4798387096774193,248,0.11290322580645161,0.14112903225806453,m
4,0.03208556149732621,9.262032085561497,10.802139037433156,0.0,187,3.550802139037433,2.2406417112299466,0.0,1.6470588235294117,1.424731182795699,186,0.1443850267379679,0.15591397849462366,m
5,0.05945945945945946,6.627027027027027,14.264864864864865,0.0,185,5.167567567567567,3.9297297297297296,0.0,4.8,8.962162162162162,185,0.16756756756756758,0.23783783783783785,m
6,0.03347280334728033,8.00418410041841,12.99163179916318,0.008368200836820083,239,6.292887029288703,1.5690376569037656,0.0,1.1506276150627615,13.083682008368202,239,0.1506276150627615,0.2301255230125523,m
7,0.0,16.95967741935484,19.806451612903224,0.012096774193548387,248,4.411290322580645,1.2943548387096775,0.0,2.306451612903226,11.504032258064516,248,0.125,0.17338709677419356,m
8,0.020161290322580645,7.233870967741935,7.80241935483871,0.004032258064516129,248,1.6330645161290323,1.6411290322580645,0.0,2.721774193548387,1.5,248,0.12096774193548387,0.13709677419354838,m
9,0.0041841004184100415,5.389121338912134,1.6945606694560669,0.0041841004184100415,239,0.6694560669456067,2.518828451882845,0.0,0.6861924686192469,-4.292887029288703,239,0.08786610878661087,0.100418410041841,m
10,0.024193548387096774,4.201612903225806,5.778225806451613,0.0,248,3.068548387096774,1.8306451612903225,0.04032258064516129,2.6129032258064515,-1.6975806451612903,248,0.08870967741935484,0.08064516129032258,m
11,0.02531645569620253,1.2995780590717299,6.447257383966245,0.004219409282700422,237,6.421940928270042,1.2827004219409284,0.0,1.3248945147679325,2.717299578059072,237,0.1350210970464135,0.16455696202531644,m
12,0.05263157894736842,5.526315789473684,7.251012145748988,0.004048582995951417,247,1.8987854251012146,2.3522267206477734,0.024291497975708502,2.331983805668016,-3.048780487804878,246,0.11336032388663968,0.07723577235772358,m
Mon,0.03482587064676617,4.45771144278607,7.606965174129353,0.0024875621890547263,402,4.116915422885572,2.343283582089552,0.0,2.601990049751244,5.553615960099751,401,0.12935323383084577,0.1745635910224439,d
Tue,0.0175,4.7325,4.71,0.0075,400,2.865,1.465,0.0,1.475,1.645,400,0.1125,0.1475,d
Wed,0.02763819095477387,1.2261306532663316,1.8718592964824121,0.002512562814070352,398,3.2110552763819094,2.0603015075376883,0.0,1.4447236180904524,5.453634085213032,399,0.08793969849246232,0.14536340852130325,d
Thu,0.034912718204488775,3.865336658354115,5.159600997506234,0.004987531172069825,401,2.8703241895261846,1.9925187032418952,0.014962593516209476,1.9251870324189526,4.469849246231155,398,0.09725685785536159,0.13316582914572864,d
Fri,0.032663316582914576,8.374371859296483,11.733668341708542,0.005025125628140704,398,4.552763819095477,2.258793969849246,0.0,2.057788944723618,3.6466165413533833,399,0.13316582914572864,0.14786967418546365,d
Sat,0.03740648379052369,8.628428927680797,13.927680798004987,0.0,401,4.7556109725685785,2.264339152119701,0.0,3.506234413965087,2.2044887780548628,401,0.1396508728179551,0.14463840399002495,d
Sun,0.052763819095477386,10.962311557788945,14.733668341708542,0.002512562814070352,398,4.545226130653266,2.14070351758794,0.02512562814070352,1.399497487437186,3.35678391959799,398,0.1658291457286432,0.15577889447236182,d
