Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.0354464894342195,3.8485344239945465,9.137150647580096,0.0027266530334014998,7335,4.9742331288343555,3.576823449216087,0.001226993865030675,0.19754601226993865,6.140537590394324,7329,0.1630538513974097,0.19361440851412198,y
2016,0.027084701247537753,3.6956664478003938,8.554661851608667,0.002298095863427446,6092,4.541201575837164,3.428759028233749,0.0,0.2912015758371635,4.205389418337167,6086,0.14822718319107026,0.16332566546171542,y
2017,0.029081177520071364,4.348082069580731,10.604460303300625,0.0016057091882247993,5605,5.150579839429081,4.432649420160571,0.0,0.24531668153434433,5.395825900820549,5606,0.16431757359500446,0.18301819479129505,y
2018,0.03175581933096963,3.5414675504855864,10.273701248651149,0.002081085247417913,12974,5.216124556805919,4.234700169569909,0.008324340989671651,0.6741945429320179,7.936219380680943,12982,0.1708802219824264,0.2147588969342166,y
2019,0.022823561568949022,3.6691266912669125,9.712108787754545,0.0017766844335110018,14634,5.242859095257619,3.8297799644663115,0.0027333606669400026,0.7025420254202542,6.563362952836637,14630,0.16270329369960365,0.20191387559808613,y
1,0.04591418420333424,4.216725881388357,8.938507789013391,0.001366493577480186,3659,4.845039628313747,3.490024596884395,0.004099480732440558,0.5796665755670949,7.1648021828103685,3665,0.16261273572014212,0.20900409276944065,m
2,0.04346549192364171,4.6437591776798826,9.997650513950074,0.0011747430249632893,3405,5.0508076358296625,3.1879588839941264,0.0,0.9600587371512481,5.936601115350748,3407,0.155359765051395,0.20633988846492515,m
3,0.029668411867364748,4.0259286960857645,7.653453004238345,0.0019945150835203192,4011,4.214410371478435,3.2266267763649963,0.0004986287708800798,0.0825230615806532,4.0758861707438845,4006,0.14584891548242335,0.17373939091362955,m
4,0.02220053671627226,4.400097584776775,10.450353744815809,0.0034154671871188093,4099,5.047328616735789,4.110758721639424,0.0,0.42473774091241767,6.286445636274988,4102,0.15735545254940228,0.18283764017552415,m
5,0.024931438544003988,3.854400398903017,10.422338568935428,0.0034904013961605585,4011,4.992769882822238,4.223136374968836,0.002243829468960359,0.31264023934181,6.640399002493766,4010,0.17277486910994763,0.20473815461346634,m
6,0.037294878170064646,4.312531079065142,14.324216807558429,0.0027349577324714074,4022,7.4373446046742915,4.652909000497265,0.0,0.47190452511188463,13.128976143141154,4024,0.20586772749875684,0.26093439363817095,m
7,0.03943732730469731,3.5712132629992466,12.859331826174328,0.002009545340366742,3981,6.7563426274805325,4.582516955538809,0.007786988193921126,0.9331826174328058,11.3488430583501,3976,0.18789248932429037,0.23440643863179075,m
8,0.037829766052762566,3.8954703832752613,11.85465405674465,0.002239920358387257,4018,6.031358885017422,4.377551020408164,0.0037332005973120955,0.6226978596316576,10.390341050535225,4017,0.19213539074166253,0.2354991287030122,m
9,0.015573142711258616,3.2282358948174625,6.804186877712535,0.0007658922644881287,3917,3.583354608118458,4.016339034975747,0.0,0.2999744702578504,2.62720081653483,3919,0.13556293081439877,0.15922429191120183,m
10,0.012599951538647928,2.962927065665132,5.97722316452629,0.001938454082868912,4127,3.4906711897261933,3.6094015023019144,0.0,0.1332687181972377,2.2672811059907834,4123,0.1366610128422583,0.14892068881882126,m
11,0.007526602647287828,2.8938489488710095,6.997923695821438,0.0015572281339216196,3853,4.072930184271996,3.6158837269660005,0.006488450558006748,0.41993252011419674,1.4300907911802854,3855,0.13521930962886064,0.15408560311284047,m
12,0.030251625671473,3.006219960418434,10.513429459994345,0.0016963528413910093,3537,5.567995476392423,3.814814814814815,0.016963528413910092,0.9759683347469607,5.6163219042221595,3529,0.17161436245405712,0.19410597903088694,m
Mon,0.0329608938547486,4.787011173184357,12.397346368715084,0.0029329608938547485,7160,5.922206703910614,4.170391061452514,0.0,0.4611731843575419,7.811044484730163,7171,0.17960893854748602,0.21182540789290197,d
Tue,0.029582448690728947,3.9692852087756547,9.60962491153574,0.002264685067232838,7065,4.839065817409766,4.106723283793348,0.0012738853503184713,0.6420382165605095,5.014375177910618,7026,0.16150035385704176,0.18360375747224594,d
Wed,0.030584536229812775,3.32656852936973,7.6161211947977705,0.0018579391167643277,6997,4.293697298842361,3.6619979991424896,0.008575103615835357,0.44804916392739746,3.7232168229610685,7038,0.14820637416035443,0.17760727479397556,d
Thu,0.031534012668686315,3.415863398512806,10.179840264389975,0.0017901404571743322,7262,5.602726521619388,4.224731478931424,0.0020655466813549986,0.49201321949876065,8.630063378341141,7258,0.17281740567336823,0.21149076880683385,d
Fri,0.02753704221414593,3.837573385518591,11.883841207715964,0.0019569471624266144,7154,6.334218618954431,4.351831143416271,0.006429969247973162,0.37545429130556335,10.299355922710726,7142,0.19471624266144813,0.23536824418930272,d
Sat,0.01615989793748671,3.644269615139273,6.436104614076122,0.0017010418881564958,4703,3.432915160535828,2.7127365511375716,0.00042526047203912394,0.4046353391452264,2.58454003407155,4696,0.12056134382309164,0.151618398637138,d
Sun,0.027464676932846484,3.1373233846642323,8.705032544848388,0.001746308937926655,6299,4.546277186855057,3.792189236386728,0.003968883949833307,0.7129703127480552,5.413678197397651,6302,0.149071281155739,0.18946366232941922,d
