Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.012987012987012988,2.8701298701298703,16.948051948051948,0,77,12.909090909090908,3.688311688311688,3.090909090909091,0.0,10.415584415584416,77,0.4025974025974026,0.24675324675324675,y
2016,0.011904761904761904,1.9642857142857142,-0.39285714285714285,0,84,1.8095238095238095,0.2976190476190476,2.5,0.0,-7.5,84,0.17857142857142858,0.08333333333333333,y
2017,0.047619047619047616,0.9523809523809523,-2.130952380952381,0,84,5.857142857142857,0.8095238095238095,0.4166666666666667,0.0,-2.7023809523809526,84,0.11904761904761904,0.10714285714285714,y
2018,0.023809523809523808,0.08333333333333333,-4.464285714285714,0,84,3.7023809523809526,0.6547619047619048,0.15476190476190477,0.23809523809523808,-2.857142857142857,84,0.11904761904761904,0.14285714285714285,y
2019,0.0,0.15853658536585366,-6.926829268292683,0,82,4.878048780487805,1.7804878048780488,0.17073170731707318,0.32926829268292684,-6.7682926829268295,82,0.10975609756097561,0.0975609756097561,y
6,0.015384615384615385,1.4,-3.0076923076923077,0,130,3.576923076923077,1.2846153846153847,0.7769230769230769,0.0,-2.6769230769230767,130,0.13076923076923078,0.11538461538461539,m
7,0.012903225806451613,1.1419354838709677,1.2,0,155,4.948387096774193,1.4322580645161291,2.0064516129032257,0.12903225806451613,-3.870967741935484,155,0.17419354838709677,0.0967741935483871,m
8,0.031746031746031744,1.007936507936508,2.8174603174603177,0,126,8.865079365079366,1.5,0.7777777777777778,0.21428571428571427,0.7777777777777778,126,0.24603174603174602,0.1984126984126984,m
Mon,0.01694915254237288,0.4915254237288136,-1.3220338983050848,0,59,6.169491525423729,2.288135593220339,0.5084745762711864,0.4576271186440678,-1.1016949152542372,59,0.1864406779661017,0.1694915254237288,d
Tue,0.017241379310344827,1.3793103448275863,-5.413793103448276,0,58,3.9655172413793105,1.1551724137931034,0.0,0.0,-3.9827586206896552,58,0.10344827586206896,0.10344827586206896,d
Wed,0.017241379310344827,0.5172413793103449,-6.741379310344827,0,58,4.793103448275862,0.603448275862069,0.3275862068965517,0.0,-5.810344827586207,58,0.13793103448275862,0.10344827586206896,d
Thu,0.01694915254237288,0.4915254237288136,1.1864406779661016,0,59,7.1525423728813555,0.711864406779661,0.711864406779661,0.0,3.3220338983050848,59,0.1864406779661017,0.22033898305084745,d
Fri,0.05084745762711865,1.2033898305084745,3.7457627118644066,0,59,2.4915254237288136,1.2033898305084745,2.847457627118644,0.0,-4.084745762711864,59,0.1864406779661017,0.13559322033898305,d
Sat,0.0,3.76271186440678,7.288135593220339,0,59,5.52542372881356,2.2542372881355934,2.1864406779661016,0.3389830508474576,-3.3559322033898304,59,0.3389830508474576,0.1016949152542373,d
Sun,0.01694915254237288,0.423728813559322,3.593220338983051,0,59,9.864406779661017,1.6101694915254237,2.0677966101694913,0.0,0.4406779661016949,59,0.13559322033898305,0.1016949152542373,d
