Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.013793103448275862,5.077832512315271,6.713300492610838,0.0009852216748768472,1015,3.8689655172413793,2.4374384236453204,0.0,0.0,3.6226600985221675,1015,0.11921182266009853,0.16354679802955666,y
2016,0.006910167818361303,5.612043435340572,9.241855873642645,0.0009871668311944718,1013,6.313919052319842,0.9901283316880553,0.0,0.0,8.366863905325443,1014,0.14116485686080948,0.20019723865877712,y
2017,0.014644351464435146,3.23326359832636,7.506276150627615,0.0020920502092050207,956,6.7154811715481175,1.2217573221757323,0.0,0.4246861924686193,6.7677824267782425,956,0.13389121338912133,0.18723849372384938,y
2018,0.005876591576885406,1.9461312438785505,5.455435847208619,0.0039177277179236044,1021,5.692458374142997,2.3614103819784527,0.10284035259549461,0.8403525954946132,5.05484818805093,1021,0.12536728697355534,0.1665034280117532,y
2019,0.002533783783783784,4.844594594594595,11.657094594594595,0.0008445945945945946,1184,5.652027027027027,1.2297297297297298,0.0,1.9214527027027026,2.3902027027027026,1184,0.14780405405405406,0.16976351351351351,y
1,0.031476997578692496,4.5690072639225185,8.111380145278451,0.0,413,5.595641646489105,1.9564164648910412,0.0,0.7796610169491526,7.243373493975904,415,0.13317191283292978,0.1710843373493976,m
2,0.023076923076923078,3.9512820512820515,7.430769230769231,0.005128205128205128,390,5.7,1.876923076923077,0.0,0.3230769230769231,6.866666666666666,390,0.1358974358974359,0.18974358974358974,m
3,0.004514672686230248,4.720090293453724,8.697516930022573,0.002257336343115124,443,5.934537246049661,1.7291196388261851,0.0,0.1399548532731377,5.751693002257336,443,0.12415349887133183,0.18284424379232506,m
4,0.007042253521126761,9.9037558685446,12.63849765258216,0.002347417840375587,426,4.7981220657277,1.0093896713615023,0.0,0.0,2.0187793427230045,426,0.13380281690140844,0.14788732394366197,m
5,0.002403846153846154,3.28125,3.5600961538461537,0.0,416,2.389423076923077,1.2019230769230769,0.0,0.6586538461538461,1.0528846153846154,416,0.08413461538461539,0.14182692307692307,m
6,0.002347417840375587,1.1784037558685445,8.725352112676056,0.007042253521126761,426,7.293427230046948,2.2018779342723005,0.0,0.8661971830985915,13.262910798122066,426,0.15258215962441316,0.2676056338028169,m
7,0.011086474501108648,5.709534368070954,12.137472283813747,0.0,451,7.982261640798226,1.1973392461197339,0.0,0.36363636363636365,10.095343680709535,451,0.1729490022172949,0.22172949002217296,m
8,0.006396588486140725,2.9360341151385927,7.812366737739872,0.0021321961620469083,469,6.97228144989339,1.072494669509595,0.0,0.3006396588486141,7.031982942430703,469,0.14712153518123666,0.21108742004264391,m
9,0.006802721088435374,1.6621315192743764,1.0997732426303855,0.0022675736961451248,441,2.938775510204082,1.875283446712018,0.0,0.047619047619047616,-0.40816326530612246,441,0.08616780045351474,0.12471655328798185,m
10,0.0,2.708154506437768,7.070815450643777,0.0,466,6.049356223175966,1.706008583690987,0.0,0.8862660944206009,3.313304721030043,466,0.13090128755364808,0.17381974248927037,m
11,0.0,3.4817351598173514,5.063926940639269,0.0,438,4.513698630136986,1.9429223744292237,0.0,0.2853881278538813,-0.0821917808219178,438,0.12100456621004566,0.12100456621004566,m
12,0.00975609756097561,6.282926829268293,16.841463414634145,0.0,410,7.260975609756097,2.004878048780488,0.25609756097560976,3.7121951219512197,5.533007334963325,409,0.18536585365853658,0.1687041564792176,m
Mon,0.010296010296010296,2.9536679536679538,10.44015444015444,0.001287001287001287,777,7.387387387387387,1.861003861003861,0.13513513513513514,1.8198198198198199,8.314028314028315,777,0.16087516087516088,0.20077220077220076,d
Tue,0.010230179028132993,6.418158567774936,10.516624040920716,0.0025575447570332483,782,6.122762148337596,1.4552429667519182,0.0,0.2966751918158568,4.997442455242966,782,0.14578005115089515,0.18030690537084398,d
Wed,0.01020408163265306,5.936224489795919,9.433673469387756,0.0012755102040816326,784,5.215561224489796,1.3966836734693877,0.0,0.7487244897959183,4.693486590038314,783,0.1326530612244898,0.17496807151979565,d
Thu,0.011612903225806452,2.9238709677419354,6.225806451612903,0.0012903225806451613,775,5.025806451612903,1.7961290322580645,0.0,0.5174193548387097,7.010322580645162,775,0.12387096774193548,0.18193548387096775,d
Fri,0.006435006435006435,2.7387387387387387,6.924066924066924,0.001287001287001287,777,6.064350064350064,2.2895752895752897,0.0,0.462033462033462,5.7445442875481385,779,0.14285714285714285,0.19383825417201542,d
Sat,0.003616636528028933,4.251356238698011,5.481012658227848,0.0018083182640144665,553,3.1374321880650995,1.7396021699819169,0.0,0.6238698010849909,0.27486437613019893,553,0.081374321880651,0.1301989150090416,d
Sun,0.005398110661268556,3.967611336032389,7.767881241565452,0.002699055330634278,741,5.7867746288798925,0.9446693657219973,0.0,0.27125506072874495,3.3994601889338734,741,0.1349527665317139,0.1632928475033738,d
