Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.05030181086519115,3.6317907444668007,9.784708249496981,0.0,497,8.388329979879275,3.249496981891348,0.04225352112676056,0.27565392354124746,10.05858585858586,495,0.1891348088531187,0.26464646464646463,y
2016,0.02066115702479339,8.053719008264462,15.165289256198347,0.0,242,10.041322314049587,1.5,0.0,0.0,8.884297520661157,242,0.17355371900826447,0.21074380165289255,y
2017,0.029411764705882353,0.3058823529411765,9.68235294117647,0.0,170,12.523529411764706,1.2117647058823529,0.0,0.36470588235294116,12.41764705882353,170,0.16470588235294117,0.23529411764705882,y
2018,0.017391304347826087,5.434782608695652,9.417391304347825,0.004347826086956522,230,7.252173913043478,3.408695652173913,0.0,0.10869565217391304,5.243478260869566,230,0.1565217391304348,0.18695652173913044,y
2019,0.008333333333333333,3.6125,12.845833333333333,0.008333333333333333,240,10.108333333333333,2.1458333333333335,0.0,2.370833333333333,16.495833333333334,240,0.22916666666666666,0.25416666666666665,y
1,0.04247104247104247,3.5984555984555984,10.976833976833976,0.0,259,10.583011583011583,3.1042471042471043,0.0,0.2702702702702703,10.527131782945736,258,0.20077220077220076,0.2558139534883721,m
2,0.03862660944206009,5.532188841201717,15.510729613733906,0.004291845493562232,233,13.373390557939913,3.0300429184549356,0.0,0.0,14.225531914893617,235,0.19313304721030042,0.225531914893617,m
3,0.013559322033898305,3.183050847457627,4.8474576271186445,0.0,295,6.505084745762712,1.152542372881356,0.0,0.0711864406779661,4.346938775510204,294,0.1694915254237288,0.19047619047619047,m
4,0.0,0.0,-7.65,0.0,40,1.4,0.6,0.0,0.0,-4.769230769230769,39,0.05,0.1282051282051282,m
5,0.0,0.0,-2.1666666666666665,0.0,6,0.0,0.0,0.0,0.0,-3.3333333333333335,6,0.0,0.0,m
6,0.06,0.86,18.56,0.0,50,6.2,4.16,0.0,9.9,40.9622641509434,53,0.28,0.3584905660377358,m
7,0.013793103448275862,11.710344827586207,19.406896551724138,0.0,145,6.524137931034483,2.7448275862068967,0.0,0.6275862068965518,12.027586206896551,145,0.2206896551724138,0.2896551724137931,m
8,0.009615384615384616,5.6826923076923075,9.125,0.009615384615384616,104,4.201923076923077,2.5288461538461537,0.0,0.7788461538461539,15.693069306930694,101,0.15384615384615385,0.3465346534653465,m
9,0.0,0.0,1.3333333333333333,0.0,27,5.407407407407407,0.037037037037037035,0.0,0.0,6.076923076923077,26,0.1111111111111111,0.23076923076923078,m
11,0.0,0.0,48.0,0.0,3,53.0,0.6666666666666666,0.0,0.0,57.666666666666664,3,0.3333333333333333,0.3333333333333333,m
12,0.05069124423963134,1.9861751152073732,13.774193548387096,0.004608294930875576,217,13.788018433179724,3.3963133640552994,0.0967741935483871,0.16129032258064516,6.649769585253456,217,0.18433179723502305,0.19815668202764977,m
Mon,0.021739130434782608,7.103260869565218,12.0,0.0,184,6.163043478260869,2.4130434782608696,0.0,0.17391304347826086,9.5,170,0.1956521739130435,0.24705882352941178,d
Tue,0.026490066225165563,9.370860927152318,14.013245033112582,0.006622516556291391,151,6.430463576158941,1.3245033112582782,0.11920529801324503,0.9602649006622517,9.855263157894736,152,0.19205298013245034,0.23684210526315788,d
Wed,0.03896103896103896,1.2792207792207793,8.623376623376624,0.006493506493506494,154,9.551948051948052,3.792207792207792,0.0,0.4025974025974026,10.31360946745562,169,0.18831168831168832,0.24260355029585798,d
Thu,0.03314917127071823,1.861878453038674,11.988950276243093,0.0,181,13.624309392265193,2.734806629834254,0.0,0.1270718232044199,9.706586826347305,167,0.143646408839779,0.25748502994011974,d
Fri,0.028901734104046242,0.5953757225433526,13.658959537572255,0.0,173,14.820809248554914,2.069364161849711,0.0,0.8034682080924855,17.804347826086957,184,0.2023121387283237,0.25,d
Sat,0.027972027972027972,5.972027972027972,9.902097902097902,0.0034965034965034965,286,6.923076923076923,2.8566433566433567,0.0,0.583916083916084,7.6847133757961785,314,0.1958041958041958,0.22929936305732485,d
Sun,0.032,3.424,9.644,0.0,250,8.944,2.34,0.012,0.9,10.131221719457013,221,0.176,0.2081447963800905,d
