Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.03454189122978932,5.6058304752572266,11.383023027927486,0.0039196472317491425,8164,5.41266536011759,3.8919647231749144,0.022048015678588925,0.5438510534051936,8.12348697884827,8179,0.2007594316511514,0.2282675143660594,y
2016,0.017255892255892257,6.195566778900112,12.328703703703704,0.0030864197530864196,7128,5.154180695847362,3.451178451178451,0.05822109988776655,0.30667789001122336,10.423481554215178,7129,0.20202020202020202,0.23972506662926077,y
2017,0.02769593400117855,7.409546258102534,13.588685916322923,0.0036829699469652327,6788,6.1757513258691805,3.139952857984679,0.009281084266352387,0.20713022981732468,10.392988658123436,6789,0.20595167943429582,0.2420091324200913,y
2018,0.035037974683544304,6.0628860759493675,15.097316455696202,0.0034430379746835443,9875,8.06379746835443,3.3443037974683545,0.020455696202531647,1.4754430379746835,13.24355735219808,9895,0.21853164556962026,0.25265285497726125,y
2019,0.02766287487073423,7.051878662530162,17.2246639089969,0.002843846949327818,11604,8.288176490865219,3.155894519131334,0.019906928645294725,1.3709065839365735,10.205646896789188,11617,0.21845915201654603,0.21761212016871825,y
1,0.06588032220943614,6.661104718066744,15.823935558112773,0.0014384349827387803,3476,7.685845799769851,2.8970080552359034,0.0017261219792865361,1.4128308400460299,14.241191635634488,3491,0.22324510932105868,0.2549412775708966,m
2,0.05576093653727665,7.021256931608133,17.264017252002464,0.0024645717806531116,3246,8.203943314849045,3.1786814540973505,0.04313000616142945,0.9559457794208256,13.982785121426376,3253,0.24953789279112754,0.26806025207500767,m
3,0.048800215691561066,5.6260447559989215,10.98004853060124,0.0013480722566729577,3709,5.69937988676193,3.040442167700189,0.0636290105149636,0.5063359396063629,8.216114254917812,3711,0.1879212725802103,0.21665319320937754,m
4,0.016565433462175594,5.631419105466593,12.94257316399779,0.0027609055770292656,3622,7.4417448923246825,3.3376587520706793,0.024295969077857537,0.6637217007178354,10.710033076074973,3628,0.19409166206515738,0.22574421168687983,m
5,0.017581246670218435,5.5823122003196595,12.044485881726159,0.0037293553542887587,3754,6.84496537027171,3.2943526904635054,0.03010122535961641,0.7032498668087374,8.71792828685259,3765,0.1848694725625999,0.2100929614873838,m
6,0.030466433000808844,7.196548935022917,16.99703424103532,0.005392289026691831,3709,8.35346454569965,3.9574009166891346,0.016446481531410085,1.0299272040981398,13.993537964458804,3714,0.23402534375842546,0.26548196015078085,m
7,0.020542533579141427,7.204108506715828,19.750855938899132,0.007374242823281538,3797,8.732420331840927,5.403739794574665,0.03476428759547011,1.8946536739531208,16.732208750658934,3794,0.2507242559915723,0.294148655772272,m
8,0.021022579807941862,8.317674539320011,19.44381001816766,0.005450298468725669,3853,7.611212042564236,4.9024137036075786,0.011160134959771606,1.6696080975862964,13.049558899844317,3854,0.23488191019984428,0.25090814737934614,m
9,0.0276056338028169,6.265352112676056,9.467323943661972,0.003943661971830986,3550,4.074366197183099,2.925352112676056,0.024507042253521127,0.36788732394366197,5.73704954954955,3552,0.17267605633802816,0.20439189189189189,m
10,0.01437908496732026,6.005490196078432,9.140130718954248,0.0010457516339869282,3825,3.9647058823529413,1.790326797385621,0.0018300653594771241,0.265359477124183,4.431444241316271,3829,0.16470588235294117,0.1846435100548446,m
11,0.01075573167279932,5.240305689215964,10.878290404755166,0.001415227851684121,3533,5.341636003396546,2.42513444664591,0.0,0.6651570902915369,6.092555901500141,3533,0.18822530427398812,0.20152844607981885,m
12,0.02295552367288379,6.869153515064562,16.69842180774749,0.003443328550932568,3485,8.480057388809183,3.250215208034433,0.05107604017216643,0.41779053084648493,11.169010043041608,3485,0.24591104734576757,0.24591104734576757,m
Mon,0.037575757575757575,6.61969696969697,15.539242424242424,0.004242424242424243,6600,7.810909090909091,2.8772727272727274,0.013181818181818182,0.9257575757575758,11.884894259818731,6620,0.2190909090909091,0.24697885196374622,d
Tue,0.03256973663705782,6.4643914601838866,14.413588904472494,0.0035842293906810036,6417,6.855851644070438,3.2169237961664328,0.011999376655758143,0.9421848215677108,9.831962761830876,6445,0.21053451768739287,0.2273079906904577,d
Wed,0.02923433874709977,4.9158546017014695,11.195823665893272,0.0024748646558391337,6465,6.050425367362722,3.0010827532869295,0.019180201082753288,0.8680587780355762,7.098822800495663,6456,0.18700696055684454,0.20662949194547708,d
Thu,0.027170613236187007,6.830449301760777,15.297510625379477,0.0036429872495446266,6588,7.0727079538554944,4.456284153005464,0.01092896174863388,0.8759866423800851,11.669045088811295,6587,0.21068609593199758,0.24684985577652951,d
Fri,0.022185330516148506,6.877754301237549,15.545125264111078,0.0034711741623905824,6626,7.5030184123151225,3.9562330214307275,0.06489586477512828,0.8115001509206158,12.085985819882335,6629,0.22577724117114398,0.25237592397043296,d
Sat,0.02481692432872254,7.042921074043938,12.955044751830757,0.0034580960130187145,4916,5.130593978844589,2.8073637103336044,0.02339300244100895,1.073433685923515,8.805412104936996,4841,0.19792514239218878,0.21441850857260897,d
Sun,0.027913233563141078,6.688750630570035,14.647721540272407,0.002522280141247688,5947,7.139902471834539,3.182444930216916,0.03127627375147133,0.7259122246510846,12.175261150721273,6031,0.21977467630738187,0.24473553307909135,d
