Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.014557338086749852,1.1164587046939989,3.6922162804515746,0.004753416518122401,3366,4.2023172905525845,1.4349376114081998,0.0,0.21241830065359477,4.376557863501484,3370,0.11081402257872847,0.1685459940652819,y
2016,0.009411764705882352,1.4480672268907564,4.284033613445378,0.0030252100840336134,2975,4.159327731092437,1.4534453781512604,0.0,0.2107563025210084,2.523361344537815,2975,0.1250420168067227,0.15428571428571428,y
2017,0.029353431178103927,1.9591431971439905,8.867116223720746,0.002380007933359778,2521,6.262990876636255,2.255850852836176,0.004760015866719556,0.4295914319714399,6.588818398096748,2522,0.1638238794129314,0.204203013481364,y
2018,0.011908219575951205,2.4530932326459483,9.440023235550392,0.0008713331397037467,3443,6.069997095556201,2.890502468777229,0.0,0.8466453674121406,4.832752613240418,3444,0.16758640720302062,0.19425087108013936,y
2019,0.023639607493309546,2.466770740410348,8.148305084745763,0.001784121320249777,4484,5.4897413024085635,2.454950936663693,0.0,1.2716324710080285,3.0200624164065983,4486,0.15209634255129348,0.1705305394560856,y
1,0.021788129226145755,1.410969196093163,3.7407963936889557,0.0015026296018031556,1331,4.133734034560481,1.2096168294515401,0.0,0.42073628850488354,0.2550486163051608,1337,0.10969196093163035,0.1406133133881825,m
2,0.010492332526230832,3.006456820016142,8.962066182405165,0.0,1239,5.309927360774818,1.8999192897497983,0.0,2.0516545601291365,3.257465698143664,1239,0.14850686037126715,0.1848264729620662,m
3,0.009765625,1.564453125,4.009114583333333,0.001953125,1536,3.734375,1.4186197916666667,0.0,0.2727864583333333,2.1567989590110606,1537,0.10546875,0.14769030579050096,m
4,0.026009582477754964,1.5557837097878167,5.498973305954825,0.0,1461,3.898699520876112,2.724161533196441,0.0,0.485968514715948,2.5557074504442925,1463,0.12388774811772758,0.16131237183868763,m
5,0.020847343644922665,2.6408876933423,12.852723604572965,0.007397444519166106,1487,8.31607262945528,2.683927370544721,0.0,1.7713517148621385,9.063887020847343,1487,0.18762609280430398,0.22259583053127102,m
6,0.027008310249307478,3.234764542936288,12.104570637119114,0.004847645429362881,1444,7.5685595567867034,2.6329639889196677,0.0,1.007617728531856,11.174636174636175,1443,0.20083102493074792,0.2383922383922384,m
7,0.013736263736263736,2.205357142857143,7.31456043956044,0.0006868131868131869,1456,5.013736263736264,2.826923076923077,0.0,0.19574175824175824,6.662087912087912,1456,0.15796703296703296,0.20467032967032966,m
8,0.03445899379738112,0.7670572019297036,5.60578911095796,0.006202618883528601,1451,5.629910406616127,2.290144727773949,0.0,0.383184011026878,4.399585921325052,1449,0.13645761543762921,0.1746031746031746,m
9,0.0193596425912137,1.5725986597170514,2.5331347728965006,0.0022338049143708115,1343,2.7416232315711095,2.317944899478779,0.0,0.33060312732688013,-1.4275092936802973,1345,0.09977661950856292,0.11598513011152416,m
10,0.010932944606413994,2.4183673469387754,6.717201166180758,0.002186588921282799,1372,5.080903790087463,1.749271137026239,0.0,0.40597667638483964,4.601899196493791,1369,0.13848396501457727,0.16508400292184075,m
11,0.0060882800608828,1.2290715372907153,3.8919330289193304,0.00076103500761035,1314,3.669710806697108,1.943683409436834,0.0091324200913242,0.11796042617960426,0.3315589353612167,1315,0.13165905631659056,0.1520912547528517,m
12,0.010332103321033211,1.6723247232472325,9.729889298892989,0.0014760147601476014,1355,7.432472324723247,1.755719557195572,0.0,0.5350553505535055,5.2616064848931465,1357,0.18450184501845018,0.21223286661753868,m
Mon,0.021568627450980392,2.1619607843137256,6.530980392156863,0.00196078431372549,2550,4.885490196078432,2.3976470588235292,0.0,0.31254901960784315,3.35641627543036,2556,0.14392156862745098,0.16901408450704225,d
Tue,0.019121236777868186,1.4056143205858422,4.893816110659072,0.0040683482506102524,2458,4.213995117982099,2.2192839707078926,0.0,0.4332790886899919,2.2871085807238716,2459,0.1322213181448332,0.1557543716958113,d
Wed,0.01694915254237288,1.7280064568200162,7.060532687651332,0.002421307506053269,2478,5.129136400322841,2.156981436642454,0.0,0.9515738498789347,4.177966101694915,2478,0.1497175141242938,0.17877320419693302,d
Thu,0.01674641148325359,1.6754385964912282,7.731259968102074,0.001993620414673046,2508,6.0103668261563,2.124401913875598,0.0,0.8229665071770335,5.746411483253588,2508,0.15350877192982457,0.19577352472089316,d
Fri,0.01730239874164373,2.044828942194259,7.714903657097916,0.001966181675186787,2543,5.737318128195045,2.4573338576484467,0.0,0.5143531262288635,4.344326658814292,2547,0.14825009830908376,0.17432273262661954,d
Sat,0.018384131591678763,2.0106434446057087,6.390904692791485,0.0019351717464925011,2067,4.722302854378326,1.0164489598451862,0.0,1.254958877600387,2.938040345821326,2082,0.1185292694726657,0.1580211335254563,d
Sun,0.013729977116704805,2.610526315789474,8.31487414187643,0.003203661327231121,2185,5.891075514874142,2.3839816933638445,0.005491990846681922,0.3917620137299771,5.959852330410706,2167,0.1588100686498856,0.20950622981079833,d
