Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.016907720513342838,3.485842330413526,7.067427174577307,0.002851904664901202,4909,3.694642493379507,2.5809737217355875,0.013240985944184151,0.5768995722143002,3.757939739413681,4912,0.13403951925035648,0.1659201954397394,y
2016,0.009830425165888425,2.9098058491029737,5.156303760137626,0.001228803145736053,4069,2.9665765544359792,1.9574834111575325,0.0,0.23199803391496682,2.5079872204472844,4069,0.10911771934136151,0.14008355861391006,y
2017,0.01934334436243319,3.190888266734538,5.378722321201323,0.0020361415118350726,3929,3.797912954950369,1.8460167981674727,0.0,0.6546194960549758,2.1415478615071284,3928,0.10995164163909392,0.1354378818737271,y
2018,0.020420002320454808,2.735932242719573,7.101751943380902,0.002552500290056851,8619,5.6040143868198165,2.2690567351200834,0.0035967049541710174,0.4429748230653208,4.438051044083527,8620,0.14340410720501218,0.17447795823665893,y
2019,0.02091274338106521,2.9549809415885444,8.328113732358092,0.002781497888121974,9707,5.537138147728443,3.071906871329968,0.006284124858349644,0.8095189038837952,5.5989492119089315,9707,0.14886164623467601,0.18316678685484702,y
1,0.024070945945945946,3.0675675675675675,6.501266891891892,0.0021114864864864866,2368,5.007179054054054,2.143581081081081,0.0,0.28673986486486486,5.250105440742303,2371,0.13344594594594594,0.1712357654997891,m
2,0.02456778889899909,1.4185623293903549,5.165605095541402,0.0031847133757961785,2198,4.779344858962693,2.4222020018198362,0.0,0.4099181073703367,3.429676832043696,2197,0.13239308462238397,0.1665908056440601,m
3,0.01224177505738332,2.360749808722265,4.419663351185922,0.0011476664116296864,2614,3.550497322111706,1.7310635042081102,0.008416220351951033,0.6564651874521805,1.5676605504587156,2616,0.11667941851568478,0.1540519877675841,m
4,0.016882606988614057,2.669414998036906,5.982332155477032,0.002355712603062426,2547,4.27875932469572,2.1943462897526502,0.005889281507656066,1.011385944248135,2.019230769230769,2548,0.12092658029053789,0.13932496075353218,m
5,0.016201959306706856,3.597211755840241,7.487942727957799,0.003391107761868877,2654,3.986812358703843,2.2483044461190658,0.0,0.5587792012057272,4.261851015801354,2658,0.13300678221552373,0.16290443942814145,m
6,0.02721588819418904,4.584406031629276,12.58072820890033,0.004045605001838912,2719,6.560867966164031,3.8348657594703934,0.0,0.8550937844795881,10.78497790868925,2716,0.17690327326222877,0.22974963181148747,m
7,0.014598540145985401,3.1350364963503647,8.535766423357664,0.0032846715328467154,2740,5.459489051094891,3.088321167883212,0.0,0.3478102189781022,8.963570127504553,2745,0.16058394160583941,0.2029143897996357,m
8,0.031106398020501944,2.5291622481442206,6.4658890067161545,0.0014139271827500884,2829,4.786850477200424,2.136797454931071,0.0,0.47790738776952985,4.942321302193914,2826,0.14068575468363378,0.18365180467091294,m
9,0.019534184823441023,3.61419984973704,7.084147257700977,0.002253944402704733,2662,3.909090909090909,3.163410969196093,0.0015026296018031556,0.35048835462058603,0.5003756574004508,2662,0.11457550713749061,0.1348610067618332,m
10,0.010104655359076146,2.0830025261638396,3.688199206062793,0.0025261638397690365,2771,3.3507758931793576,2.2298809094189824,0.006134969325153374,0.41934319740166004,1.2088744588744589,2772,0.11042944785276074,0.13455988455988455,m
11,0.009135896459840122,3.121431290445375,5.192615150361629,0.0011419870574800152,2627,4.287019413779977,1.9939094023601065,0.013323182337266844,0.3837076513132851,1.3843226788432268,2628,0.11229539398553483,0.1308980213089802,m
12,0.017172523961661343,3.6150159744408947,10.719249201277956,0.0023961661341853034,2504,6.6952875399361025,2.40055910543131,0.025559105431309903,1.1725239616613419,5.181818181818182,2497,0.1665335463258786,0.184221065278334,m
Mon,0.021821233738984473,2.7706672261854806,7.199118757868233,0.002517834662190516,4766,5.228493495593789,2.3441040704993705,0.00419639110365086,0.46600923206042805,5.379468952540247,4783,0.1409987410826689,0.17248588751829397,d
Tue,0.018863879957127544,3.1354769560557343,6.739121114683815,0.0027867095391211146,4665,4.52411575562701,2.6836012861736336,0.0,0.6032154340836012,3.9243550502842153,4574,0.1309753483386924,0.16375163970266726,d
Wed,0.017034286962218825,3.2321467569338282,6.356628084734658,0.0017471063550993666,4579,4.115309019436558,2.6359467132561694,0.0030574361214238915,0.7289801266652107,2.2597626752966558,4635,0.12033195020746888,0.15016181229773462,d
Thu,0.01779064956557716,2.4766239139429045,6.789822093504344,0.002068680182043856,4834,5.010757136946628,2.4838642945800578,0.007447248655357882,0.5446834919321473,4.628882945895906,4861,0.1392221762515515,0.17218679284097924,d
Fri,0.016778523489932886,2.700503355704698,7.016778523489933,0.002307046979865772,4768,4.616401006711409,2.540687919463087,0.006711409395973154,0.5574664429530202,5.3198406040268456,4768,0.14240771812080538,0.18078859060402686,d
Sat,0.015559545182525433,3.7187312986235788,7.457510472770796,0.002094554159186116,3342,3.878515858767205,2.1909036505086776,0.00718132854578097,0.9820466786355476,1.3966864645201627,3199,0.12477558348294435,0.1366051891216005,d
Sun,0.021032951624211264,3.235802757653657,7.665809768637532,0.0035054919373685442,4279,5.4024304744099085,2.351016592661837,0.007244683337228324,0.2519280205655527,5.252038043478261,4416,0.1430240710446366,0.17957427536231885,d
