Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.013902010223170435,4.112048200309073,11.095612295333254,0.0031345216569794725,159833,4.277558451633893,2.93779757622018,0.01588533031351473,0.5558989695494673,5.122706522418861,159910,0.20552701882589952,0.18640485272966043,y
2016,0.012043007615324015,3.100013129868993,8.600968692556823,0.0025603244536515626,137092,3.6739999416450266,2.55342397805853,0.0062585708867038195,0.726665305050623,0.5861027631079859,137092,0.16328450967233682,0.14521635106351938,y
2017,0.027299239581963473,3.0068228759737297,7.394589660480696,0.002521833976684639,129271,3.1989928135467354,2.749680902909392,0.0010288463769909724,0.8179560767689582,-0.4867671639943045,129224,0.14800690023284419,0.134270723704575,y
2018,0.010425416844067524,3.5197231395924193,8.094576711966216,0.0025775865044935157,173806,3.632780226229244,2.818423989965824,0.004050493078489811,1.2218680597908012,3.8646350024743645,173782,0.1518071873237978,0.17227906227342302,y
2019,0.014358220916254842,5.115633765193001,12.398763412136592,0.0028215573661012423,179688,5.44160990160723,3.2380069898935933,0.005709897155068786,1.3254084858198656,7.506049576473993,179682,0.18951182048884735,0.20183991718703043,y
1,0.0182799199962789,3.405026590384049,7.721878536986217,0.0027598182861218352,64497,3.0650572894863326,2.4788749864334774,0.0022481665813913827,0.6648371242073274,0.46251493660671333,64439,0.15974386405569252,0.15113518211021276,m
2,0.009926889798108525,3.3884734053256422,7.079649875913877,0.003236300221342813,59636,3.0101113421423302,2.6095311556777787,0.0014588503588436514,0.4761385740156952,1.8119306839341731,59611,0.15135153263129653,0.16466759490698027,m
3,0.01090303664304342,3.5188666735424556,8.038528974083187,0.0027699606606650853,67871,3.284525054883529,2.4689779139838812,0.007381650484006424,0.42098981892118875,2.2153843887202758,67874,0.15936114098805085,0.15870583728673718,m
4,0.01571332907666672,3.5767367978446734,9.469764689393113,0.0026474389921044023,64213,4.02452774360332,3.3301667886565025,0.0037375609300297446,1.0479809384392569,3.6949033775050997,64219,0.16903119306059522,0.1711642971706193,m
5,0.01893961795493524,4.342302915607073,12.951224200130108,0.0031492104796262345,67636,5.426193151576084,3.8231119522147967,0.009698976876219765,1.9112159205157018,5.492787040321627,67656,0.1961677213318351,0.1805752630956604,m
6,0.016305812595454137,5.243778636241128,15.263333632797293,0.003683406702003414,66786,6.4237714491061,3.7849249842781423,0.01417961848291558,1.5576917318000778,9.494849682596719,66792,0.2279519659808942,0.21631333093783686,m
7,0.00916902054156376,4.42658128632485,12.394844644256791,0.0033866221032550024,67619,5.192874783714636,3.117082476818646,0.010071133852911165,1.049675387095343,6.200671418852968,67618,0.20321211493810912,0.18264367476115828,m
8,0.0362294934469004,4.053414509792161,11.31412890261824,0.0030141259034879883,66686,4.844435113816993,3.260909336292475,0.007377860420478061,1.2428845634765917,6.119308556093611,66701,0.19368383168881023,0.18957736765565733,m
9,0.027686425713221118,3.1548268990879196,6.822087579179289,0.0013770311209033324,61727,3.2434915029079656,2.382798451244998,0.004827709106225801,1.0759311160432226,0.7578473156265698,61709,0.14215821277560872,0.14978366202660875,m
10,0.004891503108618798,3.2928654150920393,7.452105936852371,0.001904790930147507,65624,3.4528068999146653,2.7231805437035232,0.00828965012800195,0.6401773741314153,2.7135111260033202,65657,0.14764415457759356,0.1667758197907306,m
11,0.0030425481340622773,3.055304650978528,5.740448458917677,0.0018540527691942002,63105,2.6948102369067426,2.0261785912368273,0.0033753268362253386,0.40551461849298787,-0.7709483032032984,63060,0.13304809444576499,0.13620361560418648,m
12,0.010048219007621715,4.5812879141390574,11.028200342199408,0.002924249494478146,64290,4.424933893296003,2.4358220563073574,0.007092860475968269,0.8775859387151967,5.00215992789881,64354,0.1835122102970913,0.1788855393604127,m
Mon,0.01673327958557044,4.034212738219805,10.008113625057893,0.00271883630375491,116594,4.328644698698046,3.056074926668611,0.00355935982983687,0.7277647220268625,4.106351108448172,116830,0.17775357222498586,0.17661559530942395,d
Tue,0.017144194925174234,3.503421635541789,8.901763042734427,0.0027733256496605377,111058,3.9333141241513445,2.8391381080156313,0.005510634083091718,1.1448342307623043,3.209367061239933,111006,0.16183435682256117,0.164973064519035,d
Wed,0.014646678673588305,3.619212840343257,9.485017833810078,0.002895786983084366,113268,4.1561870960906875,3.082088498075361,0.004723311085213829,1.1527351061199986,4.08665159170406,113212,0.17088674647738109,0.17908878917429247,d
Thu,0.01647226809799064,3.668464423341591,9.886276837324525,0.0026407239196256536,116256,4.242937998898982,3.0829118497109826,0.004980388109000825,1.0590077071290944,4.463742312819851,116265,0.17470066061106523,0.17662237130692815,d
Fri,0.012398391375032087,3.8690339693676736,9.680525370069308,0.0026011807991785747,116870,4.025498417044579,2.9180799178574484,0.010866775049199966,0.7732009925558313,3.7071806190011807,116898,0.17540001711303158,0.17037930503515886,d
Sat,0.011654616858440336,3.8932242322878405,8.421016418084239,0.002762811080883676,94469,3.384496501497846,2.1005832601170753,0.008658925150049223,0.6704950830431147,1.6810768940900622,95534,0.16269887476314981,0.15497100508719408,d
Sun,0.016325612772655724,4.371999100517202,11.12836519001574,0.0027704070159658197,111175,4.626570721834945,2.9515718461884415,0.009273667641106364,1.127519676186193,4.050434308063123,109945,0.18505059590735326,0.1709400154622766,d
