Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2017,0,1.401253918495298,8.344827586206897,0,319,10.09717868338558,1.915360501567398,0,0,9.636363636363637,319,0.13793103448275862,0.18808777429467086,y
2018,0,0.3333333333333333,-1.6888888888888889,0,45,2.022222222222222,6.733333333333333,0,0,-4.911111111111111,45,0.15555555555555556,0.15555555555555556,y
1,0,0.0,-3.5483870967741935,0,31,1.3870967741935485,5.774193548387097,0,0,-5.290322580645161,31,0.12903225806451613,0.16129032258064516,m
2,0,1.2962962962962963,15.74074074074074,0,27,16.555555555555557,8.37037037037037,0,0,10.851851851851851,27,0.2222222222222222,0.2222222222222222,m
3,0,0.41935483870967744,3.161290322580645,0,31,8.0,3.064516129032258,0,0,5.129032258064516,31,0.0967741935483871,0.0967741935483871,m
4,0,0.0,-2.0,0,30,1.1666666666666667,0.9333333333333333,0,0,-1.0,30,0.03333333333333333,0.06666666666666667,m
5,0,0.45161290322580644,1.967741935483871,0,31,5.870967741935484,1.032258064516129,0,0,5.258064516129032,31,0.0967741935483871,0.16129032258064516,m
6,0,0.0,10.1,0,30,13.666666666666666,2.2333333333333334,0,0,7.233333333333333,30,0.13333333333333333,0.13333333333333333,m
7,0,12.35483870967742,23.096774193548388,0,31,13.225806451612904,2.4193548387096775,0,0,17.483870967741936,31,0.1935483870967742,0.3225806451612903,m
8,0,0.0,7.032258064516129,0,31,12.161290322580646,2.129032258064516,0,0,14.161290322580646,31,0.12903225806451613,0.22580645161290322,m
9,0,0.0,0.4,0,30,4.633333333333334,2.5,0,0,4.3,30,0.1,0.16666666666666666,m
10,0,0.3870967741935484,8.709677419354838,0,31,11.290322580645162,1.6451612903225807,0,0,12.258064516129032,31,0.16129032258064516,0.16129032258064516,m
11,0,0.0,5.5,0,30,6.066666666666666,0.6333333333333333,0,0,6.1,30,0.13333333333333333,0.2,m
12,0,0.16129032258064516,15.741935483870968,0,31,15.774193548387096,0.03225806451612903,0,0,17.483870967741936,31,0.25806451612903225,0.2903225806451613,m
Mon,0,0.11538461538461539,7.0,0,52,9.057692307692308,4.384615384615385,0,0,10.384615384615385,52,0.11538461538461539,0.23076923076923078,d
Tue,0,0.5769230769230769,1.3653846153846154,0,52,4.846153846153846,1.4807692307692308,0,0,3.826923076923077,52,0.15384615384615385,0.15384615384615385,d
Wed,0,0.36538461538461536,9.5,0,52,11.115384615384615,2.230769230769231,0,0,8.961538461538462,52,0.17307692307692307,0.19230769230769232,d
Thu,0,0.057692307692307696,3.7115384615384617,0,52,6.115384615384615,2.1153846153846154,0,0,5.75,52,0.1346153846153846,0.19230769230769232,d
Fri,0,0.2692307692307692,1.3461538461538463,0,52,5.3076923076923075,3.0576923076923075,0,0,4.6923076923076925,52,0.11538461538461539,0.17307692307692307,d
Sat,0,0.0,8.173076923076923,0,52,11.211538461538462,0.9615384615384616,0,0,9.442307692307692,52,0.11538461538461539,0.1346153846153846,d
Sun,0,7.5,18.634615384615383,0,52,16.03846153846154,3.3461538461538463,0,0,11.807692307692308,52,0.17307692307692307,0.21153846153846154,d
