Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.014717906786590351,3.2144998637230855,7.558190242572908,0.0035431997819569366,3669,5.644589806486781,2.640501499046062,0.0,0.5282093213409649,6.759749113716935,3667,0.1545380212591987,0.19552767930188164,y
2016,0.009157975069956754,4.847367082167388,10.60391757822437,0.0043245993385906895,3931,5.914016789620962,3.9107097430679216,0.011447468837445943,0.6692953446960062,6.091626368032578,3929,0.17069447977613839,0.1852888775769916,y
2017,0.014823261117445839,4.32012542759407,12.787058152793614,0.0019954389965792475,3508,7.911630558722919,3.765108323831243,0.0,0.8700114025085519,5.5917901938426455,3508,0.1847206385404789,0.1750285062713797,y
2018,0.007845934379457917,3.3492629576795054,11.10413694721826,0.006181645268663814,4206,6.961721350451736,4.961721350451736,0.00023775558725630053,0.6167379933428435,8.131416349809886,4208,0.17617689015691868,0.18512357414448669,y
2019,0.014830970556161395,6.535005452562705,16.67001090512541,0.0028353326063249727,4585,8.205016357688113,5.238822246455834,0.007851690294438387,1.2172300981461286,9.270229007633588,4585,0.2039258451472192,0.2093784078516903,y
1,0.02149973780807551,5.947037231253278,23.104352385946513,0.0005243838489774515,1907,12.998426848453068,6.4278972207656,0.0,1.8065023597273204,9.73504721930745,1906,0.27058206607236496,0.22140608604407136,m
2,0.036260623229461754,5.06685552407932,20.828895184135977,0.004532577903682719,1765,10.372804532577904,7.088385269121813,0.0,2.1977337110481585,8.500282645562464,1769,0.24079320113314448,0.2006783493499152,m
3,0.012613521695257316,3.2351160443995965,8.951564076690213,0.0010090817356205853,1982,5.163471241170535,4.779011099899092,0.0,0.4091826437941473,2.6056622851365017,1978,0.16700302724520685,0.16228513650151669,m
4,0.011920529801324504,4.11523178807947,2.851655629139073,0.0026490066225165563,755,2.956291390728477,2.275496688741722,0.0,0.13509933774834437,-0.05874499332443257,749,0.09801324503311258,0.1295060080106809,m
5,0.0,1.1164465786314526,-0.7214885954381752,0.007202881152460984,833,3.099639855942377,1.7070828331332533,0.0,0.04921968787515006,1.264988009592326,834,0.08883553421368548,0.1498800959232614,m
6,0.007342143906020558,3.479686735193343,9.80714635340186,0.006363191385217817,2043,6.58590308370044,4.257464512971121,0.0,0.43710230053842386,13.451909134847753,2069,0.16984826235927558,0.23006283228612856,m
7,0.006320224719101123,3.677317415730337,7.64185393258427,0.0059691011235955055,2848,4.472612359550562,3.417837078651685,0.011587078651685394,0.24157303370786518,9.690934546727336,2857,0.15905898876404495,0.20441022051102556,m
8,0.009579955784819455,4.746499631540162,8.649594694178335,0.004421518054532056,2714,4.604642593957259,2.773397199705232,0.0,0.1643330876934414,6.777284498705143,2703,0.15549005158437731,0.1997780244173141,m
9,0.004343105320304018,3.3778501628664497,7.584690553745928,0.003800217155266015,1842,5.439196525515744,2.984799131378936,0.007057546145494028,0.4733984799131379,3.1618370694368507,1829,0.13572204125950055,0.1481683980317113,m
10,0.004310344827586207,4.089439655172414,5.136853448275862,0.0,928,3.78125,2.279094827586207,0.03879310344827586,0.39762931034482757,1.7587336244541485,916,0.11637931034482758,0.1146288209606987,m
11,0.009708737864077669,4.438511326860842,3.5097087378640777,0.0,618,2.2864077669902914,2.5647249190938513,0.0,2.1957928802588995,1.653160453808752,617,0.07766990291262135,0.12317666126418152,m
12,0.01622596153846154,9.673677884615385,30.71454326923077,0.004807692307692308,1664,16.12860576923077,6.382211538461538,0.0,1.7385817307692308,13.802395209580839,1670,0.3088942307692308,0.25508982035928146,m
Mon,0.01425891181988743,4.6427767354596625,13.721575984990618,0.004878048780487805,2665,7.578236397748593,4.571482176360226,0.0,1.0694183864915572,10.34595397178916,2694,0.19174484052532834,0.2097253155159614,d
Tue,0.015787447054293417,4.988063149788217,10.671544089333846,0.0034655371582595304,2597,5.91990758567578,4.177512514439738,0.0050057758952637655,0.7408548324990374,7.030185758513932,2584,0.1621101270696958,0.18575851393188855,d
Wed,0.017815646785437646,4.067002323780016,10.639426800929511,0.005422153369481022,2582,5.8121611154144075,4.277304415182029,0.0,0.620836560805577,6.675314465408805,2544,0.17505809450038728,0.19300314465408805,d
Thu,0.013093901982790871,4.033295922184811,10.996258885147775,0.003367003367003367,2673,7.399176954732511,3.9337822671156006,0.0,0.44668911335578004,9.848529959062152,2687,0.1732136176580621,0.20096762188314105,d
Fri,0.008988764044943821,4.231086142322098,11.826217228464419,0.0033707865168539327,2670,6.965168539325843,4.462172284644195,0.02546816479400749,0.6940074906367041,7.836659275683666,2706,0.17677902621722846,0.1958610495195861,d
Sat,0.008668015024559377,4.539728402195897,12.68332851776943,0.004045073678127709,3461,8.122796879514592,3.5047674082635076,0.0,0.8636232302802658,5.15625,3776,0.1834729846865068,0.17346398305084745,d
Sun,0.008920332205475239,5.055675176868656,12.546601045832052,0.002460781298062135,3251,6.6281144263303595,4.467240848969547,0.00030759766225776686,1.0406028914180252,5.127322780454232,2906,0.18701937865272225,0.18479008947006195,d
