Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.02283576312733841,2.673074442007483,6.316088246677848,0.0033544058831118566,7751,4.513611146948781,3.281641078570507,0.0,0.33389240098051864,5.06656346749226,7752,0.1394658753709199,0.17827657378740971,y
2016,0.012305325898865602,3.6666025764276102,5.899826956354548,0.0017304364545279755,5201,3.8471447798500287,2.265718131128629,0.0,0.43453182080369157,1.9079023264756778,5201,0.11997692751393962,0.14228033070563353,y
2017,0.024568393094289508,3.305666223992917,5.0717131474103585,0.0017706949977866313,4518,3.2540947321823817,2.50132802124834,0.0,0.48804780876494025,0.40451427306926313,4519,0.11730854360336432,0.14228811684000886,y
2018,0.021301316808675447,3.0632584559772784,9.270720371804803,0.0036147689129873485,7746,5.97714949651433,2.6984249935450557,0.006971340046475601,1.0574490059385488,5.484766331009554,7746,0.15904983217144333,0.17518719339013686,y
2019,0.025734845712891818,4.222222222222222,10.862178314428588,0.0024393218685205514,8199,6.218929137699719,2.8753506525185997,0.01695328698621783,1.3234540797658252,7.948774240761068,8199,0.16477619221856324,0.19587754604220026,y
1,0.02501867064973861,3.1071695294996267,5.92755787901419,0.0026138909634055266,2678,4.532486930545183,2.1530993278566095,0.0,0.4996265870052278,4.05908750934929,2674,0.13741598207617625,0.1694091249065071,m
2,0.030838815789473683,2.0546875,6.287417763157895,0.0028782894736842104,2432,5.3569078947368425,2.5193256578947367,0.0,0.6747532894736842,3.7759967118783395,2433,0.14144736842105263,0.17180435676120018,m
3,0.025855790240349598,2.166423889293518,5.253095411507648,0.0010924981791697013,2746,4.2967953386744355,1.9610342316096139,0.01747997086671522,0.5786598689002185,1.9148471615720524,2748,0.13619810633648943,0.14592430858806404,m
4,0.0212298682284041,4.800512445095168,9.109077598828696,0.0029282576866764276,2732,4.472181551976574,3.3978770131771596,0.0,1.0702781844802343,3.869692532942899,2732,0.14275256222547583,0.16581259150805272,m
5,0.021433591004919185,3.7139845397048488,10.66268446943078,0.0028109627547434997,2846,5.304989458889669,4.002108222066058,0.0010541110330288123,1.9184820801124385,6.0252720252720255,2849,0.16233309908643712,0.17269217269217269,m
6,0.031097134870719776,4.619496855345912,11.878057302585605,0.0041928721174004195,2862,6.154437456324249,3.843466107617051,0.0010482180293501049,0.8895877009084556,9.853146853146853,2860,0.17679944095038436,0.22552447552447552,m
7,0.011933174224343675,4.043300375042619,10.151380838731674,0.004091374019774974,2933,5.793385612001364,2.7875894988066827,0.011933174224343675,0.5479031708148653,8.176430517711172,2936,0.16774633481077394,0.19754768392370572,m
8,0.02747068676716918,2.7336683417085426,6.211725293132329,0.002680067001675042,2985,4.371189279731993,3.380569514237856,0.0020100502512562816,0.44254606365159127,4.516431924882629,2982,0.1319932998324958,0.17303822937625754,m
9,0.02465955097534045,2.785425101214575,4.844681634155318,0.002576370997423629,2717,3.3761501656238497,2.2841369157158633,0.007729112992270887,1.0357011409642989,1.2358351729212655,2718,0.11372837688627162,0.12950699043414277,m
10,0.014566395663956639,2.9258130081300813,6.244241192411924,0.003048780487804878,2952,4.72289972899729,2.2327235772357725,0.003048780487804878,0.45257452574525747,3.4012868269556384,2953,0.11720867208672087,0.15171012529630884,m
11,0.007865570253843403,2.540936717912049,5.040042903110476,0.0010725777618877368,2797,4.369324276010011,2.2116553450125136,0.0243117626027887,0.0900965319985699,2.0893814801573116,2797,0.1294243832677869,0.15802645691812656,m
12,0.02120658135283364,4.960146252285192,12.650457038391226,0.002559414990859232,2735,7.207678244972578,2.4851919561243143,0.0,1.1945155393053017,7.583912248628885,2735,0.17221206581352833,0.19305301645338208,m
Mon,0.02449140825597472,3.443610507604187,8.753110803871223,0.003160181710448351,5063,5.739680031601817,2.5814734347224966,0.005332806636381592,0.5516492198301403,6.0140427215189876,5056,0.16097175587596288,0.1817642405063291,d
Tue,0.018883248730964468,3.7246700507614214,6.847918781725888,0.0026395939086294416,4925,4.39248730964467,3.0655837563451778,0.007309644670050761,0.37908629441624364,3.62693246541904,4916,0.12913705583756346,0.1643612693246542,d
Wed,0.021431459765467044,2.667812373635261,6.070157703194501,0.00303275374039628,4946,4.424181156490093,2.7885159725030326,0.00909826122118884,0.639708855640922,3.643188698284561,4955,0.13829357056207037,0.16286579212916247,d
Thu,0.021873135812288724,3.2016305428514613,7.882680453370451,0.0027838536488367467,5029,5.120302246967588,3.0612447802744085,0.002585006959634122,0.6132431895008948,5.1005164878824,5034,0.1477430900775502,0.1760031783869686,d
Fri,0.0226076788150458,3.5852660300136425,8.128824790489183,0.002533619177548236,5131,5.235821477294874,2.513155330344962,0.004092769440654843,0.6302864938608458,5.26509544215037,5134,0.14344182420580784,0.17315932995714842,d
Sat,0.019851116625310174,3.7240143369175627,8.994761510890543,0.0024813895781637717,3627,4.445547284256961,2.9699476151089055,0.011304108078301628,1.9396195202646815,3.6166339960795297,3571,0.14061207609594706,0.15765891907028842,d
Sun,0.022795057520238603,3.428206220707286,8.816361312313592,0.002343417128248828,4694,5.468683425649766,2.5513421389007243,0.0021303792074989347,1.047720494247976,5.635234687434225,4751,0.14784831700042608,0.18017259524310672,d
