Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.026347852573865366,3.427657630216266,6.282820590922936,0.0013706975327444412,6566,4.2398720682302775,2.489795918367347,0.0012183978068839476,0.20545233018580566,3.416412911084044,6568,0.12915016752969843,0.1639768574908648,y
2016,0.0183752417794971,4.79284332688588,9.751257253384914,0.0023210831721470018,5170,4.899226305609284,3.195164410058027,0.0,0.06769825918762089,6.181044487427466,5170,0.1471953578336557,0.16286266924564796,y
2017,0.023207152368270877,5.310252996005326,13.01008179570097,0.0024728932851436182,5257,6.676621647327373,4.9474985733307975,0.0,0.5409929617652653,5.983260414685182,5257,0.16206962145710482,0.17899942933231883,y
2018,0.019510745766069128,3.131920372387838,8.47172427453699,0.0017827077349707834,10097,5.339308705556106,4.347727047637912,0.030306031494503317,0.6853520847776567,5.701752648777107,10099,0.1556898088541151,0.19100901079314783,y
2019,0.017917622637386648,4.208565497651043,9.617720965803562,0.002185075931388616,9153,5.219818638697695,3.208456243854474,0.006773735387304709,1.236643723369387,7.40882770676281,9153,0.15339233038348082,0.1984048945700863,y
1,0.03426573426573427,5.058741258741259,12.037062937062936,0.0024475524475524478,2860,6.191258741258741,4.161188811188811,0.0,0.8863636363636364,8.433101045296167,2870,0.18426573426573425,0.21846689895470384,m
2,0.041728763040238454,5.193740685543964,13.485469448584203,0.0022354694485842027,2684,7.51043219076006,3.8967958271236958,0.0,0.9586438152011922,8.089624395686128,2689,0.18368107302533532,0.2175529936779472,m
3,0.020710059171597635,3.7856673241288625,7.523011176857331,0.001643655489809336,3042,5.517094017094017,3.221236028928337,0.0,0.2172912557527942,5.348126232741618,3042,0.13872452333990795,0.17488494411571334,m
4,0.017146554513102555,4.018117114202523,9.06146878032999,0.002264639275315432,3091,5.279197670656745,3.159495308961501,0.0038822387576835974,1.270786153348431,4.968284789644013,3090,0.14105467486250403,0.1673139158576052,m
5,0.013592233009708738,2.571197411003236,6.880258899676376,0.0006472491909385113,3090,4.744983818770226,3.3883495145631066,0.08414239482200647,0.29967637540453074,5.5269964435822825,3093,0.13689320388349516,0.1742644681538959,m
6,0.032781767093349984,5.26537620980331,14.066812363409303,0.003746487667811427,3203,7.3496721823290665,4.662503902591321,0.0,0.7090227911333126,11.7659375,3200,0.19138307836403373,0.24,m
7,0.021296296296296296,5.274074074074074,13.570987654320987,0.0030864197530864196,3240,6.315123456790124,4.758024691358025,0.0,1.0546296296296296,10.846035174328911,3241,0.18209876543209877,0.21906818883060783,m
8,0.021565003080714726,4.419593345656192,9.755083179297596,0.0024645717806531116,3246,5.2985212569316085,4.20117067159581,0.0024645717806531116,0.6315465187923598,6.692355117139334,3244,0.1549599507085644,0.19143033292231812,m
9,0.014610941216445803,2.014950730547061,3.7193340129119945,0.0013591573224600749,2943,2.965681277607883,2.872579001019368,0.010193679918450561,0.4634726469588855,1.2997284453496265,2946,0.10261637784573564,0.13509843856076034,m
10,0.006267627702914447,2.188655593857725,3.66593544343466,0.0006267627702914447,3191,2.846443121278596,2.6007521153243496,0.018176120338451895,0.23033531808210592,0.4052102950408035,3186,0.10905672203071137,0.13810420590081607,m
11,0.011954992967651195,3.7936005625879043,7.032700421940929,0.0010548523206751054,2844,3.7440225035161743,3.59845288326301,0.0,0.6722925457102672,2.4743859649122806,2850,0.12271448663853728,0.1368421052631579,m
12,0.014951940192239232,4.647205411178355,9.797080811676754,0.002135991456034176,2809,5.221431114275543,3.123175507297971,0.002847988608045568,0.14595941616233535,3.5361230329041486,2796,0.15343538625845496,0.1709585121602289,m
Mon,0.028363636363636365,4.454,10.943272727272728,0.0014545454545454545,5500,6.283636363636363,3.817090909090909,0.0014545454545454545,0.28236363636363637,8.08839578028374,5498,0.16745454545454547,0.19934521644234268,d
Tue,0.021698466142910586,3.8973063973063975,9.017022072577628,0.00205761316872428,5346,4.999064721286944,3.9988776655443323,0.0,0.6790123456790124,3.8498875562218893,5336,0.14945753834642725,0.1724137931034483,d
Wed,0.02143123369362654,3.2135669027208347,6.828177413343273,0.0018635855385762206,5366,4.297987327618338,3.550875885203131,0.048453224002981736,0.572493477450615,3.7660720921590487,5382,0.13715989563920983,0.16815310293571162,d
Thu,0.020419226599204914,3.526382363570654,8.364835561980485,0.0019877123238164077,5534,5.1348030357788215,3.6591976870256597,0.0028912179255511385,0.41597397903867006,6.615065028901734,5536,0.15106613661004697,0.19147398843930635,d
Fri,0.017285298398835518,3.888646288209607,10.875727802037845,0.002911208151382824,5496,6.130458515283843,3.7409024745269286,0.0,1.0207423580786026,7.98892117689793,5506,0.1613901018922853,0.1979658554304395,d
Sat,0.017614494212380472,3.476346250629089,6.2083543029693,0.0012581781580271766,3974,3.625062908907901,2.9793658782083545,0.008555611474584801,0.7697533970810266,3.3244490005125575,3902,0.11952692501258178,0.15786776012301384,d
Sun,0.017107618858165904,5.583250447583051,11.510244678734832,0.002188183807439825,5027,5.787149393276308,3.593793515018898,0.011537696439228168,0.7073801472050925,6.365637900530765,5087,0.15575890192958028,0.18045999606840968,d
