Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.003938386136880798,1.6624365482233503,0.5863819359355855,0.0014003150708909505,11426,2.7422545072641342,0.34981620864694557,0.011990197794503764,0.1094871346052862,0.36641288177124354,11427,0.08323122702608086,0.10326419882733875,y
2016,0.0047349285533102225,1.4914179419971252,-0.2047011076350723,0.0010146275471379048,11827,2.2993996787012767,0.3760886108057834,0.0023674642766551113,0.12835038471294496,-0.8778529163144547,11830,0.07102392829965333,0.0893491124260355,y
2017,0.0045864177663340845,2.118925008046347,2.5321049243643388,0.0016897328612809784,12428,3.927341486964918,0.3632121017058256,0.0,0.16905374959768266,1.254606904321236,12427,0.0984068233022208,0.11829081837933532,y
2018,0.00464559724079679,2.5391708312803547,1.1144506229323572,0.0013373689026536214,14207,2.9744492151756177,0.48722460758780883,0.005138312099669177,0.1488702752164426,-2.0892643435410068,14205,0.08193144224677976,0.0913762759591693,y
2019,0.003128777643461566,3.3654270070397496,2.7157078859418333,0.0009955201592832255,14063,3.0356253999857783,0.49491573632937497,0.010524070255279813,0.16255422029438954,-1.8184726962457338,14064,0.09208561473369836,0.1018202502844141,y
1,0.00461716044632551,2.079646017699115,2.1281262023855327,0.0015390534821085034,5198,3.382647171989227,0.44824932666410156,0.02828010773374375,0.19122739515198153,-0.8995767602924202,5198,0.09830704116968064,0.11369757599076567,m
2,0.004694835680751174,1.9487836107554417,3.7347417840375585,0.0014938113529662826,4686,4.464575330772514,0.35488689714041827,0.007042253521126761,0.4105847204438754,1.8029430582213692,4689,0.12740076824583868,0.1526978033695884,m
3,0.00522875816993464,1.5830065359477123,2.439402427637722,0.0007469654528478057,5355,3.45452847805789,0.31633986928104574,0.00037348272642390287,0.4373482726423903,1.486183719193428,5356,0.10700280112044817,0.13517550410754295,m
4,0.002567647639739285,2.1489235631048786,0.7588386332214102,0.0005925340707090658,5063,2.882480742642702,0.3673711238396208,0.00612285206399368,0.1649219830140233,-1.667390874975311,5063,0.07939956547501481,0.08631246296662058,m
5,0.0035828776164435225,1.6615123514991514,-0.6750895719404111,0.0007542900245144258,5303,2.007165755232887,0.3963794078823308,0.00792004525740147,0.09277767301527437,-1.7912502357156326,5303,0.06807467471242692,0.08033188761078634,m
6,0.005317324185248714,2.728130360205832,0.7015437392795884,0.0010291595197255575,5830,2.6672384219554033,0.3850771869639794,0.0032590051457975985,0.008576329331046312,-0.9344431096619187,5827,0.06809605488850771,0.08374806933241806,m
7,0.003790375741595254,2.5735003295978904,1.4312788398154253,0.0014831905075807514,6068,3.0039551746868822,0.3724456163480554,0.0,0.030652603823335532,-0.7469502143092648,6066,0.07415952537903757,0.08555885262116716,m
8,0.006595636732623034,3.110265516658211,2.184339590732285,0.0011838322340605445,5913,3.0563165905631657,0.3639438525283274,0.0059191611703027225,0.022323693556570268,0.16638484950963814,5914,0.08422120750887874,0.09688873858640513,m
9,0.002712288754433549,2.9319841435426666,0.9699561861047361,0.001043187982474442,4793,2.399958272480701,0.3713749217609013,0.004172751929897768,0.13936991445858543,-2.078415015641293,4795,0.0717713331942416,0.08133472367049009,m
10,0.0023899621589324837,2.4955188209520016,2.023102967536347,0.0017924716191993627,5021,3.35610436168094,0.39494124676359293,0.008364867556263693,0.10396335391356304,-0.8552369573874951,5022,0.08285202150965942,0.09219434488251693,m
11,0.0035412158174306513,2.216210899075349,-0.1583710407239819,0.0023608105449537675,5083,2.0755459374385206,0.5205587251623057,0.0,0.12236867991343695,-3.2956915207554593,5083,0.06846350580365926,0.08085776116466653,m
12,0.0046115643845335225,1.8623625399077688,1.4528201489890031,0.001418942887548776,5638,3.4214260376019867,0.7318197942532813,0.0026605179141539555,0.08939340191557289,0.061734965407131456,5637,0.10216388790351189,0.1240021287919106,m
Mon,0.004311322895393692,1.890515089630134,0.4407760381211709,0.0017018379850238256,8814,2.9099160426594053,0.3873383253914227,0.006920807805763558,0.11368277739959155,-1.392597638510445,8808,0.07885182663943725,0.09559491371480472,d
Tue,0.004095483267025509,1.1199391528200329,-0.7535689211326937,0.0012871518839223028,8546,2.6428738591153755,0.4054528434355254,0.001404165691551603,0.07126140884624385,-1.4114086146682188,8590,0.07336765738357126,0.09231664726426077,d
Wed,0.004068821204371077,1.83201581027668,0.2942338990932341,0.0012787723785166241,8602,2.7993489886073006,0.4509416414787259,0.0032550569634968614,0.1710067426179958,-0.8175865294667914,8552,0.0740525459195536,0.09167446211412535,d
Thu,0.003915426781519186,2.8220158854457993,1.8258194428907037,0.0011186933661483387,8939,2.769772905246672,0.40776373196106946,0.01644479248238058,0.11567289405973823,-0.5853821337189898,8989,0.0825595704217474,0.09823117143174992,d
Fri,0.005010737294201861,2.1777277840269966,3.2428673688516207,0.0011248593925759281,9779,3.919112383679313,0.48062174046426015,0.007669495858472236,0.2725227528377135,1.8,9710,0.1121791594232539,0.12945417095777548,d
Sat,0.004748434027076177,2.92584360476864,2.7203475449585777,0.0013133966457870277,9898,3.477571226510406,0.394726207314609,0.003940189937361083,0.14518084461507375,-0.4711994350852416,9913,0.09608001616488179,0.11025925552305053,d
Sun,0.0030939933852555212,3.0827909954123545,1.5829510295529714,0.0011735836978555424,9373,2.396884668729329,0.40872719513496214,0.002560546249866638,0.11234396671289876,-2.345117665850282,9391,0.07766990291262135,0.08359067191992334,d
