Time,Cancelled,CarrierDelay,DepDelay,Diverted,Count,LateAircraftDelay,NASDelay,SecurityDelay,WeatherDelay,ArrDelay,Count2,15minDepDelay,15minArrDelay,Type
2015,0.024149956408020923,3.1070619006102875,8.839232781168265,0.002266782911944202,11470,4.81333914559721,3.1326939843068877,0.0,0.7417611159546643,6.054155402459231,11467,0.16216216216216217,0.20458707595709427,y
2016,0.009770046467294173,2.0589777195281784,5.222685571309425,0.0038127010604074823,8393,3.471345168592875,2.0345526033599426,0.0,0.5163826998689384,1.8910867492850334,8392,0.12033837721911117,0.14895138226882745,y
2017,0.009830908375933936,3.134748984139468,7.112203434263993,0.0018351028968410013,7629,4.111285882815572,2.261764320356534,0.006291781360597719,0.24262681871804956,3.940235910878113,7630,0.15087167387599948,0.17837483617300132,y
2018,0.012847642079806529,2.60686215235792,6.515870616686819,0.002191656590084643,13232,3.977025392986699,2.9087817412333736,0.01647521160822249,0.5067261185006046,4.48174741138236,13231,0.14812575574365175,0.18706069080190463,y
2019,0.016263582194181562,3.254749386610585,8.722818086225026,0.0028040658955485456,14265,4.979600420609884,3.500315457413249,0.007430774623203645,0.6955485453908167,5.418343734660963,14261,0.15625657202944268,0.1915714185540986,y
1,0.02416267942583732,2.2220095693779904,5.8090909090909095,0.0009569377990430622,4180,4.429186602870813,2.4935406698564595,0.0,0.1318181818181818,4.937544867193108,4179,0.13636363636363635,0.18210098109595596,m
2,0.026977950713359275,2.1011673151750974,6.469260700389105,0.0015564202334630351,3855,4.820752269779507,2.856549935149157,0.0,0.6010376134889753,4.704462895692787,3854,0.15590142671854734,0.20108977685521537,m
3,0.015948275862068966,2.6288793103448276,5.738362068965517,0.0,4640,3.332543103448276,2.2941810344827585,0.003232758620689655,0.8084051724137931,2.8996554694229113,4644,0.13383620689655173,0.16623600344530576,m
4,0.017785682525566917,3.442863494886616,7.184748777234327,0.002890173410404624,4498,3.952645620275678,2.564028457092041,0.0,0.8361493997332148,3.5806092950856128,4497,0.13583815028901733,0.1667778519012675,m
5,0.013611053825531037,2.928438853371829,8.560321715817695,0.003712105588781192,4849,4.892761394101877,3.238399670035059,0.010517632501546711,0.5992988244998969,5.513396537510305,4852,0.15941431222932564,0.19249793899422918,m
6,0.020354695687222896,4.0523982265215635,13.320032245062475,0.005239822652156389,4962,6.4750100765820235,4.164248286981056,0.007255139056831923,1.2271261588069327,11.462809917355372,4961,0.19830713422007254,0.25902035879862934,m
7,0.011543134872417983,3.251113811259619,9.79242608343459,0.0036452004860267314,4938,5.291211016605914,3.351559335763467,0.0064803564196030785,0.5866747671121911,8.389991896272285,4936,0.17942486836776023,0.22629659643435981,m
8,0.014925373134328358,3.3134328358208953,9.019218973625026,0.003271314659578818,4891,4.857493355142098,3.4467389081987325,0.006542629319157636,0.4383561643835616,6.314776913630782,4886,0.16049887548558578,0.20139173147769138,m
9,0.01050098446729381,2.332093633778167,4.652592430540363,0.001968934587617589,4571,3.227302559614964,2.4979216801575146,0.03281557646029315,0.2962152701815795,0.6472131147540984,4575,0.11922992780573179,0.13530054644808742,m
10,0.006127450980392157,2.7032271241830066,5.2338643790849675,0.0024509803921568627,4896,3.2258986928104574,2.667483660130719,0.0016339869281045752,0.2312091503267974,0.8257049448304046,4894,0.12459150326797386,0.14773191663261137,m
11,0.006537421100090171,2.6701983769161406,5.573264201983769,0.002705139765554554,4436,3.21190261496844,2.477682596934175,0.0,0.3954012623985573,1.0487144790257104,4434,0.12984670874661858,0.14839873703202525,m
12,0.01708401591387784,2.4285045635384974,7.085888134799906,0.0016381933068102036,4273,4.327872688977299,2.300023402761526,0.011233325532412824,0.6234495670489117,3.7610681658468024,4269,0.15164989468757314,0.18411806043569923,m
Mon,0.018225709112854555,2.848038624019312,8.765841882920942,0.002655401327700664,8285,5.222450211225105,3.03934821967411,0.0,0.552082076041038,5.862818500181137,8281,0.15980687990343995,0.1914020045888178,d
Tue,0.013778550148957298,2.6555362462760677,6.411122144985105,0.002730883813306852,8056,4.006454816285998,3.0914846077457794,0.005461767626613704,0.40752234359483613,3.6065756823821338,8060,0.1436196623634558,0.17754342431761785,d
Wed,0.015063168124392614,2.896137026239067,7.3732993197278915,0.0029154518950437317,8232,4.037050534499514,3.3505830903790086,0.007653061224489796,0.6976433430515063,3.396091284292304,8238,0.14395043731778426,0.17710609371206604,d
Thu,0.015623092884169413,2.519711949224948,7.523617722445991,0.002319052849993897,8193,4.46429879165141,3.0574880995972173,0.0024411082631514707,0.5404613694617356,4.953584951752779,8187,0.15659709508116684,0.19958470746305118,d
Fri,0.013711811402453693,3.093937936011547,7.765816694731778,0.0030069761847486168,8314,4.620639884532115,2.646018763531393,0.007697859032956459,0.5171999037767621,6.124638728323699,8304,0.1545585758960789,0.19352119460500963,d
Sat,0.014641995172968623,3.130812550281577,6.1007240547063555,0.0017699115044247787,6215,3.397747385358005,2.441512469831054,0.0033789219629927593,0.4630732099758648,2.533301158301158,6216,0.13403057119871278,0.16135778635778636,d
Sun,0.01520665453600208,3.002599428125812,7.932934754354042,0.002339485313231089,7694,4.4815440603067325,2.4425526384195475,0.020795425006498572,0.7946451780608266,5.090188434048083,7695,0.14855731739017417,0.18778427550357374,d
